name,name_raw,season_end_year,age,height_in,weight_lbs
cam ward,Cam Ward,2011,26.0,73.0,194.0
carey price,Carey Price,2011,23.0,75.0,217.0
miikka kiprusoff,Miikka Kiprusoff,2011,34.0,73.0,185.0
kari lehtonen,Kari Lehtonen,2011,27.0,76.0,209.0
ilya bryzgalov,Ilya Bryzgalov,2011,30.0,75.0,213.0
henrik lundqvist,Henrik Lundqvist,2011,28.0,73.0,182.0
ryan miller,Ryan Miller,2011,30.0,74.0,168.0
marc andra fleury,Marc-AndrÃ© Fleury,2011,26.0,74.0,185.0
pekka rinne,Pekka Rinne,2011,28.0,77.0,217.0
jimmy howard,Jimmy Howard,2011,26.0,73.0,218.0
jonathan quick,Jonathan Quick,2011,25.0,73.0,219.0
roberto luongo,Roberto Luongo,2011,31.0,75.0,215.0
antti niemi,Antti Niemi,2011,27.0,74.0,209.0
ondaej pavelec,OndÅej Pavelec,2011,23.0,75.0,212.0
corey crawford,Corey Crawford,2011,26.0,74.0,216.0
jaroslav halak,Jaroslav HalÃ¡k,2011,25.0,71.0,189.0
tim thomas,Tim Thomas,2011,36.0,71.0,201.0
tomaa vokoun,TomÃ¡Å¡ Vokoun,2011,34.0,73.0,210.0
martin brodeur,Martin Brodeur,2011,38.0,74.0,220.0
brian elliott,Brian Elliott,2011,25.0,74.0,221.0
sergei bobrovsky,Sergei Bobrovsky,2011,22.0,74.0,180.0
steve mason,Steve Mason,2011,22.0,76.0,210.0
dwayne roloson,Dwayne Roloson,2011,41.0,73.0,170.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2011,32.0,74.0,192.0
craig anderson,Craig Anderson,2011,29.0,74.0,187.0
jonas hiller,Jonas Hiller,2011,28.0,74.0,191.0
michal neuvirth,Michal Neuvirth,2011,22.0,73.0,209.0
nikolai khabibulin,Nikolai Khabibulin,2011,38.0,73.0,208.0
peter budaj,Peter Budaj,2011,28.0,73.0,196.0
dan ellis,Dan Ellis,2011,30.0,73.0,195.0
james reimer,James Reimer,2011,22.0,74.0,200.0
mathieu garon,Mathieu Garon,2011,33.0,73.0,206.0
devan dubnyk,Devan Dubnyk,2011,24.0,78.0,224.0
brian boucher,Brian Boucher,2011,34.0,74.0,198.0
johan hedberg,Johan Hedberg,2011,37.0,72.0,190.0
jean sabastien gigua re,Jean-SÃ©bastien GiguÃ¨re,2011,33.0,73.0,202.0
chris mason,Chris Mason,2011,34.0,72.0,198.0
josa thaodore,JosÃ© ThÃ©odore,2011,34.0,71.0,172.0
scott clemmensen,Scott Clemmensen,2011,33.0,74.0,201.0
tuukka rask,Tuukka Rask,2011,23.0,75.0,176.0
marty turco,Marty Turco,2011,35.0,71.0,184.0
curtis mcelhinney,Curtis McElhinney,2011,27.0,74.0,203.0
