name,display_name,height_in,weight_lbs,avg_gsax,qualifying_seasons,total_gsax,weight_height_ratio
igor shesterkin,Igor Shesterkin,73.0,199.0,19.756000000000004,5,98.78000000000002,2.7260273972602738
connor hellebuyck,Connor Hellebuyck,76.0,207.0,17.75555555555556,9,159.80000000000004,2.723684210526316
ilya sorokin,Ilya Sorokin,75.0,189.0,17.597500000000004,4,70.39000000000001,2.52
andrei vasilevskiy,Andrei Vasilevskiy,76.0,223.0,15.327499999999999,8,122.61999999999999,2.9342105263157894
juuse saros,Juuse Saros,71.0,180.0,10.870000000000001,7,76.09,2.535211267605634
jeremy swayman,Jeremy Swayman,75.0,195.0,9.365000000000002,4,37.46000000000001,2.6
linus ullmark,Linus Ullmark,76.0,223.0,9.223333333333331,6,55.33999999999999,2.9342105263157894
braden holtby,Braden Holtby,73.0,215.0,8.95875,8,71.67,2.9452054794520546
ben bishop,Ben Bishop,79.0,210.0,8.877142857142857,7,62.14,2.6582278481012658
thatcher demko,Thatcher Demko,76.0,192.0,8.405000000000001,4,33.620000000000005,2.526315789473684
tuukka rask,Tuukka Rask,75.0,176.0,8.085000000000004,8,64.68000000000004,2.3466666666666667
darcy kuemper,Darcy Kuemper,77.0,215.0,7.794999999999999,6,46.769999999999996,2.792207792207792
cory schneider,Cory Schneider,74.0,210.0,7.602857142857139,7,53.21999999999997,2.8378378378378377
frederik andersen,Frederik Andersen,76.0,229.0,7.3925,8,59.14,3.013157894736842
sergei bobrovsky,Sergei Bobrovsky,74.0,180.0,6.49153846153846,13,84.38999999999999,2.4324324324324325
jake oettinger,Jake Oettinger,78.0,225.0,6.462499999999999,4,25.849999999999994,2.8846153846153846
kari lehtonen,Kari Lehtonen,76.0,209.0,5.882857142857148,7,41.180000000000035,2.75
mike smith,Mike Smith,77.0,220.0,5.761999999999999,10,57.61999999999999,2.857142857142857
jaroslav halak,Jaroslav HalÃ¡k,71.0,189.0,5.2557142857142845,7,36.78999999999999,2.6619718309859155
jonathan quick,Jonathan Quick,73.0,219.0,4.937,10,49.370000000000005,3.0
roberto luongo,Roberto Luongo,75.0,215.0,4.501428571428572,7,31.510000000000005,2.8666666666666667
semyon varlamov,Semyon Varlamov,74.0,201.0,4.402999999999999,10,44.02999999999999,2.7162162162162162
carey price,Carey Price,75.0,217.0,4.136249999999997,8,33.089999999999975,2.8933333333333335
cam talbot,Cam Talbot,75.0,202.0,3.8950000000000005,10,38.95,2.6933333333333334
henrik lundqvist,Henrik Lundqvist,73.0,182.0,3.83555555555556,9,34.52000000000004,2.493150684931507
mackenzie blackwood,Mackenzie Blackwood,76.0,225.0,3.7774999999999928,4,15.109999999999971,2.960526315789474
brian elliott,Brian Elliott,74.0,221.0,3.303750000000001,8,26.430000000000007,2.9864864864864864
corey crawford,Corey Crawford,74.0,216.0,3.2637499999999955,8,26.109999999999964,2.918918918918919
jonathan bernier,Jonathan Bernier,72.0,185.0,2.2585714285714267,7,15.809999999999988,2.5694444444444446
robin lehner,Robin Lehner,76.0,240.0,2.1299999999999955,5,10.649999999999977,3.1578947368421053
anton khudobin,Anton Khudobin,71.0,195.0,1.388333333333333,6,8.329999999999998,2.7464788732394365
jordan binnington,Jordan Binnington,74.0,172.0,0.8033333333333322,6,4.819999999999993,2.324324324324324
thomas greiss,Thomas Greiss,74.0,219.0,0.5616666666666698,6,3.3700000000000188,2.9594594594594597
ryan miller,Ryan Miller,74.0,168.0,0.5500000000000019,6,3.3000000000000114,2.27027027027027
alexandar georgiev,Alexandar Georgiev,73.0,178.0,0.4039999999999992,5,2.019999999999996,2.4383561643835616
james reimer,James Reimer,74.0,200.0,-0.1530000000000001,10,-1.5300000000000011,2.7027027027027026
jimmy howard,Jimmy Howard,73.0,218.0,-0.21857142857143483,7,-1.5300000000000438,2.9863013698630136
antti niemi,Antti Niemi,74.0,209.0,-0.48499999999999943,6,-2.9099999999999966,2.824324324324324
tristan jarry,Tristan Jarry,76.0,201.0,-0.701666666666668,6,-4.210000000000008,2.6447368421052633
anton forsberg,Anton Forsberg,75.0,200.0,-0.7299999999999969,4,-2.9199999999999875,2.6666666666666665
john gibson,John Gibson,75.0,209.0,-1.428749999999999,8,-11.429999999999993,2.7866666666666666
steve mason,Steve Mason,76.0,210.0,-1.6020000000000039,5,-8.01000000000002,2.763157894736842
philipp grubauer,Philipp Grubauer,73.0,188.0,-2.3000000000000034,7,-16.100000000000023,2.5753424657534247
jake allen,Jake Allen,74.0,197.0,-2.6274999999999995,8,-21.019999999999996,2.6621621621621623
devan dubnyk,Devan Dubnyk,78.0,224.0,-2.8266666666666698,9,-25.440000000000026,2.871794871794872
pekka rinne,Pekka Rinne,77.0,217.0,-3.0349999999999984,8,-24.279999999999987,2.8181818181818183
carter hutton,Carter Hutton,72.0,208.0,-3.741999999999996,5,-18.70999999999998,2.888888888888889
petr mrazek,Petr MrÃ¡zek,74.0,192.0,-4.182500000000001,8,-33.46000000000001,2.5945945945945947
cam ward,Cam Ward,73.0,194.0,-4.552857142857142,7,-31.86999999999999,2.6575342465753424
craig anderson,Craig Anderson,74.0,187.0,-5.23,8,-41.84,2.527027027027027
joonas korpisalo,Joonas Korpisalo,76.0,200.0,-6.095000000000002,4,-24.38000000000001,2.6315789473684212
martin jones,Martin Jones,77.0,203.0,-7.626249999999999,8,-61.00999999999999,2.6363636363636362
