name,display_name,height_in,weight_lbs,avg_gsax,qualifying_seasons,total_gsax,weight_height_ratio
igor shesterkin,Igor Shesterkin,73.0,199.0,19.756000000000004,5,98.78000000000002,2.7260273972602738
connor hellebuyck,Connor Hellebuyck,76.0,207.0,17.75555555555556,9,159.80000000000004,2.723684210526316
ilya sorokin,Ilya Sorokin,75.0,189.0,17.597500000000004,4,70.39000000000001,2.52
andrei vasilevskiy,Andrei Vasilevskiy,76.0,223.0,15.327499999999999,8,122.61999999999999,2.9342105263157894
anthony stolarz,Anthony Stolarz,78.0,248.0,14.963333333333333,3,44.89,3.1794871794871793
sam montembeault,Sam Montembeault,75.0,218.0,13.26,3,39.78,2.9066666666666667
filip gustavsson,Filip Gustavsson,74.0,184.0,11.546666666666662,3,34.639999999999986,2.4864864864864864
juuse saros,Juuse Saros,71.0,180.0,10.870000000000001,7,76.09,2.535211267605634
logan thompson,Logan Thompson,76.0,207.0,10.200000000000003,3,30.60000000000001,2.723684210526316
jeremy swayman,Jeremy Swayman,75.0,195.0,9.365000000000002,4,37.46000000000001,2.6
linus ullmark,Linus Ullmark,76.0,223.0,9.223333333333331,6,55.33999999999999,2.9342105263157894
braden holtby,Braden Holtby,73.0,215.0,8.95875,8,71.67,2.9452054794520546
ben bishop,Ben Bishop,79.0,210.0,8.877142857142857,7,62.14,2.6582278481012658
antti raanta,Antti Raanta,72.0,195.0,8.816666666666666,6,52.9,2.7083333333333335
tuukka rask,Tuukka Rask,75.0,176.0,8.085000000000004,8,64.68000000000004,2.3466666666666667
frederik andersen,Frederik Andersen,76.0,229.0,7.3925,8,59.14,3.013157894736842
jake oettinger,Jake Oettinger,78.0,225.0,6.462499999999999,4,25.849999999999994,2.8846153846153846
karel vejmelka,Karel Vejmelka,76.0,221.0,6.200000000000003,3,18.60000000000001,2.9078947368421053
sergei bobrovsky,Sergei Bobrovsky,74.0,180.0,6.093571428571428,14,85.30999999999999,2.4324324324324325
thatcher demko,Thatcher Demko,76.0,192.0,5.9159999999999995,5,29.58,2.526315789473684
mike smith,Mike Smith,77.0,220.0,5.909999999999999,11,65.00999999999999,2.857142857142857
kari lehtonen,Kari Lehtonen,76.0,209.0,5.882857142857148,7,41.180000000000035,2.75
darcy kuemper,Darcy Kuemper,77.0,215.0,5.779000000000001,10,57.790000000000006,2.792207792207792
