tier,player_name,player_id,age,team_2526,seasons_in_db,career_composite,twoway_composite,defensive_score,rush_against_per60,career_gr,career_gap,career_rate,composite_2526,gr_2526,gap_2526,rate_2526,reb_shots_2526,sample_conf,ci_confirmed,trend,nf_traj,def_trajectory,combined_trajectory,gap_flag,rate_flag,gr_flag_active,n_primary_flags,flags
Tier1_healthy,Jackson Blake,8482809,23.0000,CAR,2.0000,0.5041,0.7025,1.0000,16.6757,0.0312,1.3100,0.2872,0.5577,0.3889,1.2222,0.2857,18.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Gabriel Landeskog,8476455,34.0000,COL,4.0000,0.6359,0.7024,0.8022,20.6825,0.1915,1.7200,0.2422,0.4670,0.4667,1.9333,0.2600,15.0000,Low,False,rising,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Logan Stankoven,8482702,23.0000,TOR,3.0000,0.6102,0.6994,0.8332,20.0534,0.1739,1.5200,0.2130,0.6718,0.6471,1.4706,0.2218,17.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Ryan O'Reilly,8475158,,NSH,6.0000,0.7446,0.6958,0.6225,24.3213,0.2297,1.4900,0.2859,0.6792,0.6667,1.6000,0.4148,15.0000,Low,True,rising,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.415 vs career 0.286 (▲45%)
Tier1_healthy,Anthony Mantha,8477511,32.0000,PIT,6.0000,0.6525,0.6814,0.7247,22.2510,0.2619,1.8300,0.1991,0.7957,0.9444,1.6111,0.2308,18.0000,Low,True,rising,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Valeri Nichushkin,8477501,31.0000,COL,6.0000,0.6605,0.6621,0.6646,23.4693,0.1549,1.5100,0.2041,0.5806,0.3500,1.4500,0.1905,20.0000,Medium,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Nino Niederreiter,8475799,34.0000,WPG,6.0000,0.5868,0.6499,0.7444,21.8515,0.1368,1.5600,0.2686,0.4679,0.2500,1.3125,0.3109,16.0000,Low,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Shane Pinto,8481596,26.0000,OTT,6.0000,0.6568,0.6469,0.6320,24.1285,0.1667,1.5200,0.2072,0.5552,0.3684,1.5263,0.2083,19.0000,Low,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Alexis LafreniÃ¨re,8482109,25.0000,NYR,6.0000,0.6079,0.6468,0.7052,22.6469,0.1846,1.7500,0.2118,0.6327,0.5625,1.5625,0.2320,16.0000,Low,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Jason Robertson,8480027,,DAL,6.0000,0.5554,0.6465,0.7831,21.0676,0.2065,1.7500,0.1497,0.3680,0.2381,1.4286,0.1640,21.0000,Medium,True,stable,stable,stable,elite_trajectory,True,False,False,1.0000,gap 1.43s vs career 1.75s (▼0.32s)
Tier1_healthy,Nazem Kadri,8475172,,MIN,6.0000,0.5771,0.6454,0.7478,21.7834,0.1127,1.4500,0.1346,0.4524,0.1765,1.3529,0.1894,17.0000,Low,False,rising,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.189 vs career 0.135 (▲41%)
Tier1_healthy,Michael Bunting,8478047,,NSH,6.0000,0.5963,0.6364,0.6966,22.8209,0.1042,1.5400,0.2453,0.3953,0.2500,1.6250,0.1737,16.0000,Low,False,declining,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.174 vs career 0.245 (▼29%)
Tier1_healthy,Jake Guentzel,8477404,,TBL,6.0000,0.6076,0.6346,0.6752,23.2535,0.1287,1.5400,0.2589,0.5806,0.5000,1.7917,0.2920,24.0000,Medium,False,stable,stable,stable,elite_trajectory,True,False,False,1.0000,gap 1.79s vs career 1.54s (▲0.25s)
Tier1_healthy,Artturi Lehkonen,8477476,31.0000,COL,6.0000,0.6395,0.6294,0.6142,24.4884,0.1702,1.5900,0.2615,0.6383,0.3913,1.5217,0.3017,23.0000,Medium,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
