player_id,player_name,current_team,seasons_in_db,peak_season,peak_nf_rate,league_avg_peak,current_nf_rate,drop_pct,current_es_shots,season_history
8478585,Derek Ryan,EDM,5,20222023,0.3113,0.1558,0.0714,0.7705,42,2021:0.286(70es) | 2022:0.237(118es) | 2023:0.311(151es) | 2024:0.273(88es) | 2025:0.071(42es)
8481596,Shane Pinto,OTT,5,20212022,0.4,0.1459,0.1567,0.6082,268,2021:0.097(31es) | 2022:0.400(15es) | 2023:0.259(270es) | 2024:0.200(205es) | 2025:0.157(268es)
8478445,Mathew Barzal,NYI,5,20202021,0.2658,0.1381,0.1047,0.6062,172,2021:0.266(222es) | 2022:0.190(258es) | 2023:0.136(257es) | 2024:0.110(418es) | 2025:0.105(172es)
8479772,Zack MacEwen,OTT,5,20222023,0.2117,0.1558,0.0851,0.5979,47,2021:0.107(56es) | 2022:0.179(145es) | 2023:0.212(137es) | 2024:0.139(36es) | 2025:0.085(47es)
8478427,Sebastian Aho,CAR,5,20222023,0.3008,0.1558,0.1269,0.578,449,2021:0.209(253es) | 2022:0.289(402es) | 2023:0.301(379es) | 2024:0.183(405es) | 2025:0.127(449es)
8478099,ID:8478099,CBJ,5,20202021,0.1502,0.1381,0.0645,0.5705,93,2021:0.150(233es) | 2022:0.065(62es) | 2023:0.109(256es) | 2024:0.137(117es) | 2025:0.065(93es)
8479351,Sam Steel,DAL,5,20202021,0.3143,0.1381,0.1356,0.5686,177,2021:0.314(70es) | 2022:0.208(125es) | 2023:0.262(149es) | 2024:0.198(162es) | 2025:0.136(177es)
8473986,Alex Killorn,ANA,5,20212022,0.3248,0.1459,0.1424,0.5617,288,2021:0.172(204es) | 2022:0.325(274es) | 2023:0.253(241es) | 2024:0.224(277es) | 2025:0.142(288es)
8475798,Mikael Granlund,SJS,5,20202021,0.2761,0.1381,0.1246,0.5487,329,2021:0.276(134es) | 2022:0.206(223es) | 2023:0.222(225es) | 2024:0.161(261es) | 2025:0.125(329es)
8481711,Matias Maccelli,UTA,4,20222023,0.1818,0.1558,0.085,0.5325,200,2021:— | 2022:0.119(42es) | 2023:0.182(132es) | 2024:0.167(288es) | 2025:0.085(200es)
8473453,Trevor Lewis,LAK,5,20222023,0.1875,0.1558,0.0877,0.5322,114,2021:0.170(112es) | 2022:0.183(180es) | 2023:0.188(224es) | 2024:0.179(212es) | 2025:0.088(114es)
8479420,Tage Thompson,BUF,5,20202021,0.2162,0.1381,0.1018,0.5294,511,2021:0.216(148es) | 2022:0.108(463es) | 2023:0.157(547es) | 2024:0.101(477es) | 2025:0.102(511es)
8482745,Mason McTavish,ANA,4,20212022,0.4375,0.1459,0.2079,0.5249,356,2021:— | 2022:0.438(16es) | 2023:0.250(272es) | 2024:0.213(263es) | 2025:0.208(356es)
8479315,ID:8479315,CHI,4,20212022,0.2667,0.1459,0.129,0.5161,31,2021:— | 2022:0.267(15es) | 2023:0.133(90es) | 2024:0.189(106es) | 2025:0.129(31es)
8475149,Marcus Johansson,MIN,5,20212022,0.2757,0.1459,0.1339,0.5143,239,2021:0.163(86es) | 2022:0.276(185es) | 2023:0.232(233es) | 2024:0.134(247es) | 2025:0.134(239es)
8476889,Radek Faksa,STL,5,20222023,0.3688,0.1558,0.1806,0.5104,144,2021:0.188(144es) | 2022:0.237(152es) | 2023:0.369(141es) | 2024:0.252(155es) | 2025:0.181(144es)
8479996,Cody Glass,PIT,5,20232024,0.2707,0.1445,0.1368,0.4944,190,2021:0.218(55es) | 2022:0.000(15es) | 2023:0.254(232es) | 2024:0.271(133es) | 2025:0.137(190es)
8479981,Jonah Gadjovich,FLA,4,20222023,0.4,0.1558,0.2022,0.4944,89,2021:— | 2022:0.275(69es) | 2023:0.400(55es) | 2024:0.255(55es) | 2025:0.202(89es)
8478043,Sam Lafferty,BUF,5,20232024,0.3176,0.1445,0.1613,0.4921,93,2021:0.088(57es) | 2022:0.285(123es) | 2023:0.171(164es) | 2024:0.318(148es) | 2025:0.161(93es)
8471817,Ryan Reaves,TOR,5,20222023,0.3797,0.1558,0.1935,0.4903,31,2021:0.241(54es) | 2022:0.288(73es) | 2023:0.380(79es) | 2024:0.317(60es) | 2025:0.194(31es)
8477505,Alexander Wennberg,SJS,5,20222023,0.4182,0.1558,0.2186,0.4773,183,2021:0.239(134es) | 2022:0.216(153es) | 2023:0.418(165es) | 2024:0.305(154es) | 2025:0.219(183es)
8480023,Robert Thomas,STL,5,20202021,0.2553,0.1381,0.1346,0.4728,312,2021:0.255(47es) | 2022:0.204(191es) | 2023:0.180(178es) | 2024:0.175(331es) | 2025:0.135(312es)
8476905,Chandler Stephenson,SEA,5,20202021,0.288,0.1381,0.1527,0.4699,131,2021:0.288(125es) | 2022:0.246(199es) | 2023:0.270(204es) | 2024:0.173(173es) | 2025:0.153(131es)
8479385,Jordan Kyrou,STL,5,20202021,0.2035,0.1381,0.109,0.4645,468,2021:0.203(172es) | 2022:0.104(328es) | 2023:0.093(475es) | 2024:0.106(511es) | 2025:0.109(468es)
8482667,William Eklund,SJS,4,20212022,0.4,0.1459,0.2147,0.4632,326,2021:— | 2022:0.400(15es) | 2023:0.206(34es) | 2024:0.225(276es) | 2025:0.215(326es)
8480074,ID:8480074,STL,4,20212022,0.2072,0.1459,0.1124,0.4577,89,2021:0.176(142es) | 2022:0.207(111es) | 2023:— | 2024:0.139(238es) | 2025:0.112(89es)
8477508,Curtis Lazar,NJD,5,20222023,0.3605,0.1558,0.1961,0.456,51,2021:0.275(91es) | 2022:0.211(147es) | 2023:0.360(86es) | 2024:0.277(130es) | 2025:0.196(51es)
8477989,Christian Dvorak,MTL,5,20202021,0.3544,0.1381,0.1937,0.4535,222,2021:0.354(158es) | 2022:0.290(145es) | 2023:0.349(146es) | 2024:0.215(65es) | 2025:0.194(222es)
8477501,Valeri Nichushkin,COL,5,20232024,0.3736,0.1445,0.2047,0.4523,215,2021:0.180(172es) | 2022:0.307(264es) | 2023:0.260(258es) | 2024:0.374(273es) | 2025:0.205(215es)
8477955,Jared McCann,SEA,5,20202021,0.1911,0.1381,0.105,0.4504,419,2021:0.191(157es) | 2022:0.146(355es) | 2023:0.098(397es) | 2024:0.097(443es) | 2025:0.105(419es)
8479393,Noah Gregor,OTT,5,20232024,0.2,0.1445,0.1103,0.4483,145,2021:0.112(98es) | 2022:0.118(263es) | 2023:0.181(204es) | 2024:0.200(195es) | 2025:0.110(145es)
8478444,Brock Boeser,VAN,5,20232024,0.2363,0.1445,0.1304,0.4481,322,2021:0.167(251es) | 2022:0.170(394es) | 2023:0.230(309es) | 2024:0.236(402es) | 2025:0.130(322es)
8475754,Brock Nelson,NYI,5,20202021,0.3173,0.1381,0.1758,0.4459,364,2021:0.317(208es) | 2022:0.230(283es) | 2023:0.176(420es) | 2024:0.178(421es) | 2025:0.176(364es)
8479344,Jesse Puljujarvi,PIT,5,20212022,0.2803,0.1459,0.1553,0.4458,103,2021:0.279(179es) | 2022:0.280(264es) | 2023:0.159(227es) | 2024:0.149(47es) | 2025:0.155(103es)
8480015,Owen Tippett,PHI,5,20212022,0.1628,0.1459,0.0907,0.4429,430,2021:0.141(135es) | 2022:0.163(215es) | 2023:0.130(415es) | 2024:0.097(545es) | 2025:0.091(430es)
8474679,Gustav Nyquist,NSH,4,20212022,0.2817,0.1459,0.1574,0.4411,235,2021:— | 2022:0.282(213es) | 2023:0.199(166es) | 2024:0.204(274es) | 2025:0.157(235es)
8475791,Taylor Hall,CHI,5,20222023,0.2201,0.1558,0.1238,0.4376,307,2021:0.203(237es) | 2022:0.195(323es) | 2023:0.220(259es) | 2024:0.023(44es) | 2025:0.124(307es)
8478831,Kevin Stenlund,UTA,4,20222023,0.2222,0.1558,0.1269,0.4289,197,2021:0.160(75es) | 2022:— | 2023:0.222(117es) | 2024:0.155(142es) | 2025:0.127(197es)
8477952,Robby Fabbri,ANA,5,20232024,0.2988,0.1445,0.1712,0.4271,111,2021:0.156(96es) | 2022:0.255(212es) | 2023:0.258(66es) | 2024:0.299(164es) | 2025:0.171(111es)
8480748,Kiefer Sherwood,VAN,5,20222023,0.1845,0.1558,0.1071,0.4192,280,2021:0.125(40es) | 2022:0.143(14es) | 2023:0.184(103es) | 2024:0.120(217es) | 2025:0.107(280es)
8480813,Joe Veleno,DET,5,20232024,0.244,0.1445,0.1418,0.4188,141,2021:0.235(17es) | 2022:0.184(125es) | 2023:0.233(146es) | 2024:0.244(168es) | 2025:0.142(141es)
8479414,Nathan Bastian,NJD,5,20222023,0.4706,0.1558,0.2738,0.4182,84,2021:0.311(74es) | 2022:0.345(165es) | 2023:0.471(102es) | 2024:0.343(99es) | 2025:0.274(84es)
8480806,Isac Lundeström,ANA,5,20232024,0.4737,0.1445,0.2762,0.4169,105,2021:0.216(88es) | 2022:0.303(145es) | 2023:0.260(104es) | 2024:0.474(76es) | 2025:0.276(105es)
8477450,Jason Dickinson,CHI,5,20222023,0.2057,0.1558,0.12,0.4167,150,2021:0.183(126es) | 2022:0.160(125es) | 2023:0.206(209es) | 2024:0.176(238es) | 2025:0.120(150es)
8481522,ID:8481522,BUF,4,20222023,0.2238,0.1558,0.1307,0.4161,199,2021:— | 2022:0.131(99es) | 2023:0.224(143es) | 2024:0.149(141es) | 2025:0.131(199es)
8478904,Steven Lorentz,TOR,5,20232024,0.3175,0.1445,0.1857,0.415,140,2021:0.263(76es) | 2022:0.275(142es) | 2023:0.241(191es) | 2024:0.317(63es) | 2025:0.186(140es)
8481535,Nils Hoglander,VAN,5,20232024,0.3586,0.1445,0.2105,0.4129,152,2021:0.178(197es) | 2022:0.268(190es) | 2023:0.121(58es) | 2024:0.359(198es) | 2025:0.211(152es)
8482660,ID:8482660,CBJ,4,20212022,0.2,0.1459,0.1174,0.4129,264,2021:— | 2022:0.200(20es) | 2023:0.161(223es) | 2024:0.116(121es) | 2025:0.117(264es)
8479353,Brett Howden,VGK,5,20212022,0.4203,0.1459,0.2488,0.4079,217,2021:0.389(54es) | 2022:0.420(69es) | 2023:0.269(108es) | 2024:0.282(131es) | 2025:0.249(217es)
8475760,Nick Bjugstad,UTA,5,20222023,0.2846,0.1558,0.1699,0.403,206,2021:0.212(118es) | 2022:0.244(131es) | 2023:0.285(253es) | 2024:0.234(299es) | 2025:0.170(206es)
8480039,Martin Necas,CAR,5,20202021,0.1832,0.1381,0.1111,0.3937,396,2021:0.183(191es) | 2022:0.115(295es) | 2023:0.129(441es) | 2024:0.125(440es) | 2025:0.111(396es)
8479066,Ryan Lomberg,CGY,5,20222023,0.2202,0.1558,0.1339,0.3921,127,2021:0.191(68es) | 2022:0.136(162es) | 2023:0.220(218es) | 2024:0.131(137es) | 2025:0.134(127es)
8479359,ID:8479359,BUF,4,20212022,0.2941,0.1459,0.1805,0.3865,133,2021:— | 2022:0.294(17es) | 2023:0.000(12es) | 2024:0.249(177es) | 2025:0.180(133es)
8476448,William Karlsson,VGK,5,20202021,0.2424,0.1381,0.1488,0.3864,242,2021:0.242(198es) | 2022:0.230(239es) | 2023:0.210(290es) | 2024:0.239(301es) | 2025:0.149(242es)
8479291,Kevin Rooney,CGY,5,20222023,0.2963,0.1558,0.1827,0.3834,104,2021:0.264(91es) | 2022:0.207(111es) | 2023:0.296(27es) | 2024:0.178(45es) | 2025:0.183(104es)
8476469,Joel Armia,MTL,5,20222023,0.1984,0.1558,0.125,0.37,232,2021:0.171(123es) | 2022:0.177(181es) | 2023:0.198(126es) | 2024:0.170(224es) | 2025:0.125(232es)
8482665,Matty Beniers,SEA,4,20222023,0.2148,0.1558,0.1358,0.3678,324,2021:— | 2022:0.135(37es) | 2023:0.215(270es) | 2024:0.201(279es) | 2025:0.136(324es)
