rank,player_name,player_id,current_team,rebound_shots,rebound_goals,rebound_goal_rate,reb_gr_ci_lo,reb_gr_ci_hi,avg_x,avg_y,avg_time_gap,pos_dist,norm_goal_rate,norm_time_gap,norm_position,composite,ci_confirmed,trend
1,Oskar Sundqvist,8476897,STL,31,10,0.3226,0.1857,0.4986,79.6,1.4,1.55,1.456021977856105,0.9659669211195927,0.6533333333333333,0.8234222257908846,0.8294,True,stable
2,Phillip Danault,8476479,MTL,88,23,0.2614,0.1809,0.3618,80.1,0.0,1.56,0.09999999999999432,0.7713104325699746,0.6399999999999999,1.0,0.8005,True,stable
3,Josh Anderson,8476981,MTL,50,12,0.24,0.143,0.3741,79.5,0.4,1.48,0.6403124237432849,0.7032442748091603,0.7466666666666668,0.9296418740108013,0.7842,True,stable
4,Ryan O'Reilly,8475158,NSH,74,17,0.2297,0.1487,0.3375,78.8,0.2,1.49,1.2165525060596467,0.6704834605597964,0.7333333333333334,0.854605338610121,0.7446,True,rising
5,Nick Foligno,8473422,CHI,54,10,0.1852,0.1038,0.3084,81.0,1.4,1.35,1.7204650534085253,0.5289440203562341,0.9199999999999999,0.7889871130503933,0.7243,False,stable
6,Joel Farabee,8480797,CGY,61,11,0.1803,0.1038,0.2947,80.6,1.1,1.39,1.252996408614164,0.5133587786259541,0.8666666666666668,0.849859705204721,0.7203,False,stable
7,Tyson Jost,8479370,NSH,49,8,0.1633,0.0851,0.2904,80.7,-0.2,1.39,0.7280109889280546,0.45928753180661575,0.8666666666666668,0.918221987243079,0.7192,False,stable
8,Jared McCann,8477955,SEA,36,12,0.3333,0.2021,0.4967,78.6,3.1,1.67,3.4014702703389923,1.0,0.4933333333333335,0.5700908381472516,0.719,True,stable
9,Andrew Mangiapane,8478233,EDM,62,14,0.2258,0.1396,0.3441,80.3,0.5,1.61,0.5830951894845285,0.6580788804071247,0.5733333333333333,0.9370925584663632,0.7164,True,rising
10,Charlie Coyle,8475745,CBJ,58,13,0.2241,0.1359,0.3466,81.4,2.3,1.4,2.692582403567255,0.6526717557251908,0.8533333333333335,0.6624004346895606,0.7158,True,rising
11,Morgan Geekie,8479987,BOS,43,11,0.2558,0.1493,0.4024,80.3,0.6,1.7,0.6708203932499356,0.753498727735369,0.4533333333333335,0.9256692028896143,0.7151,True,stable
12,Andre Burakovsky,8477444,CHI,34,8,0.2353,0.1244,0.4,76.9,0.1,1.41,3.1016124838541588,0.688295165394402,0.8400000000000002,0.6091375655465199,0.7101,False,rising
13,Yanni Gourde,8476826,TBL,70,14,0.2,0.123,0.3082,79.9,0.7,1.54,0.7071067811865467,0.5760178117048346,0.6666666666666667,0.9209440806419162,0.7067,False,stable
14,J.T. Miller,8476468,NYR,67,14,0.209,0.1288,0.3207,79.3,-0.3,1.58,0.7615773105863934,0.6046437659033078,0.6133333333333333,0.9138510651904825,0.7,False,rising
15,Patrick Maroon,8474034,—,40,7,0.175,0.0875,0.3195,80.4,0.6,1.48,0.721110255092801,0.496501272264631,0.7466666666666668,0.9191205834612355,0.6983,False,stable
16,Ryan Donato,8477987,CHI,63,14,0.2222,0.1372,0.3391,80.4,-0.4,1.65,0.5656854249492421,0.6466284987277354,0.5200000000000002,0.9393596142525872,0.6965,True,declining
17,Pierre Engvall,8478115,—,49,9,0.1837,0.0998,0.3136,80.7,-0.3,1.51,0.7615773105863934,0.5241730279898219,0.7066666666666668,0.9138510651904825,0.6958,False,stable
18,Nick Schmaltz,8477951,UTA,43,10,0.2326,0.1315,0.3774,78.0,1.0,1.53,2.23606797749979,0.67970737913486,0.6799999999999999,0.7218465960097411,0.6924,True,stable
19,James van Riemsdyk,8474037,DET,65,10,0.1538,0.0858,0.2606,79.5,0.7,1.42,0.8602325267042626,0.4290712468193384,0.8266666666666668,0.9010044308728336,0.6899,False,stable
20,Pius Suter,8480459,STL,86,15,0.1744,0.1086,0.268,80.6,-0.4,1.5,0.7211102550927931,0.4945928753180661,0.72,0.9191205834612365,0.6896,False,rising
21,Mikko Rantanen,8478420,DAL,77,17,0.2208,0.1427,0.3254,79.6,1.6,1.56,1.6492422502470658,0.642175572519084,0.6399999999999999,0.7982615674918085,0.6883,True,rising
22,Steven Stamkos,8474564,NSH,59,12,0.2034,0.1204,0.3227,79.1,0.2,1.58,0.9219544457292943,0.5868320610687022,0.6133333333333333,0.892967157687493,0.6866,False,rising
23,Jack Hughes,8481559,NJD,63,11,0.1746,0.1004,0.2862,79.1,1.3,1.43,1.581138830084193,0.4952290076335878,0.8133333333333335,0.8071298237183049,0.6842,False,stable
24,Johnny Gaudreau,8476346,—,37,8,0.2162,0.1139,0.372,83.2,1.5,1.38,3.534119409414461,0.6275445292620865,0.8800000000000002,0.5528176006103988,0.6809,False,stable
25,Dylan Strome,8478440,WSH,68,17,0.25,0.1623,0.3644,81.4,-0.8,1.69,1.612451549659715,0.7350508905852416,0.4666666666666668,0.8030523600655244,0.6749,True,stable
26,Jesper Boqvist,8480003,FLA,35,7,0.2,0.1004,0.3589,78.2,0.5,1.51,1.8681541692269377,0.5760178117048346,0.7066666666666668,0.7697554075382465,0.6733,False,declining
27,Danton Heinen,8478046,CBJ,75,15,0.2,0.1251,0.3041,80.7,0.8,1.6,1.0630145812734668,0.5760178117048346,0.5866666666666667,0.8745986613277171,0.6688,False,rising
28,Brandon Tanev,8479293,UTA,41,6,0.1463,0.0688,0.2844,80.9,2.0,1.32,2.1931712199461333,0.40521628498727735,0.96,0.7274325039767995,0.6683,False,stable
29,Anthony Cirelli,8478519,TBL,74,16,0.2162,0.1377,0.3227,80.7,0.9,1.65,1.1401754250991398,0.6275445292620865,0.5200000000000002,0.8645509701535846,0.6664,True,rising
30,Blake Lizotte,8481481,PIT,47,8,0.1702,0.0889,0.3014,79.9,-0.2,1.6,0.22360679774997644,0.4812340966921119,0.5866666666666667,0.983904233426721,0.6637,False,stable
31,Valeri Nichushkin,8477501,COL,71,11,0.1549,0.0888,0.2565,80.2,0.7,1.51,0.7280109889280525,0.4325699745547074,0.7066666666666668,0.9182219872430792,0.6605,False,stable
