player_id,player_name,seasons,total_toi_mins,rush_against_per60_career,rush_against_per60_by_season,team_2526
8476470.0000,Nathan Beaulieu,"[20202021, 20212022, 20222023]",1468.8000,36.9281,"{""20202021"": 33.4303, ""20212022"": 35.2827, ""20222023"": 39.3116}",
8477384.0000,Joshua Brown,"[20202021, 20212022, 20222023, 20232024, 20242025]",3071.8167,34.9826,"{""20202021"": 30.289, ""20212022"": 33.6962, ""20222023"": 37.9006, ""20232024"": 34.4498, ""20242025"": 34.7333}",
8475236.0000,Cody Eakin,"[20202021, 20212022]",1560.8000,34.7130,"{""20202021"": 37.0105, ""20212022"": 33.2977}",
8474683.0000,Derek Grant,"[20202021, 20212022, 20222023]",2368.9500,34.6989,"{""20202021"": 33.6825, ""20212022"": 34.3611, ""20222023"": 36.1986}",
8479458.0000,Nikita Zaitsev,"[20202021, 20212022, 20222023, 20232024]",3793.5000,34.3693,"{""20202021"": 34.3378, ""20212022"": 35.4175, ""20222023"": 34.463, ""20232024"": 32.2866}",
8475772.0000,Riley Sheahan,"[20202021, 20212022, 20222023]",1553.5333,34.3346,"{""20202021"": 40.6809, ""20212022"": 29.2818, ""20222023"": 18.0542}",
8478062.0000,Dysin Mayo,"[20212022, 20222023, 20252026]",1594.4500,34.0180,"{""20212022"": 34.7545, ""20222023"": 30.4331, ""20252026"": 10.4956}",
8476374.0000,Sean Kuraly,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5493.7333,33.7803,"{""20202021"": 32.8994, ""20212022"": 37.1831, ""20222023"": 40.8142, ""20232024"": 31.9468, ""20242025"": 27.238, ""20252026"": 28.272}",
8474849.0000,Antoine Roussel,"[20202021, 20212022]",1055.5333,33.6512,"{""20202021"": 33.0904, ""20212022"": 34.0097}",
8477996.0000,Juho Lammikko,"[20202021, 20212022, 20252026]",1503.0333,33.5721,"{""20202021"": 32.7341, ""20212022"": 34.6724, ""20252026"": 27.7752}",
8475747.0000,Patrik Nemeth,"[20202021, 20212022, 20222023]",3578.7000,33.5317,"{""20202021"": 30.2146, ""20212022"": 31.8422, ""20222023"": 37.7246}",
8479415.0000,Michael McLeod,"[20202021, 20212022, 20222023, 20232024]",3602.8500,33.4568,"{""20202021"": 37.6522, ""20212022"": 39.7641, ""20222023"": 30.2203, ""20232024"": 24.9117}",
8480853.0000,Liam Foudy,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",1223.5000,33.3470,"{""20202021"": 33.3517, ""20212022"": 45.5696, ""20222023"": 34.1591, ""20232024"": 29.6068, ""20242025"": 24.1611, ""20252026"": 21.2703}",
8474697.0000,Mark Borowiecki,"[20202021, 20212022, 20222023]",1122.1000,33.3125,"{""20202021"": 28.1172, ""20212022"": 35.3927, ""20222023"": 31.738}",
8475790.0000,Erik Gudbranson,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6215.8667,33.3115,"{""20202021"": 35.1103, ""20212022"": 27.752, ""20222023"": 36.5006, ""20232024"": 35.9253, ""20242025"": 32.8515, ""20252026"": 31.3085}",
8479316.0000,Luke Kunin,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5052.3833,33.0616,"{""20202021"": 32.3617, ""20212022"": 32.8961, ""20222023"": 30.7285, ""20232024"": 35.912, ""20242025"": 33.5456, ""20252026"": 27.8318}",
8478841.0000,Colton White,"[20202021, 20212022, 20222023, 20252026]",1234.0667,32.9156,"{""20202021"": 29.4393, ""20212022"": 39.8333, ""20222023"": 31.9116, ""20252026"": 23.1577}",
8476442.0000,Matt Nieto,"[20202021, 20212022, 20222023, 20232024, 20242025]",3224.0500,32.8841,"{""20202021"": 39.0965, ""20212022"": 33.2656, ""20222023"": 30.3241, ""20232024"": 34.2924, ""20242025"": 32.2572}",
8479369.0000,Andrew Peeke,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6582.6833,32.7313,"{""20202021"": 29.4666, ""20212022"": 36.2278, ""20222023"": 36.676, ""20232024"": 28.0061, ""20242025"": 30.6174, ""20252026"": 25.8177}",
