team,nf_rate,gp,ga_pg,pp_pct,pk_pct,st_score,points_pct,p_nf,p_ga,p_st,pillars,playoff
ANA,0.3552456839309429,81,3.567901234567901,0.1856,0.76356,0.47458,0.560976,True,False,False,1,False
BOS,0.31025546094039247,82,3.073170731707317,0.23404,0.76978,0.50191,0.609756,True,False,False,1,True
BUF,0.3394528437724982,82,3.0,0.19512,0.81896,0.50704,0.664634,True,True,False,2,False
CAR,0.3199152542372881,82,2.9634146341463414,0.24896,0.80519,0.527075,0.689024,True,True,True,3,True
CBJ,0.3384932920536636,82,3.1951219512195124,0.18905,0.76018,0.474615,0.560976,True,False,False,1,False
CGY,0.3255469039673711,81,3.246913580246914,0.16157,0.80408,0.482825,0.469512,True,False,False,1,False
CHI,0.2998790810157195,82,3.4390243902439024,0.16949,0.83613,0.50281,0.439024,True,False,False,1,False
COL,0.2911901081916538,81,2.5925925925925926,0.17374,0.84482,0.50928,0.734568,True,True,True,3,True
DAL,0.37067122702009403,82,2.841463414634146,0.28629,0.80321,0.54475,0.682927,True,True,True,3,True
DET,0.33745904623225337,82,3.207317073170732,0.2258,0.77142,0.49861,0.560976,True,False,False,1,False
EDM,0.37379162191192267,81,3.3580246913580245,0.3063,0.77828,0.5422899999999999,0.567073,True,False,True,2,True
FLA,0.35162002945508103,82,3.4146341463414633,0.19548,0.80952,0.5025,0.512195,True,False,False,1,True
LAK,0.33345045678144764,81,3.1358024691358026,0.16964,0.74583,0.457735,0.54878,True,False,False,1,True
MIN,0.37557522123893805,82,3.0,0.25193,0.79812,0.5250250000000001,0.634146,True,True,True,3,True
MTL,0.34187039192859914,82,3.207317073170732,0.2314,0.78225,0.506825,0.646341,True,False,False,1,False
NJD,0.34046222835460505,82,3.1341463414634148,0.21951,0.79327,0.50639,0.530488,True,False,False,1,True
NSH,0.3598499061913696,81,3.2962962962962963,0.23109,0.81707,0.52408,0.52439,True,False,True,2,False
NYI,0.3366629670736219,82,3.0,0.16528,0.80841,0.4868449999999999,0.554878,True,True,False,2,False
NYR,0.31954740538431525,82,3.073170731707317,0.24651,0.79919,0.52285,0.469512,True,False,True,2,True
OTT,0.34735706580366776,82,3.0121951219512195,0.23954,0.75744,0.49849,0.603659,True,False,False,1,False
PHI,0.3642000826787929,82,3.024390243902439,0.15744,0.77551,0.466475,0.597561,True,False,False,1,False
PIT,0.36873889875666077,82,3.3780487804878048,0.24137,0.81434,0.527855,0.597561,True,False,True,2,False
SEA,0.33544554455445547,81,3.234567901234568,0.19724,0.71698,0.4571099999999999,0.487654,True,False,False,1,False
SJS,0.3392405063291139,81,3.6049382716049383,0.21176,0.76422,0.48799,0.52439,True,False,False,1,False
STL,0.314859437751004,81,3.1728395061728394,0.17592,0.76681,0.471365,0.52439,True,False,False,1,True
TBL,0.3386454183266932,82,2.8658536585365852,0.20731,0.82558,0.516445,0.646341,True,True,True,3,True
TOR,0.3301046106160403,82,3.6951219512195124,0.21319,0.81222,0.512705,0.47561,True,False,True,2,True
UTA,0.35772938236344165,81,2.9012345679012346,0.2,0.78137,0.490685,0.560976,True,True,False,2,False
VAN,0.3373967754620527,81,3.8518518518518516,0.21794,0.71491,0.466425,0.353659,True,False,False,1,False
VGK,0.3330965909090909,82,3.1097560975609757,0.24576,0.81372,0.52974,0.579268,True,False,True,2,True
WPG,0.33719582850521435,81,3.1604938271604937,0.18502,0.77631,0.4806649999999999,0.5,True,False,False,1,True
WSH,0.3372262773722628,82,3.048780487804878,0.17842,0.80079,0.489605,0.579268,True,False,False,1,True
