rank_2526,player_name,player_id,team,es,nf,nf_rate,nf_goals,reb_shots,goal_rate,ci_lo,ci_hi,avg_x,avg_y,avg_gap,pos_dist,norm_gr,norm_gap,norm_pos,composite,ci_confirmed
1,Anthony Mantha,8477511,PIT,208,48,0.23076923076923078,17,18,0.9444444444444444,0.7424220019799247,0.9901250641690756,80.54166666666667,-1.3333333333333333,1.6111111111111112,1.4391596699308804,1.0,0.6433121019108281,0.6756632627863807,0.7957,True
2,ID:8484911,8484911,SJS,185,61,0.32972972972972975,10,16,0.625,0.3864064709793481,0.815190174452472,80.54098360655738,0.03278688524590164,1.5,0.5419762378628359,0.63929889298893,0.7452229299363058,0.9123658215619794,0.753,True
3,Kiefer Sherwood,8480748,VAN,268,41,0.15298507462686567,5,15,0.3333333333333333,0.15176100694691236,0.5828687484878701,80.17073170731707,0.12195121951219512,1.2666666666666666,0.20981281139128444,0.3099630996309963,0.959235668789809,1.0,0.7118,True
4,Ryan O'Reilly,8475158,NSH,176,73,0.4147727272727273,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,81.3013698630137,-0.410958904109589,1.6,1.3647163592583118,0.6863468634686346,0.6535031847133758,0.6953035297486304,0.6792,True
5,Logan Stankoven,8482702,CAR,257,57,0.22178988326848248,11,17,0.6470588235294118,0.4129996672121182,0.826905138560951,81.73684210526316,0.45614035087719296,1.4705882352941178,1.7957406600935866,0.6642066420664207,0.7721993255901086,0.5815870351550976,0.6718,True
6,Nico Hischier,8480002,NJD,242,50,0.2066115702479339,7,17,0.4117647058823529,0.21610786039131383,0.6399492561448447,81.2,0.44,1.3529411764705883,1.2781236246936392,0.3985239852398524,0.8801049082053204,0.7181491609877054,0.6389,True
7,Artturi Lehkonen,8477476,COL,232,70,0.3017241379310345,9,23,0.391304347826087,0.22157377982382145,0.5921482039625402,79.48571428571428,-0.2714285714285714,1.5217391304347827,0.5815180696299367,0.375421145515803,0.7252838548878426,0.9019335594142349,0.6383,True
8,Connor McDavid,8478402,EDM,320,82,0.25625,13,20,0.65,0.43285051021946463,0.8188104521320554,83.0609756097561,0.012195121951219513,1.25,3.060999902731316,0.6675276752767528,0.9745222929936307,0.24777558752672357,0.6337,True
9,Alexis Lafrenière,8482109,NYR,250,58,0.232,9,16,0.5625,0.33178195606776517,0.7690163666481448,81.25862068965517,-0.7931034482758621,1.5625,1.4876623004214127,0.5687269372693727,0.6878980891719746,0.6628668865559448,0.6327,True
10,Jordan Eberle,8474586,SEA,217,51,0.2350230414746544,9,15,0.6,0.357464427565077,0.8017577191740534,81.41176470588235,-0.7450980392156863,1.6,1.5963241127096128,0.611070110701107,0.6535031847133758,0.634198803652849,0.6307,True
11,Nathan MacKinnon,8477492,COL,385,59,0.15324675324675324,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,81.45762711864407,-0.4067796610169492,1.7333333333333334,1.5133230024101516,0.6863468634686346,0.5312101910828025,0.6560968620507979,0.6307,True
12,Josh Doan,8482659,BUF,247,83,0.3360323886639676,11,22,0.5,0.3072180469247956,0.6927819530752044,81.60240963855422,-0.6506024096385542,1.4090909090909092,1.7294508218388176,0.4981549815498155,0.8286045165026057,0.5990761837225829,0.6276,True
13,Taylor Hall,8475791,CAR,233,43,0.18454935622317598,8,15,0.5333333333333333,0.3011663015105079,0.7519077474025355,81.27906976744185,0.09302325581395349,1.6,1.2824479701360154,0.5357933579335793,0.6535031847133758,0.7170082754177605,0.6255,True
14,Pius Suter,8480459,STL,146,48,0.3287671232876712,8,15,0.5333333333333333,0.3011663015105079,0.7519077474025355,82.35416666666667,-0.041666666666666664,1.3333333333333333,2.3545353693575253,0.5357933579335793,0.8980891719745224,0.4341610654086906,0.614,True
15,Alex Iafallo,8480113,WPG,162,51,0.3148148148148148,5,15,0.3333333333333333,0.15176100694691236,0.5828687484878701,80.88235294117646,-0.6274509803921569,1.4,1.08270099547282,0.3099630996309963,0.8369426751592358,0.7697072200488259,0.606,True
16,Aliaksei Protas,8481656,WSH,274,67,0.24452554744525548,10,20,0.5,0.2992949144298199,0.7007050855701801,81.35820895522389,-0.08955223880597014,1.6,1.3611580251849982,0.4981549815498155,0.6535031847133758,0.6962423196883758,0.6042,True
17,Chris Kreider,8475184,ANA,192,55,0.2864583333333333,5,15,0.3333333333333333,0.15176100694691236,0.5828687484878701,80.69090909090909,-0.2909090909090909,1.5333333333333334,0.7496555682941172,0.3099630996309963,0.7146496815286624,0.8575740954100869,0.5957,True
18,Lawson Crouse,8478474,UTA,235,57,0.2425531914893617,6,16,0.375,0.18480982554752806,0.613593529020652,80.98245614035088,-1.280701754385965,1.375,1.6141304319665217,0.3570110701107011,0.8598726114649682,0.6295009891593621,0.5896,True
19,ID:8484471,8484471,DET,176,58,0.32954545454545453,7,18,0.3888888888888889,0.20304991926931162,0.6138133141934384,81.05172413793103,-0.3103448275862069,1.5555555555555556,1.096557145941918,0.3726937269372694,0.694267515923567,0.7660515726599132,0.5872,True
20,Jake Guentzel,8477404,TBL,250,73,0.292,12,24,0.5,0.31427131627763083,0.6857286837223692,80.46575342465754,-0.8767123287671232,1.7916666666666667,0.9927490921640245,0.4981549815498155,0.47770700636942676,0.7934390957376676,0.5806,True
21,Valeri Nichushkin,8477501,COL,252,48,0.19047619047619047,7,20,0.35,0.18118954786794464,0.5671494897805354,81.29166666666667,0.2916666666666667,1.45,1.32418738183923,0.3287822878228782,0.7910828025477707,0.7059962290526536,0.5806,True
22,Alex Laferriere,8482155,LAK,371,57,0.15363881401617252,10,18,0.5555555555555556,0.3371606942825164,0.7544076889861088,80.64912280701755,1.2982456140350878,1.7777777777777777,1.4514827222367075,0.5608856088560886,0.4904458598726116,0.6724120903856696,0.5732,True
23,ID:8484762,8484762,ANA,293,64,0.21843003412969283,10,16,0.625,0.3864064709793481,0.815190174452472,82.109375,0.59375,1.6875,2.191347063594674,0.63929889298893,0.5732484076433122,0.4772147912753004,0.5709,True
24,Ryan Hartman,8477451,MIN,294,56,0.19047619047619047,12,16,0.75,0.5050123107060135,0.8981809801576265,82.51785714285714,-0.5714285714285714,1.8125,2.5818859781333514,0.7804428044280443,0.4585987261146497,0.37417949540534845,0.562,True
25,Jackson Blake,8482809,CAR,266,76,0.2857142857142857,7,18,0.3888888888888889,0.20304991926931162,0.6138133141934384,82.46052631578948,0.9210526315789473,1.2222222222222223,2.6272662028867675,0.3726937269372694,1.0,0.3622068987957727,0.5577,True
26,Shane Pinto,8481596,OTT,216,45,0.20833333333333334,7,19,0.3684210526315789,0.19149272376273843,0.5896084250184328,81.37777777777778,-0.5555555555555556,1.5263157894736843,1.4855684367429594,0.349582443192853,0.7210861548776399,0.6634193074686614,0.5552,True
27,Leo Carlsson,8484153,ANA,235,44,0.18723404255319148,6,15,0.4,0.19824228082594664,0.642535572434923,80.5,-1.3409090909090908,1.6,1.4310964992210151,0.385239852398524,0.6535031847133758,0.6777905570170267,0.5535,True
