shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8481024,105,26,0.2476,0.1749,0.3381,4,0.1538,True,1,83
8475855,53,10,0.1887,0.1059,0.3136,0,0.0,True,2,485
8484829,59,10,0.1695,0.0948,0.2846,2,0.2,True,3,215
8483690,51,8,0.1569,0.0817,0.2801,2,,True,4,215
8476392,215,33,0.1535,0.1114,0.2077,5,0.1515,True,5,42
8479981,73,11,0.1507,0.0863,0.25,1,0.0909,True,6,325
8480849,213,32,0.1502,0.1085,0.2044,2,0.0625,True,7,215
8479365,204,30,0.1471,0.105,0.2022,6,0.2,True,8,23
8482055,302,44,0.1457,0.1104,0.1899,7,0.1591,True,9,10
8479344,69,10,0.1449,0.0807,0.2466,1,0.1,True,10,325
8478057,146,21,0.1438,0.096,0.2099,7,0.3333,True,11,10
8478046,181,26,0.1436,0.1,0.2022,5,0.1923,True,12,42
8484800,63,9,0.1429,0.077,0.2497,2,,True,13,215
8478424,96,13,0.1354,0.0809,0.218,2,0.1538,True,14,215
8479941,119,16,0.1345,0.0845,0.2073,3,0.1875,True,15,130
8481481,119,16,0.1345,0.0845,0.2073,2,0.125,True,15,215
8476873,134,18,0.1343,0.0867,0.2024,5,0.2778,True,17,42
8483525,60,8,0.1333,0.0691,0.2417,1,,True,18,325
8479291,53,7,0.1321,0.0655,0.2484,3,,True,19,130
8476474,191,25,0.1309,0.0903,0.1861,4,0.16,True,20,83
8480855,193,25,0.1295,0.0893,0.1842,3,0.12,True,21,130
8480840,70,9,0.1286,0.0691,0.2266,2,,True,22,215
8477952,133,17,0.1278,0.0814,0.1952,1,0.0588,True,23,325
8483516,119,15,0.1261,0.0779,0.1976,2,0.1333,True,24,215
8475166,349,44,0.1261,0.0953,0.165,2,0.0455,True,24,215
8475314,367,46,0.1253,0.0953,0.1631,4,0.087,True,26,83
8483512,97,12,0.1237,0.0722,0.2039,1,0.0833,True,27,325
8481596,228,28,0.1228,0.0863,0.1718,4,0.1429,True,28,83
8477446,214,26,0.1215,0.0843,0.1721,5,0.1923,True,29,42
8476881,280,34,0.1214,0.0882,0.1649,4,0.1176,True,30,83
8473533,248,30,0.121,0.0861,0.1674,3,0.1,True,31,130
8473422,191,23,0.1204,0.0816,0.1742,6,0.2609,True,32,23
8476624,150,18,0.12,0.0773,0.1817,3,0.1667,True,33,130
8475799,293,35,0.1195,0.0872,0.1616,5,0.1429,True,34,42
8475231,185,22,0.1189,0.0799,0.1735,5,0.2273,True,35,42
8480185,211,25,0.1185,0.0816,0.1691,6,0.24,True,36,23
8480023,220,26,0.1182,0.0819,0.1675,3,0.1154,True,37,130
8482703,68,8,0.1176,0.0608,0.2154,1,,True,38,325
8480762,205,24,0.1171,0.0799,0.1683,3,0.125,True,39,130
8481580,299,35,0.1171,0.0854,0.1584,7,0.2,True,39,10
8470794,95,11,0.1158,0.0659,0.1955,3,0.2727,True,41,130
8484221,52,6,0.1154,0.054,0.2297,1,,False,42,325
8479638,165,19,0.1152,0.075,0.1728,1,0.0526,True,43,325
8481554,200,23,0.115,0.0779,0.1666,4,0.1739,True,44,83
8481560,87,10,0.1149,0.0636,0.1988,2,0.2,True,45,215
8479415,53,6,0.1132,0.0529,0.2258,2,,False,46,215
8479520,168,19,0.1131,0.0736,0.1699,2,0.1053,True,47,215
8484210,54,6,0.1111,0.0519,0.2219,0,,False,48,485
8476822,126,14,0.1111,0.0673,0.1779,1,0.0714,True,48,325
8478421,201,22,0.1095,0.0734,0.1602,4,0.1818,True,50,83
8477429,192,21,0.1094,0.0727,0.1614,2,0.0952,True,51,215
8479390,174,19,0.1092,0.071,0.1642,1,0.0526,True,52,325
8480220,202,22,0.1089,0.073,0.1594,7,0.3182,True,53,10
8484471,92,10,0.1087,0.0601,0.1886,3,0.3,True,54,130
8476432,212,23,0.1085,0.0734,0.1575,3,0.1304,True,55,130
8481716,249,27,0.1084,0.0756,0.1532,1,0.037,True,56,325
8477527,74,8,0.1081,0.0558,0.1991,1,,False,57,325
8482148,102,11,0.1078,0.0613,0.1829,2,0.1818,True,58,215
8475786,390,42,0.1077,0.0807,0.1424,6,0.1429,True,59,23
8475754,362,39,0.1077,0.0798,0.1439,3,0.0769,True,59,130
8480829,196,21,0.1071,0.0712,0.1582,3,0.1429,True,61,130
8478462,196,21,0.1071,0.0712,0.1582,3,0.1429,True,61,130
8477406,103,11,0.1068,0.0607,0.1812,1,0.0909,True,63,325
8481726,66,7,0.1061,0.0523,0.2031,0,,False,64,485
8477021,151,16,0.106,0.0663,0.1652,2,0.125,True,65,215
8475768,265,28,0.1057,0.0741,0.1485,3,0.1071,True,66,130
8481535,190,20,0.1053,0.0692,0.157,5,0.25,True,67,42
8474034,95,10,0.1053,0.0582,0.183,2,0.2,False,67,215
