shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8481024,Linus Karlsson,105,48,0.4571,0.3651,0.5523,7,0.1458,True
8476392,Adam Lowry,215,81,0.3767,0.3147,0.4431,10,0.1235,True
8481532,Alex Turcotte,136,51,0.375,0.2981,0.4587,5,0.098,True
8478462,Nicolas Roy,196,71,0.3622,0.2982,0.4316,8,0.1127,True
8480849,Barrett Hayton,213,77,0.3615,0.3,0.428,4,0.0519,True
8475343,Nic Dowd,155,54,0.3484,0.2779,0.4262,9,0.1667,True
8479638,Justin Brazeau,165,56,0.3394,0.2715,0.4146,7,0.125,True
8477021,Alexander Kerfoot,151,51,0.3377,0.2672,0.4164,7,0.1373,True
8477476,Artturi Lehkonen,267,90,0.3371,0.283,0.3957,15,0.1667,True
8480113,Alex Iafallo,222,74,0.3333,0.2746,0.3977,10,0.1351,True
8476873,Mark Jankowski,134,44,0.3284,0.2546,0.4117,7,0.1591,True
8474641,Adam Henrique,212,67,0.316,0.2572,0.3814,9,0.1343,True
8476419,Jean-Gabriel Pageau,185,58,0.3135,0.251,0.3836,5,0.0862,True
8475184,Chris Kreider,259,81,0.3127,0.2594,0.3716,11,0.1358,True
8480185,Eetu Luostarinen,211,65,0.3081,0.2497,0.3733,10,0.1538,True
8475799,Nino Niederreiter,293,89,0.3038,0.2539,0.3587,7,0.0787,True
8480762,Eric Robinson,205,62,0.3024,0.2437,0.3685,8,0.129,True
8480014,Gabriel Vilardi,225,68,0.3022,0.246,0.3651,12,0.1765,True
8482055,Drew O'Connor,302,91,0.3013,0.2523,0.3553,11,0.1209,True
8482720,Matthew Knies,257,77,0.2996,0.2469,0.3582,17,0.2208,True
8479520,Brandon Duhaime,168,50,0.2976,0.2336,0.3707,5,0.1,True
8474037,James van Riemsdyk,195,58,0.2974,0.2377,0.365,9,0.1552,True
8475231,Casey Cizikas,185,55,0.2973,0.2361,0.3667,9,0.1636,True
8476878,Zemgus Girgensons,203,60,0.2956,0.2371,0.3617,5,0.0833,True
8475314,Anders Lee,367,108,0.2943,0.25,0.3428,11,0.1019,True
8479941,Justin Danforth,119,35,0.2941,0.2197,0.3814,6,0.1714,True
8480064,Josh Norris,143,42,0.2937,0.2252,0.373,8,0.1905,True
8476468,J.T. Miller,243,71,0.2922,0.2386,0.3522,14,0.1972,True
8477429,Andrew Copp,192,56,0.2917,0.232,0.3595,8,0.1429,True
8481716,Dmitri Voronkov,249,72,0.2892,0.2364,0.3483,12,0.1667,True
8478043,Sam Lafferty,104,30,0.2885,0.2102,0.3818,5,0.1667,True
8476474,Stefan Noesen,191,55,0.288,0.2284,0.3559,6,0.1091,True
8478057,Dakota Joshua,146,42,0.2877,0.2204,0.3658,9,0.2143,True
8483524,Shane Wright,136,39,0.2868,0.2174,0.3678,8,0.2051,True
8476624,Barclay Goodrow,150,43,0.2867,0.2203,0.3637,3,0.0698,True
