rank,player_name,player_id,position,age_approx,current_team,composite,rebound_goal_rate,rebound_shots,avg_x,avg_y,avg_time_gap,ci_confirmed,draft_info,is_active,cap_hit,contract_expiry,ufa_rfa_status,value_tier,change_of_scenery
1,Phillip Danault,8476479,C,32,MTL,0.862,0.2716,81,80.2,-0.2,1.53,True,2011 Rd1 #26,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
2,Josh Anderson,8476981,R,31,MTL,0.8455,0.2927,41,78.6,1.2,1.49,True,2012 Rd4 #95,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
3,Yanni Gourde,8476826,C,34,TBL,0.7914,0.2281,57,79.9,0.6,1.51,True,undrafted,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
4,Ryan O'Reilly,8475158,C,34,NSH,0.7828,0.2373,59,78.4,-0.1,1.46,True,2009 Rd2 #33,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
8,Dakota Joshua,8478057,C,29,TOR,0.7517,0.2593,54,80.6,-1.0,1.7,True,2014 Rd5 #128,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
11,Mason Appleton,8478891,C,29,DET,0.7458,0.2703,37,78.8,-2.1,1.62,True,2015 Rd6 #168,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
14,Anthony Cirelli,8478519,C,28,TBL,0.7329,0.2453,53,80.6,1.7,1.62,True,2015 Rd3 #72,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
17,Marcus Foligno,8475220,L,34,MIN,0.7257,0.25,40,79.6,1.6,1.68,True,2009 Rd4 #104,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
19,Danton Heinen,8478046,L,30,CBJ,0.7228,0.2239,67,80.6,1.0,1.63,True,2014 Rd4 #116,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
24,Dylan Strome,8478440,C,28,WSH,0.7114,0.2414,58,81.5,-1.1,1.66,True,2015 Rd1 #3,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
25,Roope Hintz,8478449,C,29,DAL,0.7113,0.2344,64,78.9,1.6,1.62,True,2015 Rd2 #49,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
29,Patrice Bergeron,8470638,C,40,—,0.7066,0.2553,47,78.1,-0.6,1.72,True,2003 Rd2 #45,False,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
30,J.T. Miller,8476468,C,32,NYR,0.7065,0.2364,55,78.4,-0.6,1.67,True,2011 Rd1 #15,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
33,Garnet Hathaway,8477903,R,34,PHI,0.7044,0.234,47,79.9,2.1,1.62,True,undrafted,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
36,Connor McMichael,8481580,L,24,WSH,0.7018,0.2364,55,81.3,0.2,1.73,True,2019 Rd1 #25,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
47,Brock Boeser,8478444,R,28,VAN,0.6782,0.25,36,77.5,2.0,1.64,True,2015 Rd1 #23,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
68,Kevin Fiala,8477942,L,29,LAK,0.6568,0.2333,60,79.3,0.9,1.87,True,2014 Rd1 #11,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
132,Max Domi,8477503,C,30,TOR,0.5893,0.2571,35,75.4,0.4,1.77,True,2013 Rd1 #12,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
134,Jason Robertson,8480027,L,26,DAL,0.5884,0.2535,71,77.3,2.7,1.85,True,2017 Rd2 #39,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
137,Brad Marchand,8473419,L,37,FLA,0.5871,0.2222,81,77.7,2.2,1.79,True,2006 Rd3 #71,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
159,Kyle Palmieri,8475151,C,34,NYI,0.5774,0.2308,65,76.5,-1.1,1.8,True,2009 Rd1 #26,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
254,David Pastrnak,8477956,R,29,BOS,0.4618,0.2333,60,74.2,2.4,1.85,True,2014 Rd1 #25,True,N/A — not in NHL API,N/A — not in NHL API,N/A — not in NHL API,,
