team,season,es_attempts,nf_attempts,nf_attempt_rate,nf_goals,nf_goal_rate,lg_nf_rate,lg_nf_goal_rate,rate_vs_lg
EDM,20202021,2679,248,0.0926,28,0.1129,0.0971,0.1165,-0.0045
EDM,20212022,4565,474,0.1038,62,0.1308,0.1046,0.1141,-0.0007
EDM,20222023,4244,501,0.118,38,0.0758,0.1169,0.0975,0.0012
EDM,20232024,5231,672,0.1285,62,0.0923,0.1189,0.0863,0.0096
EDM,20242025,5331,623,0.1169,49,0.0787,0.115,0.0848,0.0019
FLA,20202021,2695,249,0.0924,27,0.1084,0.0971,0.1165,-0.0047
FLA,20212022,4521,490,0.1084,62,0.1265,0.1046,0.1141,0.0038
FLA,20222023,4941,632,0.1279,61,0.0965,0.1169,0.0975,0.011
FLA,20232024,4908,587,0.1196,52,0.0886,0.1189,0.0863,0.0007
FLA,20242025,5042,648,0.1285,55,0.0849,0.115,0.0848,0.0135
WSH,20202021,2621,269,0.1026,34,0.1264,0.0971,0.1165,0.0056
WSH,20212022,3992,417,0.1045,40,0.0959,0.1046,0.1141,-0.0001
WSH,20222023,3820,493,0.1291,49,0.0994,0.1169,0.0975,0.0122
WSH,20232024,3930,501,0.1275,36,0.0719,0.1189,0.0863,0.0086
WSH,20242025,4521,597,0.1321,57,0.0955,0.115,0.0848,0.0171
