shooter_player_id,player_name,total_nf_shots,rebound_shots,nf_type_shots,nf_goals,rebound_goals,nf_goal_rate,nf_gr_ci_lo,nf_gr_ci_hi,avg_x_norm,avg_y_norm,avg_time_gap
8475786,Zach Hyman,289,112,177,32,14,0.1107,0.0795,0.1521,78.2,0.9,1.6
8476454,Ryan Nugent-Hopkins,198,73,125,20,10,0.101,0.0663,0.1509,75.6,0.7,1.58
8477934,Leon Draisaitl,122,45,77,19,10,0.1557,0.102,0.2305,75.3,0.3,1.84
8478402,Connor McDavid,204,90,114,15,9,0.0735,0.0451,0.1178,77.7,0.3,1.48
8479977,Kailer Yamamoto,136,44,92,14,4,0.1029,0.0623,0.1654,76.1,-0.8,1.34
8475169,Evander Kane,171,63,108,13,5,0.076,0.045,0.1257,75.4,-0.7,1.56
8477998,Warren Foegele,145,55,90,11,4,0.0759,0.0429,0.1307,72.9,1.4,1.73
8479344,Jesse Puljujarvi,98,33,65,10,6,0.102,0.0564,0.1777,74.2,-0.3,1.64
8478585,Derek Ryan,115,30,85,9,2,0.0783,0.0417,0.1421,70.7,-0.6,1.53
8480802,Ryan McLeod,89,26,63,8,5,0.0899,0.0463,0.1675,72.4,-2.0,1.73
8474641,Adam Henrique,73,22,51,8,2,0.1096,0.0566,0.2016,75.1,0.8,1.68
8470621,Corey Perry,70,17,53,8,4,0.1143,0.0591,0.2096,78.5,-0.2,1.88
8477406,Mattias Janmark,81,18,63,7,2,0.0864,0.0425,0.1678,73.9,1.6,1.44
8477015,Connor Brown,77,29,48,7,4,0.0909,0.0447,0.176,75.0,-0.1,1.55
8475784,Jeff Skinner,31,20,11,5,4,0.1613,0.0709,0.3263,69.0,1.7,1.55
8481617,,49,17,32,3,1,0.0612,0.021,0.1652,78.2,0.7,1.41
8477498,,43,33,10,3,3,0.0698,0.024,0.1861,67.9,13.5,2.03
8478042,,43,16,27,3,1,0.0698,0.024,0.1861,75.3,0.1,1.88
8482077,,35,7,28,3,2,0.0857,0.0296,0.2238,62.3,3.0,2.14
8480803,,30,23,7,3,1,0.1,0.0346,0.2562,55.4,-13.9,2.39
8477953,,24,9,15,3,3,0.125,0.0434,0.31,73.8,-1.0,1.33
8476967,,23,17,6,3,2,0.1304,0.0454,0.3213,65.9,10.6,2.35
8476913,,22,11,11,3,1,0.1364,0.0475,0.3334,75.9,-0.7,2.09
8480011,,22,5,17,3,1,0.1364,0.0475,0.3334,77.2,1.4,1.2
8480946,,17,6,11,3,2,0.1765,0.0619,0.4103,73.3,2.9,1.67
8475178,,33,7,26,2,2,0.0606,0.0168,0.1961,71.7,-1.7,2.0
8476879,,21,10,11,2,1,0.0952,0.0265,0.2891,70.4,-4.1,2.1
8475197,,17,10,7,2,2,0.1176,0.0329,0.3434,60.2,-14.2,2.3
8476915,,10,2,8,2,0,0.2,0.0567,0.5098,73.9,-2.4,2.5
8474589,,8,2,6,2,1,0.25,0.0715,0.5907,79.1,-0.9,1.5
8476326,,19,5,14,1,0,0.0526,0.0094,0.2464,76.6,-1.2,1.4
8474040,,14,4,10,1,1,0.0714,0.0127,0.3147,78.9,1.8,2.75
8479365,,12,6,6,1,0,0.0833,0.0149,0.3539,77.2,0.8,1.67
8475842,,11,4,7,1,0,0.0909,0.0162,0.3774,72.2,-0.7,1.5
8475760,,10,3,7,1,0,0.1,0.0179,0.4042,72.5,-2.7,1.33
8474068,,9,1,8,1,0,0.1111,0.0199,0.435,73.2,1.9,1.0
8480468,,8,4,4,1,1,0.125,0.0224,0.4709,71.5,2.6,1.25
8481813,,6,3,3,1,1,0.1667,0.0301,0.5635,70.7,-0.5,1.33
8475218,,27,13,14,0,0,0.0,0.0,0.1246,50.0,13.0,2.69
8471707,,10,3,7,0,0,0.0,0.0,0.2775,66.5,4.4,2.67
8475163,,8,1,7,0,0,0.0,0.0,0.3244,69.2,-4.9,2.0
8474098,,8,1,7,0,0,0.0,0.0,0.3244,75.6,-0.6,2.0
8481491,,8,2,6,0,0,0.0,0.0,0.3244,72.5,2.8,1.5
8478021,,6,5,1,0,0,0.0,0.0,0.3903,57.8,24.8,2.8
8479576,,5,4,1,0,0,0.0,0.0,0.4345,66.2,-20.2,2.25
8477454,,5,1,4,0,0,0.0,0.0,0.4345,70.0,-8.2,2.0
8478013,,5,3,2,0,0,0.0,0.0,0.4345,69.6,13.8,2.67
