orig_x_bin,orig_y_bin,orig_shots,rebound_sequences,rebound_rate,rebound_goals,rebound_goal_rate,top_rebound_dest
20,-50,33,3,0.0909,0,0.0,"(70,0)"
20,-40,696,36,0.0517,5,0.1389,"(80,-10)"
20,-30,590,47,0.0797,5,0.1064,"(80,-10)"
20,-20,438,35,0.0799,3,0.0857,"(80,-10)"
20,-10,464,33,0.0711,5,0.1515,"(80,-10)"
20,0,435,23,0.0529,0,0.0,"(80,-10)"
20,10,402,24,0.0597,3,0.125,"(80,-10)"
20,20,527,25,0.0474,1,0.04,"(80,-10)"
20,30,853,41,0.0481,2,0.0488,"(80,0)"
20,40,91,3,0.033,0,0.0,"(70,-10)"
30,-50,95,5,0.0526,0,0.0,"(80,0)"
30,-40,4455,275,0.0617,32,0.1164,"(80,-10)"
30,-30,5734,398,0.0694,59,0.149,"(80,-10)"
30,-20,4021,281,0.0699,39,0.1393,"(80,-10)"
30,-10,3826,238,0.0622,37,0.1555,"(80,-10)"
30,0,4081,282,0.0691,43,0.153,"(80,0)"
30,10,3709,245,0.0661,24,0.098,"(80,0)"
30,20,5511,336,0.061,41,0.1224,"(80,0)"
30,30,5166,284,0.055,25,0.0883,"(80,0)"
30,40,327,18,0.055,1,0.0556,"(70,0)"
40,-50,93,8,0.086,1,0.125,"(80,-10)"
40,-40,3617,231,0.0639,22,0.0952,"(80,-10)"
40,-30,4902,333,0.0679,46,0.1394,"(80,-10)"
40,-20,3629,249,0.0686,28,0.1129,"(80,-10)"
40,-10,3443,242,0.0703,29,0.1198,"(70,0)"
40,0,4070,239,0.0587,26,0.1092,"(80,0)"
40,10,3702,233,0.0629,27,0.1164,"(80,0)"
40,20,5144,333,0.0647,39,0.1171,"(80,0)"
40,30,4084,197,0.0482,21,0.1066,"(80,0)"
40,40,379,14,0.0369,0,0.0,"(80,0)"
50,-50,133,5,0.0376,1,0.2,"(80,-10)"
50,-40,3846,250,0.065,35,0.14,"(80,-10)"
50,-30,6167,443,0.0718,54,0.1219,"(80,-10)"
50,-20,5791,423,0.073,68,0.1611,"(80,-10)"
50,-10,4784,350,0.0732,50,0.1433,"(80,-10)"
50,0,5353,382,0.0714,49,0.1286,"(80,0)"
50,10,6199,402,0.0648,47,0.1169,"(80,0)"
50,20,6741,411,0.061,53,0.1293,"(80,0)"
50,30,4439,212,0.0478,19,0.09,"(80,0)"
50,40,437,28,0.0641,1,0.037,"(80,0)"
60,-50,123,12,0.0976,2,0.1667,"(80,-10)"
60,-40,3343,257,0.0769,30,0.1167,"(80,-10)"
60,-30,6211,444,0.0715,62,0.1403,"(80,-10)"
60,-20,8028,616,0.0767,97,0.1588,"(80,-10)"
60,-10,6777,561,0.0828,95,0.1703,"(80,-10)"
60,0,7682,638,0.0831,113,0.1774,"(80,0)"
60,10,8533,586,0.0687,79,0.1357,"(80,0)"
60,20,6900,430,0.0623,55,0.1285,"(80,0)"
60,30,4033,225,0.0558,12,0.0538,"(80,0)"
60,40,396,19,0.048,3,0.1579,"(80,0)"
70,-50,46,3,0.0652,0,0.0,"(80,-10)"
70,-40,2032,154,0.0758,12,0.0784,"(80,-10)"
70,-30,4216,319,0.0757,33,0.1038,"(80,-10)"
70,-20,8138,651,0.08,90,0.1387,"(80,-10)"
70,-10,14340,1450,0.1011,247,0.1719,"(80,-10)"
70,0,17533,1909,0.1089,311,0.1661,"(80,0)"
70,10,8251,631,0.0765,100,0.1587,"(80,0)"
70,20,4369,275,0.0629,25,0.0912,"(80,0)"
70,30,2402,147,0.0612,8,0.0544,"(80,0)"
70,40,153,11,0.0719,0,0.0,"(80,-10)"
80,-40,838,67,0.08,4,0.0597,"(80,-10)"
80,-30,2312,215,0.093,22,0.1023,"(80,-10)"
80,-20,5189,470,0.0906,53,0.1135,"(80,-10)"
80,-10,21379,3090,0.1445,407,0.1358,"(80,-10)"
80,0,20518,2963,0.1444,407,0.1428,"(80,0)"
80,10,5327,457,0.0858,54,0.1187,"(80,0)"
80,20,2631,173,0.0658,15,0.0867,"(80,0)"
80,30,1137,65,0.0572,10,0.1538,"(80,0)"
80,40,7,0,0.0,0,,
90,-40,33,0,0.0,0,,
90,-30,228,23,0.1009,2,0.087,"(80,-10)"
90,-20,417,48,0.1151,5,0.1042,"(80,-10)"
90,-10,924,136,0.1472,20,0.1471,"(80,-10)"
90,0,651,88,0.1352,13,0.1477,"(80,0)"
90,10,528,47,0.089,0,0.0,"(70,0)"
90,20,319,29,0.0909,5,0.1724,"(80,0)"
90,30,63,6,0.0952,0,0.0,"(60,-30)"
