game_id,season,period,orig_event_type,orig_x,orig_y,orig_shot_type,orig_team,orig_shooter_id,reb_event_type,reb_x,reb_y,reb_shot_type,reb_shooter_id,reb_is_goal,time_gap_secs
2020020001,20202021,1,shot-on-goal,53,-8,slap,PHI,8473512,shot-on-goal,70,3,wrist,8479026,0,2
2020020001,20202021,2,shot-on-goal,87,-5,backhand,PHI,8475763,shot-on-goal,95,-8,backhand,8475763,0,2
2020020001,20202021,3,shot-on-goal,81,1,wrist,PHI,8478067,goal,81,1,backhand,8478067,1,1
2020020001,20202021,3,shot-on-goal,59,-38,wrist,PHI,8480797,goal,79,9,wrist,8475763,1,1
2020020002,20202021,1,shot-on-goal,96,9,wrap-around,TBL,8473986,goal,80,0,tip-in,8478472,1,1
2020020002,20202021,1,shot-on-goal,53,-8,wrist,TBL,8478010,shot-on-goal,60,-13,wrist,8478416,0,2
2020020002,20202021,2,shot-on-goal,65,7,wrist,TBL,8474564,shot-on-goal,74,-7,wrist,8474034,0,1
2020020003,20202021,3,shot-on-goal,78,-3,wrist,MTL,8480018,shot-on-goal,82,-5,backhand,8476981,0,2
2020020003,20202021,3,shot-on-goal,89,-13,backhand,TOR,8475166,shot-on-goal,85,-8,wrist,8477939,0,3
2020020004,20202021,1,shot-on-goal,38,18,slap,EDM,8477498,shot-on-goal,81,0,wrist,8479977,0,1
2020020004,20202021,2,shot-on-goal,82,3,wrist,VAN,8476871,goal,80,5,wrist,8481535,1,2
2020020005,20202021,1,shot-on-goal,46,23,wrist,STL,8475158,shot-on-goal,78,10,wrist,8474102,0,2
2020020005,20202021,3,shot-on-goal,76,2,snap,STL,8476897,goal,83,4,snap,8476897,1,0
2020020005,20202021,3,shot-on-goal,63,18,wrist,COL,8478420,shot-on-goal,82,0,wrist,8477492,0,1
2020020006,20202021,3,shot-on-goal,81,-7,backhand,BUF,8475784,shot-on-goal,85,-6,wrist,8475784,0,2
2020020007,20202021,1,shot-on-goal,65,10,snap,BOS,8477941,shot-on-goal,61,-2,wrist,8479365,0,1
2020020008,20202021,2,shot-on-goal,69,17,wrist,NYR,8482109,shot-on-goal,65,5,wrist,8476885,0,0
2020020009,20202021,1,shot-on-goal,38,22,snap,DAL,8480027,goal,79,6,snap,8471260,1,2
2020020009,20202021,1,shot-on-goal,69,-20,wrist,DAL,8480036,shot-on-goal,72,5,deflected,8476889,0,1
2020020010,20202021,1,shot-on-goal,87,5,backhand,DET,8477454,shot-on-goal,80,3,wrist,8476822,0,2
2020020012,20202021,2,shot-on-goal,74,-10,wrist,WPG,8477940,goal,87,-7,wrist,8476460,1,2
2020020012,20202021,2,shot-on-goal,73,-18,wrist,CGY,8479314,shot-on-goal,80,-11,wrist,8479314,0,2
2020020013,20202021,1,shot-on-goal,81,-11,snap,EDM,8479344,shot-on-goal,51,-17,slap,8479977,0,1
2020020013,20202021,1,shot-on-goal,51,-17,slap,EDM,8479977,goal,87,-6,wrist,8478402,1,1
2020020013,20202021,2,shot-on-goal,80,16,snap,VAN,8480800,shot-on-goal,-45,11,wrist,8477353,0,3
