season,team_name,pp_pct,pk_pct,st_score
20202021,New York Islanders,0.1875,0.83703,0.512265
20202021,Vancouver Canucks,0.17419,0.79781,0.486
20202021,Los Angeles Kings,0.18934,0.83647,0.512905
20202021,Toronto Maple Leafs,0.2,0.78472,0.49236
20202021,Winnipeg Jets,0.22981,0.80537,0.51759
20202021,Detroit Red Wings,0.11409,0.78709,0.45059
20202021,Chicago Blackhawks,0.21714,0.76821,0.492675
20202021,Arizona Coyotes,0.20786,0.80838,0.50812
20202021,Vegas Golden Knights,0.17816,0.86805,0.523105
20202021,Anaheim Ducks,0.08943,0.79878,0.444105
20202021,Nashville Predators,0.1761,0.75581,0.465955
20202021,Edmonton Oilers,0.27586,0.82467,0.550265
20202021,Calgary Flames,0.18285,0.80232,0.49258500000000005
20202021,Minnesota Wild,0.17575,0.80745,0.4916
20202021,Washington Capitals,0.24836,0.8395,0.54393
20202021,Boston Bruins,0.21875,0.85955,0.53915
20202021,Philadelphia Flyers,0.19161,0.73053,0.46107
20202021,Columbus Blue Jackets,0.15384,0.78947,0.471655
20202021,Montréal Canadiens,0.19205,0.78488,0.48846500000000004
20202021,New York Rangers,0.2067,0.82248,0.51459
20202021,Colorado Avalanche,0.22705,0.8305,0.528775
20202021,Carolina Hurricanes,0.25609,0.85227,0.55418
20202021,Pittsburgh Penguins,0.23684,0.77419,0.505515
20202021,St. Louis Blues,0.23225,0.77777,0.50501
20202021,San Jose Sharks,0.14102,0.80434,0.47268000000000004
20202021,Dallas Stars,0.23566,0.79085,0.513255
20202021,Ottawa Senators,0.15517,0.78947,0.47232
20202021,New Jersey Devils,0.14193,0.70946,0.425695
20202021,Florida Panthers,0.20526,0.79762,0.50144
20202021,Buffalo Sabres,0.20979,0.77697,0.49338000000000004
20202021,Tampa Bay Lightning,0.22222,0.84153,0.531875
20212022,Vegas Golden Knights,0.18396,0.77403,0.478995
20212022,New York Islanders,0.22115,0.84186,0.531505
20212022,Arizona Coyotes,0.13861,0.75,0.444305
20212022,Chicago Blackhawks,0.19183,0.76233,0.47707999999999995
20212022,Anaheim Ducks,0.21917,0.80803,0.5136000000000001
20212022,Vancouver Canucks,0.23481,0.74891,0.49185999999999996
20212022,Calgary Flames,0.22881,0.832,0.530405
20212022,Los Angeles Kings,0.16129,0.76652,0.463905
20212022,Nashville Predators,0.24418,0.79225,0.518215
20212022,Toronto Maple Leafs,0.27272,0.82051,0.546615
20212022,Edmonton Oilers,0.25957,0.79365,0.52661
20212022,Winnipeg Jets,0.21052,0.75,0.48026
20212022,Detroit Red Wings,0.16299,0.73777,0.45038
20212022,Pittsburgh Penguins,0.20161,0.84434,0.522975
20212022,Minnesota Wild,0.20542,0.76136,0.48339
20212022,Carolina Hurricanes,0.21982,0.88043,0.550125
20212022,Washington Capitals,0.1875,0.80444,0.49597
20212022,St. Louis Blues,0.2697,0.84091,0.555305
20212022,Florida Panthers,0.24427,0.79536,0.5198149999999999
20212022,Boston Bruins,0.21186,0.81297,0.512415
20212022,San Jose Sharks,0.18981,0.85201,0.52091
20212022,Buffalo Sabres,0.21171,0.76415,0.48793
20212022,Philadelphia Flyers,0.12552,0.75744,0.44148
20212022,New Jersey Devils,0.15555,0.80188,0.478715
20212022,Dallas Stars,0.22406,0.78995,0.507005
20212022,Columbus Blue Jackets,0.18636,0.78571,0.486035
20212022,Montréal Canadiens,0.13709,0.75547,0.44628
20212022,Seattle Kraken,0.14545,0.74887,0.44716
20212022,New York Rangers,0.25229,0.823,0.5376449999999999
20212022,Colorado Avalanche,0.24014,0.79661,0.518375
20212022,Tampa Bay Lightning,0.23938,0.80555,0.522465
20212022,Ottawa Senators,0.19341,0.80321,0.49831
20222023,Chicago Blackhawks,0.16379,0.7619,0.462845
20222023,New York Islanders,0.15765,0.82191,0.48978
20222023,Arizona Coyotes,0.18907,0.74608,0.46757499999999996
20222023,Vegas Golden Knights,0.20289,0.77435,0.48862
20222023,Anaheim Ducks,0.1572,0.72142,0.43931
20222023,Vancouver Canucks,0.2271,0.71605,0.47157499999999997
20222023,Calgary Flames,0.19841,0.82592,0.512165
20222023,Los Angeles Kings,0.25278,0.75836,0.5055700000000001
20222023,Nashville Predators,0.176,0.82545,0.500725
20222023,Toronto Maple Leafs,0.26016,0.81854,0.53935
20222023,Edmonton Oilers,0.32363,0.76978,0.546705
20222023,Winnipeg Jets,0.19259,0.82426,0.508425
20222023,Detroit Red Wings,0.21111,0.78313,0.49712
20222023,Pittsburgh Penguins,0.21724,0.79087,0.5040549999999999
20222023,Minnesota Wild,0.21428,0.82031,0.517295
20222023,Carolina Hurricanes,0.19762,0.84375,0.520685
20222023,Washington Capitals,0.21224,0.81858,0.51541
20222023,St. Louis Blues,0.19327,0.7235,0.45838500000000004
20222023,Florida Panthers,0.22826,0.75945,0.493855
20222023,Boston Bruins,0.22222,0.87279,0.547505
20222023,San Jose Sharks,0.18385,0.82377,0.50381
20222023,Buffalo Sabres,0.2342,0.73008,0.48213999999999996
20222023,Philadelphia Flyers,0.15555,0.74678,0.451165
20222023,New Jersey Devils,0.21875,0.82608,0.5224150000000001
20222023,Dallas Stars,0.25,0.83471,0.5423549999999999
20222023,Columbus Blue Jackets,0.18303,0.75105,0.46704
20222023,Montréal Canadiens,0.16101,0.72727,0.44414
20222023,Seattle Kraken,0.19753,0.76695,0.48224
20222023,New York Rangers,0.24081,0.81166,0.526235
20222023,Colorado Avalanche,0.24521,0.79032,0.517765
20222023,Tampa Bay Lightning,0.25357,0.79693,0.52525
20222023,Ottawa Senators,0.23529,0.80067,0.51798
20232024,Vegas Golden Knights,0.20238,0.79342,0.4979
20232024,New York Islanders,0.20346,0.71493,0.45919499999999996
20232024,Arizona Coyotes,0.21991,0.76315,0.49153
20232024,Chicago Blackhawks,0.16595,0.75757,0.46175999999999995
20232024,Anaheim Ducks,0.17872,0.72424,0.45148
20232024,Vancouver Canucks,0.22656,0.79133,0.508945
20232024,Calgary Flames,0.17857,0.80816,0.493365
20232024,Los Angeles Kings,0.2258,0.84585,0.535825
20232024,Nashville Predators,0.21561,0.76923,0.49241999999999997
20232024,Toronto Maple Leafs,0.23949,0.7689,0.5041950000000001
20232024,Edmonton Oilers,0.26337,0.79457,0.5289699999999999
20232024,Winnipeg Jets,0.1875,0.7713,0.4794
20232024,Detroit Red Wings,0.23076,0.79583,0.5132950000000001
20232024,Pittsburgh Penguins,0.15267,0.80658,0.47962499999999997
20232024,Minnesota Wild,0.2271,0.74524,0.48617
20232024,Carolina Hurricanes,0.26907,0.86434,0.566705
20232024,Washington Capitals,0.20614,0.7897,0.49792
20232024,St. Louis Blues,0.18,0.79069,0.485345
20232024,Florida Panthers,0.23507,0.82474,0.5299050000000001
20232024,Boston Bruins,0.22222,0.82462,0.52342
20232024,San Jose Sharks,0.20192,0.75396,0.47794
20232024,Buffalo Sabres,0.16591,0.79835,0.48213
20232024,Philadelphia Flyers,0.12204,0.83402,0.47803
20232024,New Jersey Devils,0.22448,0.80658,0.51553
20232024,Dallas Stars,0.24166,0.82008,0.5308700000000001
20232024,Columbus Blue Jackets,0.15094,0.76271,0.456825
20232024,Montréal Canadiens,0.1746,0.76449,0.469545
