season,team,es_attempts,nf_attempts,nf_goals,total_es_goals,nf_attempt_rate,nf_goal_rate,nf_goals_per60,points_pct,points,gp
20202021,ANA,2348,245,28,100,0.1043,0.1143,0.3578,0.3839,43,56
20202021,ARI,2343,242,26,98,0.1033,0.1074,0.3329,0.4821,54,56
20202021,BOS,2525,214,28,106,0.0848,0.1308,0.3327,0.6518,73,56
20202021,BUF,2314,224,23,87,0.0968,0.1027,0.2982,0.3304,37,56
20202021,CAR,2498,297,24,105,0.1189,0.0808,0.2882,0.7143,80,56
20202021,CBJ,2455,178,28,96,0.0725,0.1573,0.3422,0.4286,48,56
20202021,CGY,2347,244,22,110,0.104,0.0902,0.2812,0.4911,55,56
20202021,CHI,2273,164,17,100,0.0722,0.1037,0.2244,0.4911,55,56
20202021,COL,2556,307,31,130,0.1201,0.101,0.3638,0.7321,82,56
20202021,DAL,2413,259,35,101,0.1073,0.1351,0.4351,0.5357,60,56
20202021,DET,2189,184,29,87,0.0841,0.1576,0.3974,0.4286,48,56
20202021,EDM,2425,220,26,115,0.0907,0.1182,0.3216,0.6429,72,56
20202021,FLA,2424,226,26,116,0.0932,0.115,0.3218,0.7054,79,56
20202021,LAK,2327,235,30,95,0.101,0.1277,0.3868,0.4375,49,56
20202021,MIN,2347,240,35,126,0.1023,0.1458,0.4474,0.6696,75,56
20202021,MTL,2524,223,24,106,0.0884,0.1076,0.2853,0.5268,59,56
20202021,NJD,2354,208,28,102,0.0884,0.1346,0.3568,0.4018,45,56
20202021,NSH,2443,231,20,103,0.0946,0.0866,0.2456,0.5714,64,56
20202021,NYI,2415,221,29,112,0.0915,0.1312,0.3602,0.6339,71,56
20202021,NYR,2282,210,28,115,0.092,0.1333,0.3681,0.5357,60,56
20202021,OTT,2512,267,27,104,0.1063,0.1011,0.3225,0.4554,51,56
20202021,PHI,2361,246,36,107,0.1042,0.1463,0.4574,0.5179,58,56
20202021,PIT,2343,215,31,126,0.0918,0.1442,0.3969,0.6875,77,56
20202021,SJS,2470,273,25,106,0.1105,0.0916,0.3036,0.4375,49,56
20202021,STL,2274,171,22,102,0.0752,0.1287,0.2902,0.5625,63,56
20202021,TBL,2301,206,32,111,0.0895,0.1553,0.4172,0.6696,75,56
20202021,TOR,2480,253,26,132,0.102,0.1028,0.3145,0.6875,77,56
20202021,VAN,2434,270,25,103,0.1109,0.0926,0.3081,0.4464,50,56
20202021,VGK,2655,271,30,135,0.1021,0.1107,0.339,0.7321,82,56
20202021,WPG,2364,246,29,109,0.1041,0.1179,0.368,0.5625,63,56
20202021,WSH,2376,250,30,131,0.1052,0.12,0.3788,0.6875,77,56
20212022,ANA,3634,411,61,154,0.1131,0.1484,0.5036,0.4634,76,82
20212022,ARI,3328,346,34,157,0.104,0.0983,0.3065,0.3476,57,82
20212022,BOS,3865,386,53,172,0.0999,0.1373,0.4114,0.6524,107,82
20212022,BUF,3360,314,42,158,0.0935,0.1338,0.375,0.4573,75,82
20212022,CAR,3865,531,57,193,0.1374,0.1073,0.4424,0.7073,116,82
20212022,CBJ,3587,335,57,177,0.0934,0.1701,0.4767,0.4939,81,82
20212022,CGY,3964,430,39,196,0.1085,0.0907,0.2952,0.6768,111,82
20212022,CHI,3506,276,27,143,0.0787,0.0978,0.231,0.4146,68,82
20212022,COL,3789,406,46,198,0.1072,0.1133,0.3642,0.7256,119,82
20212022,DAL,3684,456,56,147,0.1238,0.1228,0.456,0.5976,98,82
20212022,DET,3402,364,37,159,0.107,0.1016,0.3263,0.4512,74,82
20212022,EDM,3755,367,50,181,0.0977,0.1362,0.3995,0.6341,104,82
20212022,FLA,4030,444,58,218,0.1102,0.1306,0.4318,0.7439,122,82
20212022,LAK,3957,446,48,155,0.1127,0.1076,0.3639,0.6037,99,82
20212022,MIN,3607,355,45,208,0.0984,0.1268,0.3743,0.689,113,82
20212022,MTL,3479,344,32,154,0.0989,0.093,0.2759,0.3354,55,82
20212022,NJD,3810,317,35,182,0.0832,0.1104,0.2756,0.3841,63,82
20212022,NSH,3535,409,51,165,0.1157,0.1247,0.4328,0.5915,97,82
20212022,NYI,3562,325,36,159,0.0912,0.1108,0.3032,0.5122,84,82
20212022,NYR,3463,394,45,158,0.1138,0.1142,0.3898,0.6707,110,82
20212022,OTT,3650,384,42,147,0.1052,0.1094,0.3452,0.4451,73,82
20212022,PHI,3636,353,38,159,0.0971,0.1076,0.3135,0.372,61,82
20212022,PIT,3934,376,45,180,0.0956,0.1197,0.3432,0.628,103,82
20212022,SEA,3468,359,27,152,0.1035,0.0752,0.2336,0.3659,60,82
20212022,SJS,3768,413,44,142,0.1096,0.1065,0.3503,0.4695,77,82
20212022,STL,3374,335,49,199,0.0993,0.1463,0.4357,0.6646,109,82
20212022,TBL,3548,329,37,183,0.0927,0.1125,0.3129,0.6707,110,82
20212022,TOR,3896,447,50,208,0.1147,0.1119,0.385,0.7012,115,82
20212022,VAN,3769,396,42,156,0.1051,0.1061,0.3343,0.561,92,82
20212022,VGK,4177,450,50,184,0.1077,0.1111,0.3591,0.5732,94,82
20212022,WPG,3735,430,46,156,0.1151,0.107,0.3695,0.5427,89,82
20212022,WSH,3744,390,37,179,0.1042,0.0949,0.2965,0.6098,100,82
20222023,ANA,3453,376,33,143,0.1089,0.0878,0.2867,0.3537,58,82
20222023,ARI,3280,345,37,151,0.1052,0.1072,0.3384,0.4268,70,82
20222023,BOS,3710,413,47,199,0.1113,0.1138,0.3801,0.8232,135,82
20222023,BUF,3640,353,24,197,0.097,0.068,0.1978,0.5494,89,81
20222023,CAR,4011,636,48,174,0.1586,0.0755,0.359,0.689,113,82
20222023,CBJ,3757,338,28,143,0.09,0.0828,0.2236,0.3642,59,81
20222023,CGY,4020,476,45,182,0.1184,0.0945,0.3358,0.5671,93,82
20222023,CHI,3469,362,35,135,0.1044,0.0967,0.3027,0.3598,59,82
20222023,COL,3762,432,45,174,0.1148,0.1042,0.3589,0.6605,107,81
20222023,DAL,3718,483,47,175,0.1299,0.0973,0.3792,0.6585,108,82
20222023,DET,3445,409,38,146,0.1187,0.0929,0.3309,0.4878,80,82
20222023,EDM,3654,430,34,191,0.1177,0.0791,0.2791,0.6646,109,82
20222023,FLA,3886,493,54,191,0.1269,0.1095,0.4169,0.561,92,82
20222023,LAK,3903,438,47,169,0.1122,0.1073,0.3613,0.6341,104,82
20222023,MIN,3758,416,42,144,0.1107,0.101,0.3353,0.628,103,82
20222023,MTL,3551,332,41,162,0.0935,0.1235,0.3464,0.4146,68,82
20222023,NJD,4144,471,41,197,0.1137,0.087,0.2968,0.6829,112,82
20222023,NSH,3646,469,52,146,0.1286,0.1109,0.4279,0.5679,92,81
20222023,NYI,3893,528,54,176,0.1356,0.1023,0.4161,0.5671,93,82
20222023,NYR,3724,441,45,180,0.1184,0.102,0.3625,0.6524,107,82
20222023,OTT,3811,443,37,151,0.1162,0.0835,0.2913,0.5244,86,82
20222023,PHI,3853,425,38,152,0.1103,0.0894,0.2959,0.4573,75,82
20222023,PIT,4037,478,45,168,0.1184,0.0941,0.3344,0.5549,91,82
20222023,SEA,3818,433,49,209,0.1134,0.1132,0.385,0.6098,100,82
20222023,SJS,3739,499,58,168,0.1335,0.1162,0.4654,0.3659,60,82
20222023,STL,3549,342,38,180,0.0964,0.1111,0.3212,0.4939,81,82
20222023,TBL,3724,456,49,175,0.1224,0.1075,0.3947,0.5976,98,82
20222023,TOR,3818,452,38,184,0.1184,0.0841,0.2986,0.6768,111,82
20222023,VAN,3457,420,53,169,0.1215,0.1262,0.4599,0.5061,83,82
20222023,VGK,4044,433,52,185,0.1071,0.1201,0.3858,0.6768,111,82
20222023,WPG,3696,478,40,158,0.1293,0.0837,0.3247,0.5793,95,82
20222023,WSH,3820,493,49,173,0.1291,0.0994,0.3848,0.4878,80,82
20232024,ANA,3497,414,36,127,0.1184,0.087,0.3088,0.3598,59,82
20232024,ARI,3716,423,34,171,0.1138,0.0804,0.2745,0.4695,77,82
20232024,BOS,3735,469,51,174,0.1256,0.1087,0.4096,0.6646,109,82
20232024,BUF,3886,439,42,174,0.113,0.0957,0.3242,0.5122,84,82
20232024,CAR,4170,562,35,169,0.1348,0.0623,0.2518,0.6768,111,82
20232024,CBJ,4081,424,37,175,0.1039,0.0873,0.272,0.4024,66,82
20232024,CGY,4115,424,40,167,0.103,0.0943,0.2916,0.4939,81,82
20232024,CHI,3622,389,35,118,0.1074,0.09,0.2899,0.3171,52,82
20232024,COL,4014,513,40,197,0.1278,0.078,0.299,0.6524,107,82
20232024,DAL,4109,562,46,192,0.1368,0.0819,0.3358,0.689,113,82
20232024,DET,3722,375,36,177,0.1008,0.096,0.2902,0.5549,91,82
20232024,EDM,4058,551,51,193,0.1358,0.0926,0.377,0.6341,104,82
20232024,FLA,3760,465,42,156,0.1237,0.0903,0.3351,0.6707,110,82
20232024,LAK,4107,494,49,166,0.1203,0.0992,0.3579,0.6037,99,82
20232024,MIN,3754,390,41,159,0.1039,0.1051,0.3277,0.5305,87,82
20232024,MTL,3851,462,44,161,0.12,0.0952,0.3428,0.4634,76,82
20232024,NJD,3824,486,43,177,0.1271,0.0885,0.3373,0.4939,81,82
20232024,NSH,4033,498,48,168,0.1235,0.0964,0.3571,0.6037,99,82
20232024,NYI,4229,482,32,166,0.114,0.0664,0.227,0.5732,94,82
20232024,NYR,3996,520,42,166,0.1301,0.0808,0.3153,0.6951,114,82
20232024,OTT,4040,445,39,163,0.1101,0.0876,0.2896,0.4756,78,82
20232024,PHI,4299,458,38,159,0.1065,0.083,0.2652,0.5305,87,82
20232024,PIT,4075,530,48,179,0.1301,0.0906,0.3534,0.5366,88,82
20232024,SEA,3799,479,34,144,0.1261,0.071,0.2685,0.4939,81,82
20232024,SJS,3812,418,24,119,0.1097,0.0574,0.1889,0.2866,47,82
20232024,STL,3695,405,32,151,0.1096,0.079,0.2598,0.561,92,82
20232024,TBL,3801,429,40,172,0.1129,0.0932,0.3157,0.5976,98,82
20232024,TOR,4106,496,43,200,0.1208,0.0867,0.3142,0.622,102,82
20232024,VAN,3665,518,59,187,0.1413,0.1139,0.4829,0.6646,109,82
20232024,VGK,4165,458,44,176,0.11,0.0961,0.3169,0.5976,98,82
20232024,WPG,3987,549,54,178,0.1377,0.0984,0.4063,0.6707,110,82
20232024,WSH,3765,477,34,143,0.1267,0.0713,0.2709,0.5549,91,82
20242025,ANA,3960,480,48,156,0.1212,0.1,0.3636,0.4878,80,82
20242025,BOS,3667,369,29,152,0.1006,0.0786,0.2373,0.4634,76,82
20242025,BUF,3799,395,44,185,0.104,0.1114,0.3475,0.4817,79,82
20242025,CAR,4111,542,37,176,0.1318,0.0683,0.27,0.6037,99,82
20242025,CBJ,4104,427,46,201,0.104,0.1077,0.3363,0.5427,89,82
20242025,CGY,4096,477,39,140,0.1165,0.0818,0.2856,0.5854,96,82
20242025,CHI,3559,332,28,150,0.0933,0.0843,0.236,0.372,61,82
20242025,COL,4023,463,36,165,0.1151,0.0778,0.2685,0.622,102,82
20242025,DAL,3775,463,44,181,0.1226,0.095,0.3497,0.6463,106,82
20242025,DET,3824,433,35,143,0.1132,0.0808,0.2746,0.5244,86,82
20242025,EDM,4107,471,38,169,0.1147,0.0807,0.2776,0.6159,101,82
20242025,FLA,3937,484,39,155,0.1229,0.0806,0.2972,0.5976,98,82
20242025,LAK,4065,468,52,177,0.1151,0.1111,0.3838,0.6402,105,82
20242025,MIN,3953,437,30,141,0.1105,0.0686,0.2277,0.5915,97,82
20242025,MTL,3798,420,32,158,0.1106,0.0762,0.2528,0.5549,91,82
20242025,NJD,3776,436,32,149,0.1155,0.0734,0.2542,0.5549,91,82
20242025,NSH,3785,458,37,130,0.121,0.0808,0.2933,0.4146,68,82
20242025,NYI,4160,501,38,162,0.1204,0.0758,0.274,0.5,82,82
20242025,NYR,3935,476,55,180,0.121,0.1155,0.4193,0.5183,85,82
20242025,OTT,3855,438,39,139,0.1136,0.089,0.3035,0.5915,97,82
20242025,PHI,4026,412,41,166,0.1023,0.0995,0.3055,0.4634,76,82
20242025,PIT,3935,519,34,157,0.1319,0.0655,0.2592,0.4878,80,82
20242025,SEA,3976,421,35,168,0.1059,0.0831,0.2641,0.4634,76,82
20242025,SJS,3847,382,21,143,0.0993,0.055,0.1638,0.3171,52,82
20242025,STL,3771,349,30,175,0.0925,0.086,0.2387,0.5854,96,82
20242025,TBL,3863,477,43,186,0.1235,0.0901,0.3339,0.622,102,82
20242025,TOR,3898,433,28,169,0.1111,0.0647,0.2155,0.6585,108,82
20242025,UTA,4052,475,45,158,0.1172,0.0947,0.3332,0.5427,89,82
20242025,VAN,3618,396,40,151,0.1095,0.101,0.3317,0.5488,90,82
20242025,VGK,4207,502,39,184,0.1193,0.0777,0.2781,0.6707,110,82
20242025,WPG,4018,513,43,170,0.1277,0.0838,0.3211,0.7073,116,82
20242025,WSH,4003,533,51,190,0.1332,0.0957,0.3822,0.6768,111,82
