season,shooting_team,total_es_att,netfront_att,nf_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,rank
20232024,WPG,1522,263,0.1728,0.1546,0.1926,1
20232024,BOS,1398,235,0.1681,0.1494,0.1886,2
20232024,VAN,1364,227,0.1664,0.1476,0.1871,3
20232024,NYR,1540,254,0.1649,0.1472,0.1843,4
20232024,MTL,1160,188,0.1621,0.142,0.1844,5
20232024,WSH,1412,223,0.1579,0.1398,0.1779,6
20232024,TOR,1519,236,0.1554,0.138,0.1745,7
20232024,DAL,1583,240,0.1516,0.1348,0.1701,8
20232024,ANA,1198,180,0.1503,0.1311,0.1716,9
20232024,PIT,1670,251,0.1503,0.134,0.1682,9
20232024,SJS,1263,189,0.1496,0.131,0.1704,11
20232024,NYI,1262,188,0.149,0.1304,0.1697,12
20232024,COL,1602,234,0.1461,0.1296,0.1642,13
20232024,SEA,1395,202,0.1448,0.1273,0.1642,14
20232024,NJD,1464,208,0.1421,0.1251,0.1609,15
20232024,OTT,1335,188,0.1408,0.1232,0.1605,16
20232024,NSH,1411,198,0.1403,0.1232,0.1594,17
20232024,MIN,1184,166,0.1402,0.1216,0.1611,18
20232024,ARI,1481,206,0.1391,0.1224,0.1577,19
20232024,EDM,1621,224,0.1382,0.1222,0.1558,20
20232024,CBJ,1414,194,0.1372,0.1202,0.1561,21
20232024,PHI,1459,200,0.1371,0.1204,0.1557,22
20232024,CHI,1207,165,0.1367,0.1185,0.1572,23
20232024,DET,1387,188,0.1355,0.1185,0.1546,24
20232024,VGK,1406,188,0.1337,0.1169,0.1525,25
20232024,LAK,1586,210,0.1324,0.1166,0.15,26
20232024,CAR,1607,212,0.1319,0.1163,0.1493,27
20232024,STL,1209,159,0.1315,0.1136,0.1517,28
20232024,TBL,1465,189,0.129,0.1128,0.1472,29
20232024,FLA,1539,195,0.1267,0.111,0.1443,30
20232024,BUF,1493,185,0.1239,0.1082,0.1416,31
20232024,CGY,1440,177,0.1229,0.107,0.1409,32
20242025,WSH,1388,248,0.1787,0.1594,0.1997,1
20242025,PIT,1584,262,0.1654,0.1479,0.1845,2
20242025,ANA,1553,245,0.1578,0.1405,0.1767,3
