season,team,n_elite_nf,elite_player_names,elite_reb_shots,elite_reb_goals,points_pct,points,gp,playoff_depth
20242025,VAN,4,Brock Boeser; Dakota Joshua; Danton Heinen; J.T. Miller,38,8,0.5488,90,82,missed_playoffs
20222023,BOS,3,Brad Marchand; David Pastrnak; Patrice Bergeron,39,6,0.8232,135,82,R1_exit
20232024,VAN,3,Brock Boeser; Dakota Joshua; J.T. Miller,38,12,0.6646,109,82,R2_exit
20232024,BOS,3,Brad Marchand; Danton Heinen; David Pastrnak,56,12,0.6646,109,82,R2_exit
20212022,BOS,3,Brad Marchand; David Pastrnak; Patrice Bergeron,40,16,0.6524,107,82,R1_exit
20202021,BOS,3,Brad Marchand; David Pastrnak; Patrice Bergeron,25,7,0.6518,73,56,R2_exit
20222023,VAN,3,Brock Boeser; Dakota Joshua; J.T. Miller,37,11,0.5061,83,82,missed_playoffs
20222023,WSH,3,Connor McMichael; Dylan Strome; Garnet Hathaway,26,7,0.4878,80,82,missed_playoffs
20212022,MIN,2,Kevin Fiala; Marcus Foligno,23,5,0.689,113,82,R1_exit
20232024,DAL,2,Jason Robertson; Roope Hintz,20,3,0.689,113,82,CF_exit
20242025,WSH,2,Connor McMichael; Dylan Strome,35,10,0.6768,111,82,R2_exit
20202021,TBL,2,Anthony Cirelli; Yanni Gourde,15,7,0.6696,75,56,Cup_winner
20202021,MIN,2,Kevin Fiala; Marcus Foligno,11,5,0.6696,75,56,R1_exit
20212022,STL,2,Dakota Joshua; Ryan O'Reilly,12,1,0.6646,109,82,R2_exit
20222023,DAL,2,Jason Robertson; Roope Hintz,32,9,0.6585,108,82,CF_exit
20242025,DAL,2,Jason Robertson; Roope Hintz,24,7,0.6463,106,82,CF_exit
20242025,LAK,2,Kevin Fiala; Phillip Danault,22,5,0.6402,105,82,R1_exit
20222023,LAK,2,Kevin Fiala; Phillip Danault,21,5,0.6341,104,82,R1_exit
20212022,WSH,2,Connor McMichael; Garnet Hathaway,21,4,0.6098,100,82,R1_exit
