player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence
Phillip Danault,8476479,CHI,0.8005,0.6431,0.7375,23.9046,True,stable,8185.0333,High
Mikko Rantanen,8478420,DAL,0.6883,0.7705,0.7212,21.3240,True,rising,10143.4833,High
Jackson Blake,8482809,CAR,0.5041,1.0000,0.7025,16.6757,False,stable,2162.4333,Medium
Gabriel Landeskog,8476455,COL,0.6359,0.8022,0.7024,20.6825,False,rising,3478.3000,High
Nick Schmaltz,8477951,UTA,0.6924,0.7135,0.7008,22.4784,True,stable,7214.9333,High
Jared McCann,8477955,SEA,0.7190,0.6727,0.7005,23.3048,True,stable,6516.2500,High
Oskar Sundqvist,8476897,OTT,0.8294,0.5060,0.7000,26.6805,True,stable,4547.1333,High
Logan Stankoven,8482702,TOR,0.6102,0.8332,0.6994,20.0534,False,stable,2797.5333,Medium
Jack Hughes,8481559,WSH,0.6842,0.7143,0.6962,22.4621,False,stable,7217.5000,High
Ryan O'Reilly,8475158,NSH,0.7446,0.6225,0.6958,24.3213,True,rising,8404.9667,High
Jesperi Kotkaniemi,8480829,CAR,0.5666,0.8763,0.6905,19.1819,False,rising,6262.1500,High
Elias Pettersson,8480012,VAN,0.6507,0.7455,0.6886,21.8306,False,stable,7464.7500,High
Connor Zary,8482074,CGY,0.6362,0.7518,0.6825,21.7016,True,stable,2474.4667,Medium
Anthony Mantha,8477511,PIT,0.6525,0.7247,0.6814,22.2510,True,rising,4832.1333,High
Andrew Mangiapane,8478233,EDM,0.7164,0.6269,0.6806,24.2316,True,rising,6576.5333,High
Ryan Donato,8477987,CHI,0.6965,0.6555,0.6801,23.6521,True,declining,5687.4333,High
Morgan Geekie,8479987,BOS,0.7151,0.6275,0.6801,24.2196,True,stable,5630.9833,High
Dylan Strome,8478440,WSH,0.6749,0.6787,0.6764,23.1830,True,stable,7210.4500,High
Josh Anderson,8476981,MTL,0.7842,0.5044,0.6723,26.7122,True,stable,6603.7333,High
Andre Burakovsky,8477444,CHI,0.7101,0.6092,0.6698,24.5898,False,rising,5834.1167,High
Sam Bennett,8477935,FLA,0.6486,0.6976,0.6682,22.8004,False,stable,7747.2333,High
