player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence,rush_against_per60_by_season,def_trajectory,nf_traj,combined_trajectory
Phillip Danault,8476479,CHI,0.8005,0.6431,0.7375,23.9046,True,stable,8185.0333,High,"{""20202021"": 29.324, ""20212022"": 22.8667, ""20222023"": 23.9862, ""20232024"": 21.8824, ""20242025"": 21.3669, ""20252026"": 25.5344}",stable,declining,offensive_decline
Mikko Rantanen,8478420,DAL,0.6883,0.7705,0.7212,21.3240,True,rising,10143.4833,High,"{""20202021"": 18.2672, ""20212022"": 22.88, ""20222023"": 23.027, ""20232024"": 20.8109, ""20242025"": 20.4216, ""20252026"": 21.7692}",stable,declining,offensive_decline
Jackson Blake,8482809,CAR,0.5041,1.0000,0.7025,16.6757,False,stable,2162.4333,Medium,"{""20232024"": 19.6078, ""20242025"": 16.3085, ""20252026"": 17.1811}",stable,rising,elite_trajectory
Gabriel Landeskog,8476455,COL,0.6359,0.8022,0.7024,20.6825,False,rising,3478.3000,High,"{""20202021"": 18.2267, ""20212022"": 22.5674, ""20242025"": 18.1185, ""20252026"": 21.7526}",stable,stable,elite_trajectory
Nick Schmaltz,8477951,UTA,0.6924,0.7135,0.7008,22.4784,True,stable,7214.9333,High,"{""20202021"": 22.291, ""20212022"": 27.5056, ""20222023"": 24.561, ""20232024"": 21.1322, ""20242025"": 20.5207, ""20252026"": 19.0176}",improving,rising,both_improving
Jared McCann,8477955,SEA,0.7190,0.6727,0.7005,23.3048,True,stable,6516.2500,High,"{""20202021"": 21.5335, ""20212022"": 22.6137, ""20222023"": 22.0893, ""20232024"": 24.2, ""20242025"": 25.6007, ""20252026"": 22.2065}",stable,declining,offensive_decline
Oskar Sundqvist,8476897,OTT,0.8294,0.5060,0.7000,26.6805,True,stable,4547.1333,High,"{""20202021"": 28.1684, ""20212022"": 31.672, ""20222023"": 22.0456, ""20232024"": 28.24, ""20242025"": 23.8431, ""20252026"": 28.7113}",stable,stable,elite_trajectory
Logan Stankoven,8482702,TOR,0.6102,0.8332,0.6994,20.0534,False,stable,2797.5333,Medium,"{""20232024"": 21.842, ""20242025"": 20.5795, ""20252026"": 17.6605}",stable,rising,elite_trajectory
Jack Hughes,8481559,WSH,0.6842,0.7143,0.6962,22.4621,False,stable,7217.5000,High,"{""20202021"": 23.4372, ""20212022"": 29.0318, ""20222023"": 21.3038, ""20232024"": 21.1638, ""20242025"": 21.1136, ""20252026"": 19.964}",stable,declining,offensive_decline
Ryan O'Reilly,8475158,NSH,0.7446,0.6225,0.6958,24.3213,True,rising,8404.9667,High,"{""20202021"": 24.3632, ""20212022"": 26.5161, ""20222023"": 28.5925, ""20232024"": 23.0874, ""20242025"": 20.1636, ""20252026"": 23.5294}",stable,stable,elite_trajectory
Jesperi Kotkaniemi,8480829,CAR,0.5666,0.8763,0.6905,19.1819,False,rising,6262.1500,High,"{""20202021"": 22.9688, ""20212022"": 17.2246, ""20222023"": 16.7824, ""20232024"": 20.3236, ""20242025"": 20.1998, ""20252026"": 14.5558}",stable,declining,offensive_decline
Elias Pettersson,8480012,VAN,0.6507,0.7455,0.6886,21.8306,False,stable,7464.7500,High,"{""20202021"": 20.812, ""20212022"": 23.5818, ""20222023"": 22.513, ""20232024"": 19.6357, ""20242025"": 21.303, ""20252026"": 23.798}",stable,stable,elite_trajectory
Connor Zary,8482074,CGY,0.6362,0.7518,0.6825,21.7016,True,stable,2474.4667,Medium,"{""20232024"": 22.0649, ""20242025"": 21.9655, ""20252026"": 20.8017}",stable,stable,elite_trajectory
Anthony Mantha,8477511,PIT,0.6525,0.7247,0.6814,22.2510,True,rising,4832.1333,High,"{""20202021"": 23.6567, ""20212022"": 18.0134, ""20222023"": 23.9812, ""20232024"": 22.4202, ""20242025"": 22.3337, ""20252026"": 21.661}",stable,rising,elite_trajectory
Andrew Mangiapane,8478233,EDM,0.7164,0.6269,0.6806,24.2316,True,rising,6576.5333,High,"{""20202021"": 27.7402, ""20212022"": 24.5065, ""20222023"": 22.9668, ""20232024"": 25.5418, ""20242025"": 20.9302, ""20252026"": 24.6649}",stable,declining,offensive_decline
