player_id,player_name,attempts_CNFI,xG_CNFI,attempts_MNFI,xG_MNFI,attempts_FNFI,xG_FNFI,attempts_total,P1_xG
8475786,Zach Hyman,847.0,109.003,249.0,26.36,44.0,1.484,1140.0,136.847
8479318,Auston Matthews,491.0,62.205,439.0,45.276,189.0,6.356,1119.0,113.837
8478402,Connor McDavid,480.0,67.81,375.0,40.049,68.0,2.28,923.0,110.138
8475166,John Tavares,597.0,76.848,312.0,29.295,103.0,3.357,1012.0,109.5
8480801,Brady Tkachuk,574.0,73.098,240.0,24.683,85.0,2.786,899.0,100.567
8477933,Sam Reinhart,497.0,65.067,319.0,32.98,66.0,2.193,882.0,100.24
8477404,Jake Guentzel,501.0,65.637,313.0,31.503,71.0,2.46,885.0,99.6
8478010,Brayden Point,457.0,62.61,338.0,34.833,55.0,1.795,850.0,99.238
8479314,Matthew Tkachuk,590.0,73.021,197.0,20.15,74.0,2.439,861.0,95.61
8475184,Chris Kreider,599.0,72.462,168.0,16.145,55.0,1.83,822.0,90.437
8475314,Anders Lee,556.0,67.678,188.0,16.147,29.0,0.93,773.0,84.754
8477492,Nathan MacKinnon,299.0,40.695,331.0,34.844,273.0,8.987,903.0,84.526
8477409,Carter Verhaeghe,350.0,47.894,294.0,31.259,141.0,4.717,785.0,83.87
8478427,Sebastian Aho,387.0,50.106,289.0,29.854,108.0,3.736,784.0,83.696
8478449,Roope Hintz,379.0,51.92,286.0,29.36,67.0,2.21,732.0,83.491
8477935,Sam Bennett,396.0,53.419,248.0,24.854,94.0,3.139,738.0,81.412
8476389,Vincent Trocheck,406.0,49.799,308.0,28.586,65.0,2.244,779.0,80.629
8477956,David Pastrnak,285.0,38.451,307.0,33.597,240.0,8.118,832.0,80.166
8477939,William Nylander,333.0,45.788,275.0,27.983,150.0,4.938,758.0,78.709
8478420,Mikko Rantanen,364.0,44.139,285.0,29.226,128.0,4.252,777.0,77.617
8480002,Nico Hischier,380.0,50.345,234.0,24.144,59.0,2.02,673.0,76.509
8478414,Timo Meier,342.0,43.008,279.0,28.609,118.0,3.943,739.0,75.56
8482093,Seth Jarvis,407.0,54.638,181.0,18.829,53.0,1.82,641.0,75.287
8480027,Jason Robertson,294.0,40.537,277.0,29.261,158.0,5.321,729.0,75.118
8478493,Joel Eriksson Ek,461.0,58.227,149.0,14.581,66.0,2.205,676.0,75.013
8477934,Leon Draisaitl,295.0,41.586,266.0,29.701,71.0,2.449,632.0,73.736
8479400,Pierre-Luc Dubois,388.0,50.42,199.0,20.101,80.0,2.685,667.0,73.206
8476454,Ryan Nugent-Hopkins,314.0,43.225,241.0,26.543,100.0,3.429,655.0,73.197
8476483,Rickard Rakell,342.0,45.059,239.0,24.337,82.0,2.831,663.0,72.227
8475172,Nazem Kadri,295.0,38.157,298.0,29.467,134.0,4.394,727.0,72.017
8477493,Aleksander Barkov,331.0,44.057,229.0,23.896,117.0,3.946,677.0,71.899
8478398,Kyle Connor,274.0,37.116,302.0,31.739,83.0,2.736,659.0,71.591
8475810,Bryan Rust,370.0,47.786,202.0,19.461,76.0,2.574,648.0,69.821
8482740,Wyatt Johnston,323.0,44.352,228.0,23.284,51.0,1.677,602.0,69.313
8477500,Bo Horvat,262.0,33.556,312.0,32.569,82.0,2.78,656.0,68.904
8478864,Kirill Kaprizov,289.0,37.116,269.0,27.846,109.0,3.612,667.0,68.574
8475754,Brock Nelson,298.0,38.993,266.0,26.588,78.0,2.575,642.0,68.157
8475784,Jeff Skinner,314.0,43.563,214.0,22.366,62.0,2.08,590.0,68.009
8471675,Sidney Crosby,371.0,48.089,187.0,17.407,65.0,2.181,623.0,67.677
8477496,Elias Lindholm,310.0,40.633,241.0,24.503,75.0,2.483,626.0,67.619
8477998,Warren Foegele,343.0,42.981,198.0,21.346,75.0,2.576,616.0,66.903
8478047,Michael Bunting,337.0,45.345,198.0,19.368,50.0,1.673,585.0,66.387
8476881,Tomas Hertl,375.0,46.512,185.0,17.955,51.0,1.665,611.0,66.132
8473994,Jamie Benn,322.0,43.03,208.0,21.1,57.0,1.892,587.0,66.022
8477960,Adrian Kempe,246.0,34.185,229.0,26.005,147.0,5.062,622.0,65.251
8478233,Andrew Mangiapane,265.0,35.763,281.0,27.884,46.0,1.559,592.0,65.207
8480830,Andrei Svechnikov,284.0,38.07,212.0,22.653,128.0,4.435,624.0,65.159
8477942,Kevin Fiala,267.0,36.235,224.0,24.078,141.0,4.771,632.0,65.084
8479542,Brandon Hagel,306.0,39.987,220.0,22.659,75.0,2.407,601.0,65.052
8478498,Jake DeBrusk,356.0,46.549,169.0,16.368,60.0,1.934,585.0,64.852
8477476,Artturi Lehkonen,320.0,40.384,231.0,22.469,54.0,1.76,605.0,64.613
8479385,Jordan Kyrou,177.0,23.817,325.0,34.702,171.0,5.649,673.0,64.169
8476460,Mark Scheifele,301.0,39.443,238.0,23.397,38.0,1.234,577.0,64.074
8477501,Valeri Nichushkin,325.0,41.809,190.0,18.955,96.0,3.153,611.0,63.916
8477946,Dylan Larkin,276.0,37.647,213.0,22.28,101.0,3.342,590.0,63.269
8475158,Ryan O'Reilly,306.0,40.512,212.0,21.499,37.0,1.247,555.0,63.258
8475726,Tyler Toffoli,252.0,33.887,244.0,25.995,96.0,3.234,592.0,63.116
8479337,Alex DeBrincat,215.0,29.768,270.0,29.377,118.0,3.942,603.0,63.087
8470794,Joe Pavelski,350.0,43.945,200.0,17.905,31.0,1.081,581.0,62.931
8476399,Blake Coleman,317.0,40.919,217.0,19.101,87.0,2.838,621.0,62.857
8476887,Filip Forsberg,277.0,35.714,207.0,21.548,146.0,4.958,630.0,62.22
8479407,Jesper Bratt,266.0,36.293,211.0,22.373,105.0,3.497,582.0,62.163
8476539,Jonathan Marchessault,255.0,34.925,224.0,23.347,114.0,3.761,593.0,62.033
8475799,Nino Niederreiter,353.0,44.706,151.0,14.487,69.0,2.342,573.0,61.535
8471214,Alex Ovechkin,233.0,31.102,234.0,25.302,143.0,4.995,610.0,61.399
8478444,Brock Boeser,272.0,35.289,225.0,22.896,83.0,2.777,580.0,60.962
8481557,Matt Boldy,251.0,32.044,236.0,23.206,148.0,4.949,635.0,60.2
8476468,J.T. Miller,261.0,33.655,236.0,22.311,118.0,4.043,615.0,60.008
8479420,Tage Thompson,222.0,30.032,235.0,25.032,146.0,4.842,603.0,59.906
8476453,Nikita Kucherov,196.0,26.16,267.0,28.273,155.0,5.181,618.0,59.614
8478440,Dylan Strome,295.0,39.671,186.0,18.288,37.0,1.237,518.0,59.196
8481559,Jack Hughes,216.0,30.197,229.0,24.823,110.0,3.672,555.0,58.692
8480208,Drake Batherson,264.0,34.714,212.0,22.096,54.0,1.775,530.0,58.586
8482110,Dawson Mercer,292.0,40.651,159.0,16.377,43.0,1.45,494.0,58.479
8473419,Brad Marchand,268.0,36.045,185.0,19.732,81.0,2.695,534.0,58.472
8481528,Dylan Cozens,232.0,31.638,211.0,22.699,95.0,3.091,538.0,57.429
8475151,Kyle Palmieri,288.0,36.035,191.0,19.517,49.0,1.627,528.0,57.179
8478542,Evan Rodrigues,234.0,30.879,218.0,22.786,100.0,3.393,552.0,57.057
8477964,Ivan Barbashev,249.0,32.466,227.0,22.931,45.0,1.543,521.0,56.939
8474564,Steven Stamkos,216.0,29.255,234.0,24.014,105.0,3.584,555.0,56.853
8477949,Alex Tuch,244.0,32.17,212.0,22.158,74.0,2.431,530.0,56.759
8482116,Tim Stützle,225.0,32.266,206.0,21.757,81.0,2.674,512.0,56.697
8470621,Corey Perry,345.0,43.239,114.0,12.036,34.0,1.191,493.0,56.466
8478519,Anthony Cirelli,278.0,36.495,188.0,18.329,47.0,1.554,513.0,56.377
8473533,Jordan Staal,299.0,38.392,178.0,16.843,31.0,1.005,508.0,56.241
8478873,Troy Terry,254.0,33.047,187.0,20.015,90.0,2.95,531.0,56.013
8477416,Oliver Bjorkstrand,185.0,25.464,250.0,25.857,137.0,4.609,572.0,55.929
8479675,Trevor Moore,307.0,40.58,128.0,13.002,64.0,2.213,499.0,55.794
8478439,Travis Konecny,223.0,30.058,209.0,22.106,106.0,3.549,538.0,55.713
8474150,Mikael Backlund,239.0,30.851,225.0,22.12,84.0,2.718,548.0,55.689
8478975,Mason Marchment,256.0,33.992,195.0,19.072,59.0,2.011,510.0,55.075
8477426,Nick Paul,258.0,33.691,200.0,19.142,67.0,2.141,525.0,54.974
8477479,Tyler Bertuzzi,312.0,41.01,127.0,12.77,30.0,1.015,469.0,54.795
8475794,Tyler Seguin,264.0,33.171,192.0,19.608,57.0,1.962,513.0,54.741
8476448,William Karlsson,246.0,32.892,210.0,20.456,41.0,1.382,497.0,54.731
8475168,Matt Duchene,237.0,32.202,205.0,20.324,65.0,2.135,507.0,54.661
8473986,Alex Killorn,257.0,33.377,193.0,19.687,47.0,1.523,497.0,54.587
8479525,Ross Colton,271.0,34.994,176.0,17.436,57.0,1.91,504.0,54.34
8476880,Tom Wilson,269.0,35.359,185.0,17.596,38.0,1.296,492.0,54.251
8478401,Pavel Zacha,221.0,30.155,211.0,21.348,78.0,2.731,510.0,54.233
8478462,Nicolas Roy,301.0,38.671,147.0,14.287,39.0,1.242,487.0,54.199
8476479,Phillip Danault,282.0,35.746,163.0,16.644,53.0,1.745,498.0,54.135
8477402,Pavel Buchnevich,230.0,30.384,212.0,21.63,62.0,2.097,504.0,54.111
8476981,Josh Anderson,246.0,33.008,191.0,19.38,47.0,1.526,484.0,53.915
8476456,Jonathan Huberdeau,240.0,31.812,176.0,18.245,95.0,3.151,511.0,53.208
8478483,Mitch Marner,192.0,26.059,218.0,22.057,152.0,5.017,562.0,53.134
8474037,James van Riemsdyk,315.0,40.41,115.0,10.973,33.0,1.078,463.0,52.46
8475169,Evander Kane,278.0,35.04,143.0,14.943,62.0,2.038,483.0,52.021
8476459,Mika Zibanejad,227.0,29.61,170.0,17.425,138.0,4.741,535.0,51.775
8481540,Cole Caufield,211.0,30.459,171.0,18.841,71.0,2.422,453.0,51.722
8480012,Elias Pettersson,250.0,30.785,181.0,17.352,102.0,3.429,533.0,51.566
8476438,Brandon Saad,237.0,30.944,185.0,18.569,57.0,1.888,479.0,51.401
8478366,Frank Vatrano,210.0,26.4,189.0,20.672,116.0,4.019,515.0,51.092
8475765,Vladimir Tarasenko,180.0,25.396,229.0,23.805,55.0,1.845,464.0,51.046
8478550,Artemi Panarin,111.0,15.595,260.0,28.419,208.0,6.986,579.0,51.001
8480039,Martin Necas,203.0,26.874,177.0,19.14,144.0,4.974,524.0,50.987
8474641,Adam Henrique,270.0,33.813,160.0,15.127,56.0,1.909,486.0,50.848
8474586,Jordan Eberle,237.0,32.171,180.0,17.416,37.0,1.185,454.0,50.772
8477451,Ryan Hartman,223.0,28.895,185.0,19.172,79.0,2.649,487.0,50.717
8475722,Jason Zucker,279.0,35.991,121.0,12.534,53.0,1.802,453.0,50.326
8471215,Evgeni Malkin,220.0,29.383,164.0,17.21,109.0,3.731,493.0,50.324
8475191,Reilly Smith,245.0,32.812,152.0,16.051,37.0,1.22,434.0,50.083
8482109,Alexis Lafrenière,260.0,32.105,159.0,15.891,57.0,1.879,476.0,49.876
8476432,Boone Jenner,277.0,34.798,133.0,13.388,45.0,1.502,455.0,49.689
8476392,Adam Lowry,272.0,34.252,166.0,14.111,30.0,0.96,468.0,49.323
8478474,Lawson Crouse,201.0,27.082,194.0,19.942,64.0,2.159,459.0,49.182
8476921,Jordan Martinook,273.0,33.827,152.0,13.873,43.0,1.469,468.0,49.17
8475913,Mark Stone,254.0,32.809,148.0,14.845,38.0,1.32,440.0,48.974
8475848,Brendan Gallagher,245.0,32.07,153.0,14.847,50.0,1.698,448.0,48.615
8480014,Gabriel Vilardi,290.0,36.844,114.0,11.092,18.0,0.593,422.0,48.528
8482078,Lucas Raymond,207.0,27.851,178.0,18.112,72.0,2.413,457.0,48.376
8475768,Jaden Schwartz,268.0,33.46,143.0,13.289,48.0,1.597,459.0,48.346
8478463,Anthony Beauvillier,218.0,28.333,187.0,18.809,37.0,1.199,442.0,48.341
8480849,Barrett Hayton,272.0,34.125,131.0,12.749,44.0,1.462,447.0,48.335
8475287,Erik Haula,245.0,30.896,151.0,15.028,61.0,2.0,457.0,47.924
8476474,Stefan Noesen,330.0,41.215,66.0,6.105,11.0,0.379,407.0,47.699
8480459,Pius Suter,241.0,31.113,152.0,14.532,50.0,1.65,443.0,47.295
8471685,Anze Kopitar,230.0,28.626,164.0,16.754,56.0,1.913,450.0,47.292
8480015,Owen Tippett,181.0,24.705,203.0,19.818,83.0,2.745,467.0,47.268
8480018,Nick Suzuki,207.0,27.41,159.0,17.212,76.0,2.586,442.0,47.209
8477951,Nick Schmaltz,167.0,22.333,207.0,22.291,74.0,2.534,448.0,47.158
8480023,Robert Thomas,177.0,22.928,214.0,22.358,52.0,1.706,443.0,46.992
8482113,Anton Lundell,218.0,28.996,157.0,15.765,60.0,2.005,435.0,46.767
8470638,Patrice Bergeron,171.0,21.835,223.0,22.968,55.0,1.846,449.0,46.649
8479343,Clayton Keller,201.0,26.999,157.0,16.396,95.0,3.236,453.0,46.631
8473512,Claude Giroux,197.0,25.406,178.0,18.194,91.0,2.993,466.0,46.592
8477987,Ryan Donato,247.0,31.155,143.0,13.587,43.0,1.43,433.0,46.172
8481068,Yegor Sharangovich,179.0,23.878,188.0,19.55,79.0,2.695,446.0,46.122
8475745,Charlie Coyle,244.0,31.795,141.0,13.156,34.0,1.096,419.0,46.047
8477456,J.T. Compher,219.0,27.992,167.0,16.174,54.0,1.785,440.0,45.95
8477497,Sean Monahan,206.0,27.684,164.0,16.793,45.0,1.46,415.0,45.937
8480113,Alex Iafallo,244.0,30.71,155.0,14.384,24.0,0.811,423.0,45.905
8475170,Brayden Schenn,200.0,26.002,178.0,18.121,49.0,1.605,427.0,45.728
8480829,Jesperi Kotkaniemi,214.0,28.734,150.0,15.212,44.0,1.475,408.0,45.421
8477940,Nikolaj Ehlers,152.0,20.545,196.0,20.636,117.0,3.915,465.0,45.096
8478403,Jack Eichel,181.0,24.817,165.0,17.693,75.0,2.473,421.0,44.983
8480185,Eetu Luostarinen,224.0,28.789,169.0,15.247,24.0,0.77,417.0,44.806
8476419,Jean-Gabriel Pageau,221.0,29.447,149.0,14.122,25.0,0.811,395.0,44.38
8476292,Ondrej Palat,194.0,25.846,169.0,16.958,39.0,1.31,402.0,44.114
8477955,Jared McCann,174.0,22.185,181.0,18.601,97.0,3.192,452.0,43.978
8474149,Evgenii Dadonov,248.0,30.124,120.0,12.536,36.0,1.195,404.0,43.855
8481618,Alex Newhook,170.0,22.922,172.0,18.271,62.0,2.092,404.0,43.285
8478042,Viktor Arvidsson,190.0,23.667,163.0,17.655,57.0,1.933,410.0,43.255
8475193,Tomas Tatar,199.0,28.023,129.0,13.421,42.0,1.397,370.0,42.842
8478856,Conor Garland,201.0,26.01,157.0,15.126,48.0,1.593,406.0,42.729
8476346,Johnny Gaudreau,147.0,19.627,198.0,21.065,58.0,1.916,403.0,42.608
8481624,Ilya Mikheyev,219.0,28.365,126.0,12.14,40.0,1.331,385.0,41.836
8482124,Quinton Byfield,222.0,28.01,131.0,12.589,32.0,1.092,385.0,41.691
8476458,Ryan Strome,218.0,27.715,118.0,12.566,44.0,1.401,380.0,41.682
8481580,Connor McMichael,218.0,29.713,112.0,10.74,29.0,0.969,359.0,41.422
8476826,Yanni Gourde,233.0,29.389,106.0,10.154,53.0,1.744,392.0,41.287
8482705,Cole Sillinger,163.0,21.32,171.0,17.488,69.0,2.304,403.0,41.113
8480188,Fabian Zetterlund,156.0,21.171,156.0,16.649,91.0,3.062,403.0,40.882
8480797,Joel Farabee,219.0,28.25,112.0,10.772,53.0,1.835,384.0,40.857
8478508,Yakov Trenin,201.0,26.883,137.0,12.62,39.0,1.281,377.0,40.783
8475760,Nick Bjugstad,211.0,27.232,119.0,12.108,39.0,1.281,369.0,40.621
8476480,Vladislav Namestnikov,230.0,30.424,97.0,9.295,26.0,0.821,353.0,40.54
8479390,Taylor Raddysh,206.0,26.528,134.0,12.999,22.0,0.746,362.0,40.273
8477021,Alexander Kerfoot,226.0,29.07,99.0,9.996,38.0,1.195,363.0,40.262
8479365,Trent Frederic,190.0,24.922,140.0,14.01,38.0,1.256,368.0,40.188
8480078,Filip Chytil,192.0,24.78,138.0,13.791,49.0,1.616,379.0,40.187
8477429,Andrew Copp,188.0,25.236,146.0,13.64,32.0,1.014,366.0,39.89
8475692,Mats Zuccarello,127.0,16.993,188.0,19.566,97.0,3.29,412.0,39.849
8478046,Danton Heinen,166.0,22.197,150.0,15.488,40.0,1.3,356.0,38.985
8475798,Mikael Granlund,178.0,23.5,136.0,13.498,57.0,1.955,371.0,38.953
8481596,Shane Pinto,160.0,21.089,153.0,16.308,41.0,1.367,354.0,38.764
8475791,Taylor Hall,178.0,23.868,128.0,12.407,52.0,1.708,358.0,37.983
8477407,Anthony Duclair,189.0,25.262,111.0,11.661,32.0,1.051,332.0,37.974
8474141,Patrick Kane,147.0,19.688,143.0,14.873,102.0,3.394,392.0,37.955
8480028,Morgan Frost,184.0,23.423,132.0,12.268,64.0,2.075,380.0,37.766
8479992,Michael Rasmussen,229.0,27.974,94.0,8.983,17.0,0.558,340.0,37.515
8481186,Logan O'Connor,191.0,24.287,127.0,11.99,33.0,1.111,351.0,37.388
8476925,Colton Sissons,194.0,25.279,123.0,11.319,23.0,0.772,340.0,37.37
8476905,Chandler Stephenson,172.0,23.153,122.0,12.682,35.0,1.161,329.0,36.996
8477478,William Carrier,229.0,28.513,84.0,7.784,20.0,0.682,333.0,36.978
8479987,Morgan Geekie,178.0,23.483,116.0,11.722,51.0,1.701,345.0,36.906
8476872,Scott Laughton,190.0,24.718,101.0,10.178,62.0,2.003,353.0,36.9
8470610,Zach Parise,214.0,27.738,85.0,8.046,21.0,0.707,320.0,36.491
8479316,Luke Kunin,161.0,21.511,133.0,13.571,40.0,1.303,334.0,36.385
