player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8477406,Mattias Janmark,C,185.22,46,14.9015,11.5141,18.9373,44,14.2536,10.9327,18.2478,90,29.155,24.9284,33.483,2.8095,1
8477015,Connor Brown,R,240.1,50,12.4948,9.7048,15.8466,58,14.494,11.511,17.9774,108,26.9888,23.3003,30.7942,2.7145,2
8477930,Pierre-Edouard Bellemare,L,130.83,29,13.2994,9.5272,17.9902,31,14.2166,10.3209,18.9765,60,27.5159,22.5064,32.599,2.6355,3
8481186,Logan O'Connor,R,216.98,39,10.7842,8.0609,14.1745,52,14.379,11.2608,18.0385,91,25.1632,21.3396,29.1513,2.2632,4
8480289,Morgan Barron,C,142.07,28,11.8254,8.4057,16.2135,23,9.7137,6.6253,13.8798,51,21.5392,17.0948,26.449,2.1475,5
8473533,Jordan Staal,C,276.25,55,11.9457,9.3852,15.0233,54,11.7285,9.1898,14.7898,109,23.6742,20.3446,27.2198,2.1402,6
8478519,Anthony Cirelli,C,373.57,64,10.2793,8.1807,12.7553,79,12.6885,10.3742,15.3257,143,22.9678,20.072,25.9539,2.0827,7
8476624,Barclay Goodrow,C,283.68,47,9.9407,7.6076,12.7873,66,13.9592,11.2225,17.0934,113,23.8999,20.5613,27.3487,2.0328,8
8482062,Cole Smith,L,183.18,34,11.1364,8.1666,14.9037,33,10.8088,7.8829,14.5451,67,21.9452,17.9845,26.2803,2.0244,9
8478472,Mathieu Joseph,R,206.77,30,8.7055,6.2065,11.9612,49,14.2189,11.0361,17.9453,79,22.9244,19.0914,26.9645,2.0168,10
8476934,Brock McGinn,L,134.97,26,11.5584,8.0973,16.0345,19,8.4465,5.5193,12.5625,45,20.0049,15.5638,24.9896,2.0073,11
8478585,Derek Ryan,C,115.45,17,8.835,5.6634,13.4419,27,14.032,10.0001,19.2026,44,22.867,17.9363,28.4322,1.9924,12
8476918,Jimmy Vesey,L,157.08,24,9.1671,6.2957,13.0432,33,12.6048,9.2259,16.8277,57,21.7719,17.5163,26.4431,1.962,13
8478427,Sebastian Aho,C,493.0,88,10.7099,8.8333,12.8849,92,11.1968,9.2815,13.4028,180,21.9067,19.4283,24.5102,1.9426,14
8475231,Casey Cizikas,C,246.7,44,10.7013,8.1276,13.8405,43,10.458,7.9134,13.5762,87,21.1593,17.72,24.8187,1.8823,15
8476921,Jordan Martinook,L,251.7,45,10.7271,8.1731,13.8346,42,10.0119,7.5439,13.0568,87,20.739,17.3553,24.3521,1.8647,16
8471699,Andrew Cogliano,C,139.73,16,6.8702,4.2949,10.6555,33,14.1698,10.383,18.7497,49,21.0401,16.5573,25.9234,1.8637,17
8480144,David Kampf,C,247.5,39,9.4545,7.0333,12.4651,40,9.697,7.2443,12.7305,79,19.1515,15.8224,22.7356,1.8501,18
8477021,Alexander Kerfoot,C,299.73,49,9.8087,7.5483,12.5624,55,11.0098,8.6187,13.8618,104,20.8185,17.7035,24.1292,1.8493,19
8480980,Connor Dewar,C,186.73,29,9.3181,6.6119,12.8309,33,10.6034,7.7103,14.2477,62,19.9215,16.0838,24.1092,1.8381,20
8476278,Colin Blackwell,C,156.05,30,11.5348,8.2895,15.6748,18,6.9209,4.4546,10.5008,48,18.4556,14.4368,23.0409,1.8258,21
8476889,Radek Faksa,C,221.55,25,6.7705,4.647,9.6573,47,12.7285,9.7866,16.2073,72,19.499,15.9711,23.3064,1.8243,22
8480762,Eric Robinson,L,179.7,26,8.6811,6.031,12.1939,33,11.0184,8.0176,14.7765,59,19.6995,15.8056,23.9596,1.7993,23
8479351,Sam Steel,C,210.88,32,9.1046,6.5712,12.3753,33,9.3891,6.815,12.69,65,18.4936,14.9794,22.3993,1.766,24
8479291,Kevin Rooney,C,124.07,17,8.2214,5.2434,12.5168,30,14.5083,10.5029,19.4599,47,22.7297,17.9094,28.0107,1.7628,25
8479944,Zachary Aston-Reese,C,125.8,19,9.062,5.9227,13.4124,19,9.062,5.9227,13.4124,38,18.124,13.6978,23.1971,1.7511,26
8476873,Mark Jankowski,L,130.75,20,9.1778,6.0634,13.4446,23,10.5545,7.1962,14.9816,43,19.7323,15.2237,24.7528,1.7455,27
8474150,Mikael Backlund,C,458.95,64,8.3669,6.6436,10.4476,98,12.8119,10.7086,15.1977,162,21.1788,18.6364,23.863,1.7404,28
8476392,Adam Lowry,C,299.62,49,9.8125,7.5483,12.5624,45,9.0115,6.8419,11.6891,94,18.8241,15.809,22.0742,1.7379,29
8479542,Brandon Hagel,L,441.32,58,7.8855,6.188,9.9762,77,10.4687,8.5214,12.7682,135,18.3542,15.8961,21.0395,1.7283,30
8476872,Scott Laughton,C,343.48,57,9.9568,7.8317,12.5537,51,8.9087,6.8961,11.4134,108,18.8655,16.0797,21.9506,1.7181,31
8473504,Cal Clutterbuck,R,128.9,20,9.3095,6.1597,13.6421,21,9.775,6.5406,14.1645,41,19.0846,14.6244,24.1473,1.7029,32
8477931,Tomas Nosek,L,158.27,22,8.3404,5.627,12.1095,32,12.1314,8.8364,16.3147,54,20.4718,16.3414,25.122,1.7011,33
8479415,Michael McLeod,C,115.08,17,8.8631,5.6634,13.4419,18,9.3845,6.0816,14.0333,35,18.2476,13.6622,23.6185,1.6739,34
8480448,Parker Kelly,C,210.9,32,9.1038,6.5712,12.3753,35,9.9573,7.3052,13.3169,67,19.0612,15.5078,22.988,1.6734,35
8477446,Michael McCarron,C,168.72,30,10.6688,7.6361,14.5258,20,7.1125,4.6757,10.5434,50,17.7813,13.9319,22.1156,1.6698,36
8480848,Ty Dellandrea,C,134.4,14,6.25,3.7956,10.0645,32,14.2857,10.4723,19.058,46,20.5357,16.096,25.6222,1.6649,37
8476822,Luke Glendening,C,237.57,34,8.5871,6.2438,11.5798,45,11.3652,8.665,14.6167,79,19.9523,16.5115,23.6408,1.6536,38
8480185,Eetu Luostarinen,C,360.65,49,8.1519,6.2529,10.4954,61,10.1483,8.031,12.6642,110,18.3003,15.5694,21.2425,1.6535,39
8476399,Blake Coleman,C,345.82,42,7.2871,5.4643,9.6011,64,11.1041,8.8558,13.7559,106,18.3912,15.6079,21.4103,1.6532,40
