player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8475166,John Tavares,C,630.05,639,60.8523,59.6414,60.0,649,61.8046,59.6469,60.0,1288,122.6569,59.8216,60.0,11.5067,1
8479314,Matthew Tkachuk,L,743.45,819,66.0972,59.7199,60.0,640,51.6511,50.0797,53.062,1459,117.7483,59.8424,60.0,10.8709,2
8480027,Jason Robertson,L,645.77,593,55.0973,53.6545,56.2038,549,51.0091,49.214,52.5192,1142,106.1064,59.7988,60.0,10.413,3
8476455,Gabriel Landeskog,L,189.52,155,49.0722,45.276,51.8677,229,72.5002,59.0101,60.0,384,121.5724,59.4057,60.0,10.2596,4
8478550,Artemi Panarin,L,742.03,681,55.0649,53.7484,56.1281,750,60.6442,59.6942,60.0,1431,115.7091,59.8394,60.0,10.1013,5
8475786,Zach Hyman,L,743.87,817,65.8989,59.7192,60.0,544,43.8788,41.8919,45.7076,1361,109.7777,59.8311,60.0,9.9579,6
8479318,Auston Matthews,C,695.52,625,53.9168,52.3964,55.1001,600,51.7601,50.0674,53.1424,1225,105.6768,59.8124,60.0,9.9188,7
8478402,Connor McDavid,C,931.53,982,63.2506,59.7662,60.0,683,43.992,42.2107,45.6146,1665,107.2425,59.8619,60.0,9.7016,8
8471215,Evgeni Malkin,C,562.8,524,55.8635,54.4022,56.9349,410,43.71,41.4023,45.801,934,99.5736,59.7542,60.0,9.6897,9
8471675,Sidney Crosby,C,691.08,657,57.0409,55.9217,57.8747,480,41.6737,39.5584,43.6699,1137,98.7146,59.798,60.0,9.6836,10
8477939,William Nylander,R,762.6,653,51.3769,49.7474,52.7385,667,52.4784,50.9255,53.7513,1320,103.8552,59.8259,60.0,9.6683,11
8476454,Ryan Nugent-Hopkins,C,885.5,932,63.1508,59.7537,60.0,640,43.3653,41.5168,45.0497,1572,106.5161,59.8537,60.0,9.6645,12
