player_id,player_name,reb_attempts,league_denom,es_toi_min,P1b,P1b_lo,P1b_hi,P1b_pct,P1b_lo_pct,P1b_hi_pct,P1b_rank,P1b_per60,P1b_per60_lo95,P1b_per60_hi95,P1b_per60_rank,rank_delta_pct_vs_per60,toi_flag
8481024,Linus Karlsson,34,16187,756.85,0.0021,0.001504,0.002934,0.21,0.1504,0.2934,160,2.6954,1.939,3.7264,1,159,TOI_DEFLATED
8475314,Anders Lee,114,16187,5288.3,0.007043,0.005866,0.008453,0.7043,0.5866,0.8453,1,1.2934,1.0786,1.55,2,-1,
8481716,Dmitri Voronkov,47,16187,2276.8333333333335,0.002904,0.002184,0.003859,0.2904,0.2184,0.3859,61,1.2386,0.9335,1.6404,3,58,TOI_DEFLATED
8483464,Marco Kasper,30,16187,1557.75,0.001853,0.001299,0.002645,0.1853,0.1299,0.2645,202,1.1555,0.8112,1.6413,4,198,TOI_DEFLATED
8479365,Trent Frederic,66,16187,3615.733333333333,0.004077,0.003206,0.005184,0.4077,0.3206,0.5184,12,1.0952,0.8624,1.3893,5,7,
8475786,Zach Hyman,102,16187,5621.933333333333,0.006301,0.005194,0.007643,0.6301,0.5194,0.7643,2,1.0886,0.8981,1.3185,6,-4,
8475169,Evander Kane,53,16187,3003.4166666666665,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,1.0588,0.8111,1.3807,7,24,TOI_DEFLATED
8475799,Nino Niederreiter,76,16187,4402.883333333333,0.004695,0.003753,0.005872,0.4695,0.3753,0.5872,4,1.0357,0.8288,1.293,8,-4,
8470610,Zach Parise,42,16187,2455.9166666666665,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,1.0261,0.7606,1.382,9,89,TOI_DEFLATED
8479671,Mathieu Olivier,47,16187,2785.9666666666667,0.002904,0.002184,0.003859,0.2904,0.2184,0.3859,61,1.0122,0.7626,1.3416,10,51,TOI_DEFLATED
8476474,Stefan Noesen,47,16187,2833.75,0.002904,0.002184,0.003859,0.2904,0.2184,0.3859,61,0.9951,0.7497,1.319,11,50,TOI_DEFLATED
8477935,Sam Bennett,75,16187,4531.283333333334,0.004633,0.003698,0.005804,0.4633,0.3698,0.5804,5,0.9931,0.7936,1.2419,12,-7,
8482702,Logan Stankoven,32,16187,1933.95,0.001977,0.001401,0.002789,0.1977,0.1401,0.2789,176,0.9928,0.7047,1.3959,13,163,TOI_DEFLATED
8480855,Jack McBain,51,16187,3158.1,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.9689,0.7383,1.2702,14,29,TOI_DEFLATED
8477478,William Carrier,42,16187,2618.8,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.9623,0.7132,1.2963,15,83,TOI_DEFLATED
8477476,Artturi Lehkonen,68,16187,4310.0,0.004201,0.003315,0.005322,0.4201,0.3315,0.5322,8,0.9466,0.7479,1.1971,16,-8,
8482055,Drew O'Connor,52,16187,3339.45,0.003212,0.002451,0.00421,0.3212,0.2451,0.421,37,0.9343,0.7138,1.2219,17,20,
8478057,Dakota Joshua,43,16187,2800.0666666666666,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.9214,0.6853,1.2373,18,71,TOI_DEFLATED
8479977,Kailer Yamamoto,47,16187,3109.75,0.002904,0.002184,0.003859,0.2904,0.2184,0.3859,61,0.9068,0.683,1.2022,19,42,TOI_DEFLATED
8477446,Michael McCarron,44,16187,2918.866666666667,0.002718,0.002026,0.003647,0.2718,0.2026,0.3647,83,0.9045,0.6749,1.2104,20,63,TOI_DEFLATED
8475166,John Tavares,82,16187,5459.7,0.005066,0.004083,0.006283,0.5066,0.4083,0.6283,3,0.9011,0.727,1.1161,21,-18,
8478046,Danton Heinen,53,16187,3569.516666666667,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,0.8909,0.6821,1.162,22,9,
8479414,Nathan Bastian,35,16187,2369.3,0.002162,0.001555,0.003006,0.2162,0.1555,0.3006,153,0.8863,0.6385,1.2286,23,130,TOI_DEFLATED
8482092,Ridly Greig,42,16187,2854.25,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.8829,0.6543,1.1899,24,74,TOI_DEFLATED
8476392,Adam Lowry,68,16187,4624.95,0.004201,0.003315,0.005322,0.4201,0.3315,0.5322,8,0.8822,0.6969,1.1158,25,-17,
8481580,Connor McMichael,51,16187,3504.0,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.8733,0.6653,1.1451,26,17,
8476921,Jordan Martinook,62,16187,4310.433333333333,0.00383,0.002989,0.004907,0.383,0.2989,0.4907,15,0.863,0.6743,1.1038,27,-12,
8482157,Will Cuylle,37,16187,2580.3166666666666,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.8604,0.6253,1.1822,28,102,TOI_DEFLATED
8479591,Michael Eyssimont,36,16187,2527.7166666666667,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.8545,0.6182,1.1791,29,111,TOI_DEFLATED
8480762,Eric Robinson,48,16187,3430.7833333333333,0.002965,0.002237,0.003929,0.2965,0.2237,0.3929,56,0.8395,0.6341,1.1099,30,26,TOI_DEFLATED
8480801,Brady Tkachuk,74,16187,5399.25,0.004572,0.003643,0.005735,0.4572,0.3643,0.5735,6,0.8223,0.6559,1.0303,31,-25,TOI_INFLATED
8479525,Ross Colton,53,16187,3897.2833333333333,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,0.816,0.6248,1.0647,32,-1,
8480281,Alexey Toropchenko,43,16187,3189.6,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.8089,0.6014,1.0864,33,56,TOI_DEFLATED
8475855,Jesper Fast,38,16187,2839.3333333333335,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.803,0.586,1.0991,34,85,TOI_DEFLATED
