player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,CNFI_centrality,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,MNFI_centrality,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,FNFI_centrality,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P2_weighted,TNFI_rank_raw,P2_weighted_rank,rank_delta,weighting_flag
8484829,Justin Hryckowian,609.63,72,7.0862,5.6872,8.7636,3.833,35,3.4447,2.4925,4.7251,8.171,35,3.4447,2.4925,4.7251,6.371,142,13.9756,12.0591,16.076,1.4262,1,3,-2,
8470638,Patrice Bergeron,2115.5,190,5.3888,4.7006,6.1637,4.258,188,5.3321,4.6474,6.1036,6.734,116,3.29,2.7542,3.9211,7.405,494,14.0109,12.9556,15.1174,1.3556,2,1,1,
8482159,Tyson Foerster,2548.98,275,6.4732,5.7856,7.2315,4.084,209,4.9196,4.3176,5.597,7.818,140,3.2954,2.8038,3.8674,7.593,624,14.6882,13.7101,15.7122,1.4742,3,7,-4,
8482659,Josh Doan,1392.23,141,6.0766,5.1914,7.0954,4.163,120,5.1715,4.3547,6.1268,7.95,83,3.577,2.9014,4.3992,8.614,344,14.8251,13.511,16.2277,1.4457,4,4,0,
8484387,Matvei Michkov,1715.28,194,6.7861,5.9391,7.739,4.67,146,5.107,4.3699,5.9571,8.034,84,2.9383,2.3841,3.6144,6.929,424,14.8314,13.6436,16.0919,1.4863,5,8,-3,
8476461,Sean Couturier,3335.18,352,6.3325,5.7341,6.986,4.582,287,5.1631,4.6205,5.7635,7.672,186,3.3461,2.9089,3.845,7.043,825,14.8418,13.9817,15.7384,1.4624,6,5,1,
8481604,Pavel Dorofeyev,2703.15,322,7.1472,6.4471,7.913,4.13,194,4.3061,3.7582,4.9273,8.366,160,3.5514,3.0544,4.1239,7.537,676,15.0047,14.0477,16.0059,1.504,7,9,-2,
8479546,Oskar Steen,515.27,50,5.8222,4.4652,7.5433,4.14,57,6.6373,5.1848,8.4427,7.772,23,2.6782,1.7965,3.9673,6.957,130,15.1378,13.0102,17.5011,1.5286,8,10,-2,
8478493,Joel Eriksson Ek,4789.73,441,5.5243,5.0522,6.0351,4.433,408,5.1109,4.656,5.6051,7.218,368,4.6099,4.1772,5.0827,6.853,1217,15.2451,14.5166,15.9956,1.3935,9,2,7,
8480007,Jonas Rondbjerg,733.42,75,6.1357,4.9447,7.5824,3.507,70,5.7266,4.5769,7.136,8.157,46,3.7632,2.8426,4.9617,7.196,191,15.6255,13.8061,17.6124,1.5396,10,12,-2,
8481553,Bobby Brink,2303.03,280,7.2947,6.5316,8.1337,4.504,187,4.8718,4.2437,5.5838,7.481,134,3.491,2.9604,4.1101,6.94,601,15.6576,14.6062,16.7573,1.5611,11,13,-2,
8480220,Noah Cates,3714.07,439,7.092,6.4926,7.7389,4.271,324,5.2342,4.715,5.8047,7.12,213,3.441,3.0192,3.9178,7.498,976,15.7671,14.933,16.6311,1.5877,12,17,-5,
8482726,Samuel Helenius,652.32,74,6.8065,5.4827,8.4086,4.108,49,4.507,3.4387,5.8783,8.551,50,4.599,3.5191,5.9809,6.38,173,15.9125,13.9736,18.0318,1.5361,13,11,2,
8478483,Mitch Marner,5815.55,710,7.3252,6.8347,7.8445,4.217,488,5.0348,4.6232,5.4786,7.619,346,3.5697,3.2219,3.952,7.454,1544,15.9297,15.257,16.6185,1.6092,14,26,-12,HIGH_DANGER_MIX
8476437,Victor Rask,515.93,59,6.8614,5.3812,8.6817,4.814,48,5.5821,4.2528,7.2709,6.354,30,3.4888,2.4615,4.9071,7.1,137,15.9323,13.7541,18.3143,1.5631,15,14,1,
8483525,Danila Yurov,504.48,53,6.3035,4.8779,8.0995,4.057,39,4.6384,3.4272,6.2422,7.385,42,4.9952,3.7345,6.6438,7.857,134,15.9371,13.7507,18.3666,1.4643,16,6,10,
8482742,Zachary L'Heureux,857.32,108,7.5585,6.3274,8.9954,4.769,71,4.969,3.972,6.193,7.831,50,3.4993,2.6719,4.5657,7.66,229,16.0268,14.3203,17.8697,1.5952,17,22,-5,
8475820,Joonas Donskoi,905.32,112,7.4228,6.2327,8.809,4.071,88,5.8322,4.7761,7.0967,6.636,42,2.7836,2.0709,3.7282,6.786,242,16.0386,14.3756,17.8307,1.6874,18,55,-37,HIGH_DANGER_MIX
8475772,Riley Sheahan,709.4,84,7.1046,5.8032,8.6608,4.202,79,6.6817,5.4195,8.2028,6.709,28,2.3682,1.6478,3.3891,7.929,191,16.1545,14.2827,18.1937,1.7111,19,75,-56,HIGH_DANGER_MIX
8478403,Jack Eichel,4691.88,576,7.3659,6.8208,7.9477,4.016,400,5.1152,4.6558,5.6151,7.405,294,3.7597,3.3646,4.1975,7.483,1270,16.2408,15.4891,17.0142,1.6333,20,30,-10,
8481532,Alex Turcotte,1309.02,158,7.2421,6.2493,8.3682,4.108,105,4.8128,4.0019,5.7712,7.524,92,4.2169,3.4593,5.1255,7.685,355,16.2718,14.8686,17.7556,1.597,21,23,-2,
8482145,Mavrik Bourque,1447.82,187,7.7496,6.7708,8.8442,4.187,95,3.937,3.2382,4.7727,7.874,111,4.6,3.8428,5.4905,7.658,393,16.2866,14.9479,17.6938,1.5901,22,18,4,
8480448,Parker Kelly,2953.38,344,6.9886,6.3249,7.7139,4.177,248,5.0383,4.4707,5.6721,7.065,210,4.2663,3.7434,4.8571,6.824,802,16.2932,15.351,17.2752,1.5926,23,19,4,
8481559,Jack Hughes,4893.55,557,6.8294,6.313,7.3809,4.241,484,5.9343,5.4507,6.4547,7.227,295,3.617,3.2369,4.0378,7.525,1336,16.3807,15.6413,17.1386,1.6186,24,27,-3,
8483808,Andrei Kuzmenko,3123.77,363,6.9724,6.3257,7.6746,4.113,310,5.9543,5.3541,6.6128,7.49,182,3.4958,3.0345,4.0217,7.802,855,16.4225,15.5003,17.3756,1.6456,25,34,-9,
8482737,Zachary Bolduc,1679.5,219,7.8238,6.9058,8.8383,4.151,129,4.6085,3.8998,5.4303,7.915,112,4.0012,3.342,4.7766,7.348,460,16.4335,15.1812,17.7378,1.6301,26,29,-3,
8478028,Fredrik Olofsson,736.83,90,7.3287,6.025,8.8641,3.911,68,5.5372,4.406,6.9196,8.103,44,3.5829,2.6863,4.7519,8.636,202,16.4488,14.5868,18.4438,1.6662,27,41,-14,HIGH_DANGER_MIX
8477942,Kevin Fiala,5062.83,592,7.0158,6.5019,7.5642,4.52,437,5.1789,4.7332,5.6619,7.364,359,4.2545,3.8494,4.6984,7.663,1388,16.4493,15.722,17.1961,1.5804,28,16,12,LOW_DANGER_MIX
8484958,Maxim Tsyplakov,1235.98,159,7.7186,6.6672,8.9078,4.258,103,5.0001,4.1511,6.0038,7.32,78,3.7865,3.0515,4.6838,8.474,340,16.5051,15.0547,18.0387,1.6551,29,37,-8,
8477955,Jared McCann,4622.0,564,7.3215,6.7741,7.9066,4.317,397,5.1536,4.6893,5.6592,7.433,313,4.0632,3.6497,4.5197,7.425,1274,16.5383,15.7768,17.3222,1.6224,30,28,2,
8471685,Anze Kopitar,5877.88,722,7.37,6.8811,7.8882,4.317,522,5.3284,4.908,5.7809,7.316,381,3.8892,3.5282,4.284,7.276,1625,16.5876,15.9102,17.2819,1.6474,31,35,-4,
