player_id,player_name,es_toi_min,TNFI_SA,TNFI_SA_per60,P2_weighted,blocks_total,blocks_CNFI,blocks_MNFI,blocks_FNFI,blocks_per60,blocks_xG_per60,P2_net,P2_weighted_rank,P2_net_rank,rank_delta_net_vs_weighted
8483525,Danila Yurov,504.48,134,15.9371,1.4643,26,14,9,3,3.092,0.3351,1.1292,6,1,5
8470638,Patrice Bergeron,2115.5,494,14.0109,1.3556,54,16,35,3,1.532,0.1681,1.1875,1,2,-1
8484829,Justin Hryckowian,609.63,142,13.9756,1.4262,26,8,7,11,2.559,0.2193,1.2069,3,3,0
8482726,Samuel Helenius,652.32,173,15.9125,1.5361,32,20,9,3,2.943,0.3133,1.2228,11,4,7
8478493,Joel Eriksson Ek,4789.73,1217,15.2451,1.3935,115,44,49,22,1.441,0.1444,1.2491,2,5,-3
8476461,Sean Couturier,3335.18,825,14.8418,1.4624,82,27,42,13,1.475,0.149,1.3134,5,6,-1
8483609,Adam Klapka,758.5,233,18.4311,1.7617,60,14,30,16,4.746,0.4331,1.3286,135,7,128
8480448,Parker Kelly,2953.38,802,16.2932,1.5926,131,38,63,30,2.661,0.2593,1.3333,19,8,11
8482159,Tyson Foerster,2548.98,624,14.6882,1.4742,70,13,31,26,1.648,0.1396,1.3346,7,9,-2
8477903,Garnet Hathaway,3661.17,1027,16.8307,1.6012,177,36,94,47,2.901,0.2599,1.3413,24,10,14
8482659,Josh Doan,1392.23,344,14.8251,1.4457,25,8,9,8,1.077,0.0968,1.3489,4,11,-7
8477446,Michael McCarron,2918.87,848,17.4314,1.7058,174,42,113,19,3.577,0.3525,1.3533,69,12,57
8479546,Oskar Steen,515.27,130,15.1378,1.5286,17,6,4,7,1.98,0.1714,1.3572,10,13,-3
8481532,Alex Turcotte,1309.02,355,16.2718,1.597,52,16,27,9,2.383,0.2381,1.3589,23,14,9
8480012,Elias Pettersson,5330.63,1491,16.7822,1.6651,257,67,168,22,2.893,0.2953,1.3698,40,15,25
8471685,Anze Kopitar,5877.88,1625,16.5876,1.6474,221,89,107,25,2.256,0.2421,1.4053,35,16,19
8481553,Bobby Brink,2303.03,601,15.6576,1.5611,60,18,29,13,1.563,0.153,1.4081,13,17,-4
8481604,Pavel Dorofeyev,2703.15,676,15.0047,1.504,47,9,27,11,1.043,0.0924,1.4116,9,18,-9
8482751,Ryan Winterton,588.0,165,16.8367,1.6405,27,7,9,11,2.755,0.2286,1.4119,31,19,12
8480007,Jonas Rondbjerg,733.42,191,15.6255,1.5396,19,4,7,8,1.554,0.1262,1.4134,12,20,-8
8484387,Matvei Michkov,1715.28,424,14.8314,1.4863,25,9,8,8,0.874,0.0727,1.4136,8,21,-13
8482145,Mavrik Bourque,1447.82,393,16.2866,1.5901,40,20,12,8,1.658,0.1728,1.4173,18,22,-4
8475220,Marcus Foligno,3670.5,1043,17.0494,1.5934,127,30,56,41,2.076,0.1752,1.4182,20,23,-3
8479318,Auston Matthews,5452.95,1584,17.4291,1.7509,288,87,179,22,3.169,0.3281,1.4228,125,24,101
8483524,Shane Wright,1553.15,465,17.9635,1.7241,81,17,51,13,3.129,0.2958,1.4283,87,25,62
8474009,Nick Bonino,2315.47,757,19.6159,1.8323,154,36,101,17,3.991,0.4018,1.4305,222,26,196
8480064,Josh Norris,3077.97,880,17.1542,1.6428,105,29,62,14,2.047,0.2052,1.4376,32,27,5
8482742,Zachary L'Heureux,857.32,229,16.0268,1.5952,25,9,7,9,1.75,0.1567,1.4385,22,28,-6
8480220,Noah Cates,3714.07,976,15.7671,1.5877,101,32,44,25,1.632,0.1485,1.4392,17,29,-12
8480068,Ryan Poehling,3412.87,1010,17.7563,1.7659,175,48,107,20,3.077,0.3101,1.4558,139,30,109
8482077,Dylan Holloway,2523.98,718,17.0683,1.6918,104,31,48,25,2.472,0.2348,1.457,61,31,30
