player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8477015,Connor Brown,R,240.1,37,9.2461,6.8378,12.316,39,9.7459,7.2725,12.8655,7,1.7493,0.8519,3.5382,83,20.7414,17.3107,24.4807,2.3662,1
8477406,Mattias Janmark,C,185.22,34,11.0141,8.0761,14.7499,25,8.0986,5.5941,11.5128,9,2.9155,1.5481,5.3915,68,22.0283,18.0865,26.3449,2.3579,2
8477930,Pierre-Edouard Bellemare,L,130.83,22,10.0892,6.8159,14.472,18,8.2548,5.3228,12.4053,3,1.3758,0.4691,3.9101,43,19.7197,15.2237,24.7528,2.2365,3
8480289,Morgan Barron,C,142.07,22,9.2914,6.2756,13.4066,13,5.4904,3.2569,9.02,3,1.267,0.4326,3.6163,38,16.0488,12.0969,20.7503,1.869,4
8478519,Anthony Cirelli,C,373.57,45,7.2276,5.469,9.4327,51,8.1913,6.3156,10.4917,14,2.2486,1.3456,3.7107,110,17.6675,15.0132,20.5321,1.8125,5
8473533,Jordan Staal,C,276.25,32,6.9502,5.0001,9.5457,36,7.819,5.7434,10.5175,5,1.086,0.4657,2.502,73,15.8552,12.9568,19.1702,1.768,6
8481186,Logan O'Connor,R,216.98,27,7.466,5.2162,10.4986,23,6.3599,4.3002,9.2411,5,1.3826,0.5929,3.1677,55,15.2085,12.0128,18.9166,1.6911,7
8476934,Brock McGinn,L,134.97,21,9.3356,6.243,13.5673,9,4.001,2.128,7.3108,5,2.2228,0.9553,5.0263,35,15.5594,11.5633,20.3471,1.676,8
8476918,Jimmy Vesey,L,157.08,19,7.2573,4.7316,10.8769,19,7.2573,4.7316,10.8769,3,1.1459,0.3912,3.2801,41,15.6605,11.9236,20.0986,1.6536,9
8476889,Radek Faksa,C,221.55,22,5.958,3.9814,8.7288,30,8.1246,5.7795,11.1815,4,1.0833,0.4217,2.7243,56,15.1659,11.98,18.796,1.6472,10
8478472,Mathieu Joseph,R,206.77,24,6.9644,4.7497,10.0031,23,6.6742,4.5113,9.6723,1,0.2902,0.0512,1.6112,48,13.9287,10.7756,17.6367,1.6272,11
8480144,David Kampf,C,247.5,28,6.7879,4.7567,9.5003,24,5.8182,3.9537,8.3973,10,2.4242,1.3228,4.3573,62,15.0303,12.0119,18.4458,1.6066,12
8478585,Derek Ryan,C,115.45,10,5.1971,2.8751,9.1619,15,7.7956,4.8398,12.2459,4,2.0788,0.8165,5.1621,29,15.0715,10.9019,20.3203,1.5831,13
8478427,Sebastian Aho,C,493.0,58,7.0588,5.5271,8.9453,47,5.7201,4.3471,7.4686,10,1.217,0.6633,2.2159,115,13.9959,11.885,16.3544,1.5739,14
8476624,Barclay Goodrow,C,283.68,30,6.3451,4.5,8.8076,32,6.7681,4.8572,9.2843,5,1.0575,0.4526,2.4327,67,14.1707,11.4159,17.3169,1.5484,15
8479351,Sam Steel,C,210.88,25,7.1129,4.8933,10.1434,18,5.1213,3.2785,7.8483,7,1.9916,0.9697,4.0131,50,14.2259,11.0769,17.9235,1.5234,16
8480980,Connor Dewar,C,186.73,21,6.7476,4.478,9.9345,17,5.4623,3.452,8.4453,7,2.2492,1.0949,4.5144,45,14.4591,11.0993,18.4042,1.5198,17
8480762,Eric Robinson,L,179.7,16,5.3422,3.3272,8.3703,22,7.3456,4.9269,10.6871,5,1.6694,0.7153,3.8021,43,14.3573,10.9479,18.3735,1.5173,18
8479944,Zachary Aston-Reese,C,125.8,13,6.2003,3.6775,10.1123,12,5.7234,3.3193,9.5464,3,1.4308,0.4878,4.06,28,13.3545,9.5076,18.1453,1.511,19
