player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8475166,John Tavares,C,630.05,470,44.7584,42.6372,46.7076,322,30.6642,28.3277,32.9976,196,18.6652,16.5718,20.8989,988,94.0878,59.7676,60.0,9.8137,1
8480027,Jason Robertson,L,645.77,445,41.3462,39.1275,43.4011,318,29.5463,27.232,31.8447,233,21.6487,19.4745,23.9061,996,92.5412,59.7695,60.0,9.2615,2
8479314,Matthew Tkachuk,L,743.45,571,46.0825,44.2106,47.8444,273,22.0324,20.0117,24.1617,299,24.1307,22.065,26.2859,1143,92.2456,59.799,60.0,9.2075,3
8471215,Evgeni Malkin,C,562.8,384,40.9382,38.5482,43.151,208,22.1748,19.8354,24.6047,197,21.0021,18.6991,23.4123,789,84.1151,59.7093,60.0,8.5182,4
8471675,Sidney Crosby,C,691.08,475,41.2396,39.1134,43.2514,251,21.7919,19.6938,23.986,224,19.4477,17.4194,21.5974,950,82.4792,59.7583,60.0,8.467,5
8479318,Auston Matthews,C,695.52,454,39.1651,36.9701,41.2054,294,25.3624,23.1745,27.5663,189,16.3044,14.3898,18.3469,937,80.832,59.755,60.0,8.4638,6
8476455,Gabriel Landeskog,L,189.52,111,35.142,30.7883,39.1167,83,26.2774,22.0955,30.4758,97,30.7097,26.3967,34.8415,291,92.1291,59.2182,60.0,8.4358,7
8470794,Joe Pavelski,C,429.25,267,37.3209,34.5364,40.0186,186,25.9988,23.2479,28.8508,157,21.9453,19.3057,24.7532,610,85.265,59.6245,60.0,8.3616,8
8478550,Artemi Panarin,L,742.03,456,36.8717,34.7418,38.934,294,23.7725,21.6992,25.9121,292,23.6108,21.5408,25.7487,1042,84.255,59.7796,60.0,8.2458,9
8477939,William Nylander,R,762.6,476,37.4508,35.3364,39.4515,325,25.5704,23.4792,27.6793,202,15.893,14.0804,17.8304,1003,78.9142,59.7711,60.0,8.2061,10
8471887,Patric Hornqvist,R,109.97,60,32.7372,27.1463,38.1241,50,27.281,21.8759,32.8537,43,23.4617,18.2927,29.0581,153,83.4798,58.5304,60.0,8.1886,11
8475692,Mats Zuccarello,R,695.02,438,37.812,35.6221,39.9179,264,22.7908,20.6715,24.9905,241,20.8053,18.7385,22.9741,943,81.4081,59.7566,60.0,8.1458,12
8476474,Stefan Noesen,R,356.43,234,39.3903,36.3934,42.2815,120,20.2001,17.3967,23.2615,131,22.0518,19.1723,25.1541,485,81.6422,59.5285,60.0,8.1005,13
8481557,Matt Boldy,L,696.53,442,38.0743,35.8645,40.1448,255,21.9659,19.8552,24.1355,238,20.5015,18.4328,22.6471,935,80.5417,59.7545,60.0,8.1001,14
8478864,Kirill Kaprizov,L,699.02,427,36.6515,34.453,38.779,273,23.4329,21.3049,25.6338,246,21.1154,19.0454,23.2834,946,81.1998,59.7573,60.0,8.0513,15
8475786,Zach Hyman,L,743.87,485,39.1199,37.017,41.1152,251,20.2456,18.2582,22.3259,226,18.2291,16.3077,20.2649,962,77.5946,59.7614,60.0,8.0456,16
