player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P4_weighted,TNFI_rank_raw,P4_weighted_rank,rank_delta,weighting_flag
8481546,Cam York,4892.8,540,6.622,6.1131,7.1669,442,5.4202,4.9571,5.9214,283,3.4704,3.0982,3.8839,1265,15.5126,14.7874,16.2592,1.5332,1,3,-2,
8479421,Jacob Moverare,1086.35,140,7.7323,6.617,9.0096,77,4.2528,3.4261,5.2637,66,3.6452,2.8832,4.5954,283,15.6303,14.1215,17.2505,1.5647,2,8,-6,
8481743,Marc Del Gaizo,769.85,84,6.5467,5.3388,7.985,78,6.0791,4.9156,7.4777,40,3.1175,2.3027,4.198,202,15.7433,13.95,17.6721,1.5731,3,9,-6,
8482730,Brandt Clarke,2213.1,263,7.1303,6.361,7.9795,177,4.7987,4.1636,5.5215,143,3.8769,3.3066,4.5381,583,15.8059,14.7307,16.9317,1.5557,4,7,-3,
8480990,Declan Chisholm,1605.3,181,6.7651,5.8928,7.7509,131,4.8963,4.1522,5.7621,111,4.1488,3.4648,4.9577,423,15.8101,14.5548,17.1391,1.5097,5,2,3,
8481527,Kaedan Korczak,1774.95,210,7.0988,6.2461,8.05,124,4.1917,3.5343,4.9602,137,4.6311,3.9396,5.4319,471,15.9216,14.7201,17.183,1.5387,6,5,1,
8481606,Jordan Spence,3280.15,436,7.9752,7.3042,8.6986,245,4.4815,3.9712,5.0519,196,3.5852,3.1288,4.1037,877,16.0419,15.1506,16.9674,1.6133,7,16,-9,
8479985,Cale Fleury,573.8,70,7.3196,5.8599,9.0758,49,5.1237,3.9104,6.6643,35,3.6598,2.65,5.0173,154,16.1032,14.0204,18.3595,1.615,8,17,-9,
8480426,Charle-Edouard D'Astous,748.9,70,5.6082,4.4782,6.9857,67,5.3679,4.2632,6.7225,64,5.1275,4.0489,6.4586,201,16.1036,14.2719,18.0729,1.4329,9,1,8,
8481178,Egor Zamula,2359.32,294,7.4767,6.7144,8.3143,187,4.7556,4.1424,5.4522,153,3.891,3.3366,4.5313,634,16.1233,15.0753,17.2208,1.5974,10,13,-3,
8482105,Jake Sanderson,4934.65,585,7.113,6.5891,7.6715,414,5.0338,4.5885,5.5172,334,4.0611,3.6601,4.5018,1333,16.2078,15.4743,16.9605,1.5915,11,12,-1,
8481564,Ryan Johnson,610.58,74,7.2717,5.855,8.9627,52,5.1099,3.9294,6.5944,39,3.8324,2.8225,5.1641,165,16.214,14.1817,18.3966,1.6046,12,15,-3,
8480831,Alec Regula,528.98,60,6.8055,5.3484,8.5967,51,5.7847,4.4453,7.4729,34,3.8565,2.7813,5.3083,145,16.4466,14.2693,18.8184,1.5848,13,11,2,
8474716,Jared Spurgeon,4669.63,485,6.2318,5.7257,6.7759,440,5.6535,5.1702,6.176,357,4.5871,4.1501,5.0652,1282,16.4724,15.7145,17.25,1.5389,14,6,8,
8481719,Max Crozier,582.7,61,6.2811,4.9392,7.9271,46,4.7366,3.5804,6.2187,54,5.5603,4.301,7.1339,161,16.578,14.4852,18.8296,1.5377,15,4,11,LOW_DANGER_MIX
8475177,Calvin de Haan,3287.38,394,7.1911,6.5522,7.885,297,5.4207,4.8616,6.0385,221,4.0336,3.5501,4.5787,912,16.6455,15.745,17.581,1.6264,16,18,-2,
8480084,Nick DeSimone,934.53,112,7.1908,6.0308,8.5303,90,5.7783,4.7382,7.0109,58,3.7238,2.8974,4.7615,260,16.6928,15.0185,18.4595,1.6341,17,20,-3,
8482858,Ryker Evans,2452.28,278,6.8018,6.0856,7.5922,225,5.5051,4.8579,6.2302,180,4.4041,3.8244,5.0648,683,16.711,15.6697,17.7977,1.5788,18,10,8,
8478021,William Lagesson,987.55,121,7.3515,6.2086,8.6632,92,5.5896,4.5924,6.7708,64,3.8884,3.0631,4.9124,277,16.8295,15.1949,18.551,1.6515,19,22,-3,
8477346,MacKenzie Weegar,7040.17,933,7.9515,7.4885,8.439,638,5.4374,5.0484,5.8534,429,3.6562,3.3351,4.0061,2000,17.0451,16.4206,17.6845,1.7298,20,38,-18,HIGH_DANGER_MIX
8481525,Matthew Robertson,760.23,88,6.9452,5.6969,8.4297,79,6.2349,5.0523,7.6605,49,3.8672,2.9466,5.0531,216,17.0474,15.1975,19.038,1.7124,21,33,-12,HIGH_DANGER_MIX
8475762,Derek Forbort,3310.68,371,6.7237,6.1052,7.3949,343,6.2162,5.6202,6.8663,227,4.114,3.6265,4.6606,941,17.0539,16.1459,17.9886,1.6639,22,24,-2,
8477541,Dakota Mermis,738.75,89,7.2284,5.9345,8.753,61,4.9543,3.8877,6.2766,60,4.8731,3.8158,6.187,210,17.0558,15.1698,19.0642,1.5986,23,14,9,
8482245,Artem Zub,5541.63,678,7.3408,6.8383,7.8737,524,5.6734,5.2275,6.1522,375,4.0602,3.6808,4.4749,1577,17.0744,16.3696,17.7948,1.6876,24,27,-3,
8477948,Travis Sanheim,7187.88,887,7.4041,6.9598,7.8723,700,5.8432,5.4446,6.2673,460,3.8398,3.514,4.1934,2047,17.0871,16.4678,17.7196,1.7016,25,28,-3,
