goalie_id,goalie_name,faced,goals,saves,P7_save_pct,P7_lo95,P7_hi95,rank
8473503,James Reimer,186,23,163,0.87634,0.82129,0.91617,1
8476932,Anthony Stolarz,175,28,147,0.84,0.77847,0.88692,2
8478009,Ilya Sorokin,345,56,289,0.83768,0.79509,0.87284,3
8481611,Pyotr Kochetkov,157,26,131,0.83439,0.76841,0.88441,4
8482982,Jet Greaves,105,18,87,0.82857,0.74523,0.88872,5
8478971,Connor Ingram,175,30,145,0.82857,0.76583,0.8772,5
8479312,Alex Lyon,162,28,134,0.82716,0.76154,0.87763,7
8477967,Thatcher Demko,211,37,174,0.82464,0.76766,0.87002,8
8479394,Carter Hart,159,28,131,0.8239,0.75726,0.87526,9
8478406,Mackenzie Blackwood,219,39,180,0.82192,0.76583,0.86691,10
8476883,Andrei Vasilevskiy,363,65,298,0.82094,0.7782,0.85695,11
8475311,Darcy Kuemper,321,58,263,0.81931,0.77353,0.85755,12
8479979,Jake Oettinger,321,58,263,0.81931,0.77353,0.85755,12
8474593,Jacob Markstrom,265,48,217,0.81887,0.76805,0.86057,14
8478499,Adin Hill,145,27,118,0.81379,0.74263,0.86876,15
8479361,Joseph Woll,155,29,126,0.8129,0.74422,0.86646,16
8477424,Juuse Saros,403,76,327,0.81141,0.77035,0.8466,17
8476914,Joonas Korpisalo,200,38,162,0.81,0.74999,0.85833,18
8478048,Igor Shesterkin,365,71,294,0.80548,0.76178,0.84282,19
8476341,Anton Forsberg,188,37,151,0.80319,0.74053,0.85371,20
8478470,Samuel Montembeault,286,58,228,0.7972,0.74681,0.83972,21
8478435,Dan Vladar,133,27,106,0.79699,0.72075,0.85656,22
8477480,Eric Comrie,103,21,82,0.79612,0.70834,0.8626,23
8480045,Ukko-Pekka Luukkonen,196,41,155,0.79082,0.72856,0.84189,24
8475883,Frederik Andersen,205,43,162,0.79024,0.72943,0.84038,25
8477968,Alex Nedeljkovic,162,34,128,0.79012,0.72106,0.84574,26
8474889,Martin Jones,100,21,79,0.79,0.7002,0.85834,27
8475809,Scott Wedgewood,147,31,116,0.78912,0.71624,0.84727,28
8478024,Ville Husso,146,31,115,0.78767,0.7144,0.84619,29
8479496,David Rittich,108,23,85,0.78704,0.70066,0.85369,30
8480382,Alexandar Georgiev,304,65,239,0.78618,0.73667,0.82855,31
8479193,Casey DeSmith,159,34,125,0.78616,0.71608,0.84275,32
8480193,Daniil Tarasov,102,22,80,0.78431,0.69496,0.85303,33
8474596,Jake Allen,239,52,187,0.78243,0.72587,0.83005,34
8479406,Filip Gustavsson,216,47,169,0.78241,0.72271,0.83224,35
8476945,Connor Hellebuyck,363,80,283,0.77961,0.73417,0.8192,36
8480947,Kevin Lankinen,176,39,137,0.77841,0.71147,0.83345,37
8478007,Elvis Merzlikins,216,48,168,0.77778,0.71775,0.82809,38
8476434,John Gibson,268,60,208,0.77612,0.72251,0.82192,39
8476999,Linus Ullmark,267,60,207,0.77528,0.72151,0.82124,40
8480313,Logan Thompson,182,41,141,0.77473,0.70871,0.82938,41
8480843,Lukas Dostal,235,54,181,0.77021,0.71234,0.8194,42
8475683,Sergei Bobrovsky,413,95,318,0.76998,0.72701,0.80797,43
8481519,Spencer Knight,177,41,136,0.76836,0.70091,0.82441,44
8478872,Karel Vejmelka,340,79,261,0.76765,0.71992,0.8094,45
8475660,Cam Talbot,215,50,165,0.76744,0.70658,0.81892,46
8476412,Jordan Binnington,255,61,194,0.76078,0.7048,0.80903,47
8479292,Charlie Lindgren,163,39,124,0.76074,0.68972,0.81975,48
8475831,Philipp Grubauer,179,43,136,0.75978,0.69215,0.81648,49
8478916,Joey Daccord,137,33,104,0.75912,0.68108,0.82303,50
8475852,Petr Mrazek,182,44,138,0.75824,0.69112,0.81469,51
8482821,Arvid Soderblom,122,30,92,0.7541,0.6707,0.82198,52
8481692,Dustin Wolf,162,40,122,0.75309,0.68133,0.81312,53
8479973,Stuart Skinner,270,67,203,0.75185,0.69704,0.7996,54
8477970,Vitek Vanecek,160,40,120,0.75,0.67757,0.8107,55
8481035,Samuel Ersson,119,30,89,0.7479,0.66297,0.81732,56
8471734,Jonathan Quick,170,43,127,0.74706,0.67675,0.80645,57
8480280,Jeremy Swayman,276,70,206,0.74638,0.69191,0.79408,58
8470594,Marc-Andre Fleury,169,43,126,0.74556,0.67494,0.80527,59
8478492,Ilya Samsonov,141,37,104,0.73759,0.65936,0.80321,60
8477465,Tristan Jarry,179,50,129,0.72067,0.65083,0.78123,61
