player_id,player_name,es_toi_min,CNFI_attempts,P1a_raw_CNFI,P1a_weighted_CNFI,P1a_centrality_CNFI,CNFI_rank_raw,CNFI_rank_w,CNFI_rank_delta,CNFI_centrality_flag,MNFI_attempts,P1a_raw_MNFI,P1a_weighted_MNFI,P1a_centrality_MNFI,MNFI_rank_raw,MNFI_rank_w,MNFI_rank_delta,MNFI_centrality_flag
8475169,Evander Kane,3003.42,1098,21.935,2.2902,9.492,1,1,0,,810,16.1816,1.0655,17.164,30,45,-15,PENALIZED
8475786,Zach Hyman,5621.93,1978,21.1102,2.1918,9.39,2,2,0,,1450,15.4751,1.0827,15.893,65,37,28,BOOSTED
8478402,Connor McDavid,6331.43,2226,21.0947,2.1901,9.341,3,3,0,,1702,16.129,1.1253,15.888,34,21,13,BOOSTED
8477478,William Carrier,2618.8,848,19.4287,2.113,8.702,6,4,2,,665,15.236,0.9848,17.833,81,105,-24,PENALIZED
8479314,Matthew Tkachuk,4792.65,1624,20.3311,2.0578,9.995,4,5,-1,,1500,18.7788,1.2715,16.729,1,2,-1,
8475855,Jesper Fast,2839.33,900,19.0185,2.0207,9.48,8,6,2,,680,14.3696,0.9709,16.946,136,115,21,BOOSTED
8477935,Sam Bennett,4531.28,1496,19.809,2.0152,10.007,5,7,-2,,1397,18.4981,1.2255,17.208,3,5,-2,
8476455,Gabriel Landeskog,1382.55,441,19.1385,1.9601,9.81,7,8,-1,,427,18.531,1.3106,15.602,2,1,1,
8482702,Logan Stankoven,1933.95,606,18.8009,1.9434,9.436,10,9,1,,585,18.1494,1.1902,17.475,5,8,-3,
8474613,Derek Stepan,1146.48,362,18.9449,1.9402,10.064,9,10,-1,,314,16.4329,1.021,18.745,23,69,-46,PENALIZED
8477409,Carter Verhaeghe,5289.5,1629,18.4781,1.9142,9.572,13,11,2,,1626,18.4441,1.2213,17.24,4,6,-2,
8470595,Eric Staal,831.82,255,18.3935,1.907,9.573,15,12,3,,198,14.282,0.9312,17.162,146,161,-15,PENALIZED
8476921,Jordan Martinook,4310.43,1341,18.6663,1.888,10.479,12,13,-1,,1139,15.8546,0.9705,19.076,47,116,-69,PENALIZED
8477998,Warren Foegele,4244.4,1273,17.9955,1.8801,9.459,17,14,3,,1131,15.9881,1.0454,17.438,41,54,-13,PENALIZED
