player_id,player_name,es_toi_min,CNFI_SF,CNFI_SF_per60,CNFI_SF_lo95,CNFI_SF_hi95,MNFI_SF,MNFI_SF_per60,MNFI_SF_lo95,MNFI_SF_hi95,FNFI_SF,FNFI_SF_per60,FNFI_SF_lo95,FNFI_SF_hi95,TNFI_SF,TNFI_SF_per60,TNFI_SF_lo95,TNFI_SF_hi95,P5_weighted,TNFI_rank_raw,P5_weighted_rank,rank_delta,weighting_flag
8474628,Michael Stone,751.85,111,8.8581,7.4428,10.4849,139,11.0926,9.5234,12.8497,90,7.1823,5.9036,8.6901,340,27.1331,25.0133,29.2712,2.5328,1,2,-1,
8480803,Evan Bouchard,6717.52,1352,12.0759,11.5101,12.6604,883,7.8868,7.4141,8.3837,709,6.3327,5.9049,6.7867,2944,26.2954,25.584,27.0074,2.6259,2,1,1,
8478038,Devon Toews,6913.8,1107,9.6069,9.0993,10.1365,952,8.2617,7.7862,8.7609,868,7.5328,7.0764,8.0137,2927,25.4014,24.7046,26.1018,2.3517,3,13,-10,
8478430,Oliver Kylington,1896.52,280,8.8583,7.9411,9.8565,305,9.6493,8.6963,10.6796,213,6.7387,5.9311,7.6368,798,25.2463,23.9179,26.5811,2.3869,4,8,-4,
8482100,Alexander Nikishin,770.43,148,11.526,9.9558,13.2924,100,7.7878,6.4771,9.3278,74,5.763,4.6348,7.1383,322,25.0768,23.0299,27.2007,2.4954,5,3,2,
8481581,Thomas Harley,4255.13,796,11.2241,10.5384,11.9443,548,7.7271,7.1435,8.3514,421,5.9364,5.4198,6.4967,1765,24.8876,24.0051,25.7808,2.4627,6,4,2,
8470281,Duncan Keith,1077.38,174,9.6901,8.4473,11.0843,147,8.1865,7.0365,9.4974,120,6.6829,5.6395,7.8967,441,24.5595,22.8285,26.3466,2.3658,7,11,-4,
8479398,Samuel Girard,5417.18,874,9.6803,9.1073,10.2828,684,7.5759,7.0613,8.1228,650,7.1993,6.6964,7.735,2208,24.4555,23.6754,25.2452,2.2993,8,16,-8,
8477932,Aaron Ekblad,5282.97,939,10.6645,10.06,11.2969,676,7.6775,7.1532,8.2342,524,5.9512,5.4849,6.4524,2139,24.2932,23.5032,25.0911,2.3787,9,9,0,
8479523,Lucas Carlsson,655.32,103,9.4306,7.8828,11.2272,99,9.0643,7.5451,10.8364,63,5.7682,4.5541,7.2705,265,24.2631,22.0592,26.5571,2.3059,10,15,-5,
8480069,Cale Makar,6873.0,1040,9.079,8.5824,9.599,897,7.8306,7.3652,8.3209,836,7.2981,6.8471,7.7745,2773,24.2078,23.5153,24.9067,2.2283,11,25,-14,LOW_DANGER_MIX
8478055,Gustav Forsling,6733.93,1208,10.7634,10.2245,11.3241,870,7.7518,7.2837,8.2451,626,5.5777,5.1753,6.0078,2704,24.0929,23.3937,24.7984,2.3897,12,7,5,
8474162,Jake Muzzin,898.53,140,9.3486,8.0097,10.8535,136,9.0815,7.7606,10.571,84,5.6091,4.5662,6.8538,360,24.0392,22.1342,25.97,2.3566,13,12,1,
8478017,Mark Friedman,938.62,157,10.036,8.6819,11.5448,117,7.4791,6.2996,8.836,99,6.3285,5.2422,7.6025,373,23.8436,21.9848,25.7332,2.2715,14,20,-6,
8476958,Jaccob Slavin,6326.58,1188,11.2667,10.7001,11.8547,793,7.5206,7.0442,8.0234,514,4.8747,4.4855,5.2937,2495,23.6621,22.942,24.3867,2.425,15,5,10,
8475218,Mattias Ekholm,6306.63,1126,10.7125,10.1566,11.2907,767,7.2971,6.8264,7.7945,584,5.5561,5.1413,6.0,2477,23.5657,22.8453,24.2912,2.3392,16,14,2,
8477498,Darnell Nurse,6830.23,1317,11.5692,11.0186,12.1412,798,7.01,6.566,7.4803,544,4.7788,4.4077,5.1785,2659,23.3579,22.6688,24.0561,2.3991,17,6,11,HIGH_DANGER_MIX
8471303,Alexander Edler,1485.13,272,10.9889,9.859,12.2189,204,8.2417,7.2479,9.3492,95,3.838,3.157,4.6547,571,23.0686,21.6058,24.5714,2.3667,18,10,8,
8476312,Josh Manson,4222.47,652,9.2647,8.6306,9.9386,508,7.2185,6.6511,7.829,450,6.3944,5.8579,6.9752,1610,22.8776,22.0079,23.7653,2.1721,19,35,-16,LOW_DANGER_MIX
8480336,Sean Walker,4394.1,757,10.3366,9.6841,11.0239,511,6.9775,6.429,7.5667,399,5.4482,4.9598,5.9798,1667,22.7623,21.9087,23.6297,2.2482,20,21,-1,
8480036,Miro Heiskanen,6471.85,1044,9.6788,9.153,10.2283,816,7.5651,7.0929,8.0635,586,5.4328,5.0276,5.8668,2446,22.6767,21.9719,23.3891,2.2198,21,26,-5,
8477447,Shea Theodore,5559.33,890,9.6055,9.0418,10.1985,646,6.9721,6.4828,7.4939,556,6.0007,5.5443,6.491,2092,22.5782,21.8208,23.3486,2.1773,22,32,-10,
8478970,Jalen Chatfield,4257.83,766,10.7942,10.119,11.5032,488,6.8767,6.3231,7.4715,348,4.9039,4.4323,5.4203,1602,22.5749,21.708,23.4534,2.2838,23,19,4,
