x_center,y_center,x_min,x_max,y_min,y_max,attempts,goals,conversion_rate,shots_faced,save_pct,zone_label
27.5,-37.5,25,30,-40,-35,921,4,0.00434,499,0.99198,Wide
27.5,-32.5,25,30,-35,-30,892,8,0.00897,498,0.98394,Wide
27.5,-27.5,25,30,-30,-25,768,9,0.01172,465,0.98065,Wide
27.5,-22.5,25,30,-25,-20,613,9,0.01468,349,0.97421,Wide
27.5,-17.5,25,30,-20,-15,535,12,0.02243,305,0.96066,Wide
27.5,-12.5,25,30,-15,-10,495,10,0.0202,293,0.96587,FNFI
27.5,-7.5,25,30,-10,-5,477,8,0.01677,283,0.97173,FNFI
27.5,-2.5,25,30,-5,0,566,8,0.01413,351,0.97721,FNFI
27.5,2.5,25,30,0,5,592,8,0.01351,369,0.97832,FNFI
27.5,7.5,25,30,5,10,452,7,0.01549,258,0.97287,FNFI
27.5,12.5,25,30,10,15,452,9,0.01991,264,0.96591,FNFI
27.5,17.5,25,30,15,20,514,7,0.01362,287,0.97561,Wide
27.5,22.5,25,30,20,25,539,10,0.01855,323,0.96904,Wide
27.5,27.5,25,30,25,30,649,4,0.00616,390,0.98974,Wide
27.5,32.5,25,30,30,35,855,6,0.00702,487,0.98768,Wide
27.5,37.5,25,30,35,40,1068,3,0.00281,621,0.99517,Wide
32.5,-37.5,30,35,-40,-35,1781,15,0.00842,997,0.98495,Wide
32.5,-32.5,30,35,-35,-30,2401,40,0.01666,1405,0.97153,Wide
32.5,-27.5,30,35,-30,-25,2081,25,0.01201,1223,0.97956,Wide
32.5,-22.5,30,35,-25,-20,1873,26,0.01388,1137,0.97713,Wide
32.5,-17.5,30,35,-20,-15,1631,38,0.0233,1014,0.96252,Wide
32.5,-12.5,30,35,-15,-10,1449,31,0.02139,889,0.96513,FNFI
32.5,-7.5,30,35,-10,-5,1356,26,0.01917,812,0.96798,FNFI
32.5,-2.5,30,35,-5,0,1620,39,0.02407,1028,0.96206,FNFI
32.5,2.5,30,35,0,5,1913,46,0.02405,1091,0.95784,FNFI
32.5,7.5,30,35,5,10,1440,28,0.01944,801,0.96504,FNFI
32.5,12.5,30,35,10,15,1437,30,0.02088,837,0.96416,FNFI
