zone,y_band_label,y_band_mid,attempts,goals,conversion_rate,ci_low,ci_high
CNFI,0-5,2.5,74064,7596,0.10256,0.1004,0.10477
CNFI,5-10,7.5,63763,4455,0.06987,0.06792,0.07187
CNFI,10-15,12.5,28696,1575,0.05489,0.05231,0.05758
CNFI,15-20,17.5,16300,696,0.0427,0.0397,0.04591
CNFI,20-25,22.5,10985,295,0.02685,0.02399,0.03005
CNFI,25-30,27.5,7364,131,0.01779,0.01501,0.02107
CNFI,30+,35.0,8245,97,0.01176,0.00965,0.01433
MNFI,0-5,2.5,41439,2637,0.06364,0.06133,0.06603
MNFI,5-10,7.5,36536,1883,0.05154,0.04932,0.05385
MNFI,10-15,12.5,37975,1973,0.05196,0.04977,0.05423
MNFI,15-20,17.5,35116,1646,0.04687,0.04471,0.04913
MNFI,20-25,22.5,28196,1040,0.03688,0.03475,0.03915
MNFI,25-30,27.5,19726,426,0.0216,0.01966,0.02372
MNFI,30+,35.0,27533,274,0.00995,0.00885,0.01119
FNFI,0-5,2.5,21777,601,0.0276,0.0255,0.02986
FNFI,5-10,7.5,19011,505,0.02656,0.02437,0.02895
FNFI,10-15,12.5,19683,462,0.02347,0.02145,0.02568
FNFI,15-20,17.5,22451,441,0.01964,0.01791,0.02154
FNFI,20-25,22.5,25664,414,0.01613,0.01466,0.01775
FNFI,25-30,27.5,25563,305,0.01193,0.01067,0.01334
FNFI,30+,35.0,48745,418,0.00858,0.00779,0.00943
