xb5,shots,goals,save_pct,save_pct_smooth,d_save,d2
25,2152,58,0.9730483271375465,0.9654495608216684,,
30,7426,313,0.9578507945057905,0.9629029733047435,-0.0025465875169249363,
35,8675,366,0.9578097982708934,0.9555478515896066,-0.007355121715136859,-0.004808534198211922
40,7630,374,0.9509829619921363,0.9475489537695884,-0.00799889782001828,-0.0006437761048814217
45,7937,525,0.9338541010457352,0.9315392795848555,-0.01600967418473287,-0.008010776364714589
50,9488,856,0.9097807757166948,0.9102443396995019,-0.02129493988535358,-0.0052852657006207115
55,11789,1331,0.887098142336076,0.880850523464357,-0.02939381623514492,-0.00809887634979134
60,13588,2097,0.8456726523403002,0.8542190876393893,-0.026631435824967742,0.0027623804101771787
65,16295,2772,0.8298864682417919,0.832048488522173,-0.022170599117216305,0.004460836707751437
70,20227,3629,0.8205863449844267,0.8245138439333471,-0.007534644588825801,0.014635954528390505
75,32815,5806,0.8230687185738229,0.8212515060540118,-0.0032623378793353863,0.004272306709490414
80,49872,8972,0.8200994546037856,0.8247637521588023,0.0035122461047905063,0.006774583984125893
85,19304,3260,0.8311230832987981,0.825611268951292,0.0008475167924897331,-0.002664729312300773
