id,metric,group,expected_sign,n,pearson_r,R2,p,R2_20212022,r_20212022,R2_20222023,r_20222023,R2_20232024,r_20232024,R2_20242025,r_20242025,R2_20252026,r_20252026
09,Forward CNFI+MNFI shots taken /gp,OFF,+,160,0.6168,0.3805,3.793241570858585e-18,0.6407,0.8,0.505,0.711,0.4513,0.672,0.5064,0.712,0.2027,0.45
01,Forward CNFI shots taken /gp,OFF,+,160,0.5906,0.3488,2.037468914855389e-16,0.4037,0.635,0.4132,0.643,0.4111,0.641,0.4167,0.646,0.1057,0.325
02,Forward MNFI shots taken /gp,OFF,+,160,0.4308,0.1856,1.2935915300952616e-08,0.5657,0.752,0.3838,0.62,0.3418,0.585,0.4611,0.679,0.2095,0.458
11,Forward on-ice CNFI+MNFI SA /60,DEF,-,160,-0.2755,0.0759,0.00042119024352285254,0.0087,-0.093,0.2457,-0.496,0.0643,-0.253,0.0561,-0.237,0.109,-0.33
12,D on-ice CNFI+MNFI SA /60,DEF,-,160,-0.2754,0.0758,0.00042452815914623766,0.0165,-0.129,0.2315,-0.481,0.0181,-0.134,0.1025,-0.32,0.1559,-0.395
06,Forward on-ice MNFI SA /60 (team avg),DEF,-,160,-0.2752,0.0757,0.00042891875056276795,0.0078,-0.088,0.1991,-0.446,0.0912,-0.302,0.1578,-0.397,0.1133,-0.337
08,D on-ice MNFI SA /60 (team avg),DEF,-,160,-0.261,0.0681,0.000856139027432692,0.0339,-0.184,0.1605,-0.401,0.0625,-0.25,0.108,-0.329,0.073,-0.27
05,Forward on-ice CNFI SA /60 (team avg),DEF,-,160,-0.2013,0.0405,0.010712538386110554,0.0044,-0.066,0.177,-0.421,0.0286,-0.169,0.0085,-0.092,0.0617,-0.248
07,D on-ice CNFI SA /60 (team avg),DEF,-,160,-0.2005,0.0402,0.011022495141462993,0.0008,-0.027,0.1603,-0.4,0.0,0.003,0.0588,-0.242,0.1398,-0.374
10,D CNFI+MNFI shots taken /gp,OFF,+,160,0.1334,0.0178,0.09252835873125258,0.0581,0.241,0.007,0.084,0.0194,0.139,0.0144,0.12,0.0338,0.184
03,D CNFI shots taken /gp,OFF,+,160,0.0968,0.0094,0.2231224576482538,0.0531,0.23,0.0032,0.057,0.0025,-0.05,0.0277,0.167,0.0834,0.289
04,D MNFI shots taken /gp,OFF,+,160,0.0946,0.0089,0.2341709678017624,0.03,0.173,0.0085,0.092,0.0589,0.243,0.0026,0.051,0.0005,0.022
