metric,R2,r,N
FF%_FA,0.6085662827621451,0.7801065842320171,32
TNFI%_ZA,0.5390199370789507,0.7341797716356333,32
TNFI%_FA,0.5341957925412735,0.7308869902668083,32
CF%_FA,0.520453212468066,0.7214244329575108,32
CF%_ZA,0.46672494031902595,0.683172701678738,32
FF%_ZA,0.4599075051712704,0.6781648067920293,32
FF_RF+FF_RA,0.02440164925662804,0.1562102725707501,32
FF_RF,0.015503498162791035,0.12451304414715365,32
FF_RA,0.012931260803950741,0.11371570165966853,32
CF_RA,0.007814398833102488,0.08839908841782526,32
CF_RF+CF_RA,0.00745298187368219,0.08633065431051817,32
TNFI_RA,0.00481836442500839,-0.06941443960018974,32
TNFI_RF,0.0021789847343262384,0.04667959655273638,32
TNFI_RF+TNFI_RA,0.00010607880249520009,-0.010299456417462044,32
CF_RF,3.701153133975875e-05,-0.0060837103267462325,32
