metric,R2_pooled,r_pooled,N_pooled,R2_2526,r_2526,N_2526
NFI% ZA empirical,0.5829743683435571,0.7635275819140767,126,0.5390199370789507,0.7341797716356333,32
NFI% raw,0.578466260651784,0.760569694802379,126,0.5329223992013727,0.7300153417575365,32
xG% (MP team 5v5),0.5377387568961548,0.7333067277041407,126,0.5697940122151871,0.7548470124569528,32
NFI% FA empirical,0.5015167021034267,0.7081784394511221,126,0.534195792541273,0.7308869902668079,32
FF% ZA empirical,0.4287664131732958,0.654802575722863,126,0.4599075051712701,0.6781648067920291,32
FF% ZA traditional,0.4178135607940753,0.646384994251936,126,0.43468543242217156,0.6593067817201425,32
FF% raw,0.41318838918501033,0.6427973157885853,126,0.42452286115450444,0.6515541889624411,32
FF% FA empirical,0.4080732997442965,0.638806151930534,126,0.6085662827621456,0.7801065842320174,32
CF% ZA empirical,0.3984922224368366,0.6312624037885011,126,0.46672494031902595,0.683172701678738,32
CF% ZA traditional,0.39844229727602415,0.6312228586450463,126,0.4651870935920376,0.6820462547305993,32
CF% raw,0.3970134679050322,0.6300900474575298,126,0.45075134992891935,0.6713801828538875,32
FF% FA traditional,0.38357367057675384,0.619333246787829,126,0.5508760874313674,0.742210271709687,32
CF% FA traditional,0.34360135413127907,0.5861751906480511,126,0.5180298068013686,0.71974287547802,32
CF% FA empirical,0.34321381298051534,0.5858445297009398,126,0.5204532124680664,0.7214244329575111,32
