goalie_id,goalie_name,name_norm,total_faced,toi_ES_min,NFI_GSAx_cumulative,NFI_GSAx_per60,NFI_rank,playerId,name,seasons,games,icetime_min,xGoals,goals,MP_GSAx,MP_GSAx_per60,MP_rank
8478048,Igor Shesterkin,igor shesterkin,3450.0,12730.53,78.65,0.371,1,8478048,Igor Shesterkin,5,278,13476.9,567.04,489.0,78.04,0.347,3
8478009,Ilya Sorokin,ilya sorokin,3274.0,13167.1,75.08,0.342,2,8478009,Ilya Sorokin,5,286,13938.7,598.49,506.0,92.49,0.398,2
8476883,Andrei Vasilevskiy,andrei vasilevskiy,3489.0,13453.37,55.42,0.247,3,8476883,Andrei Vasilevskiy,5,296,14365.1,585.74,525.0,60.74,0.254,5
8476945,Connor Hellebuyck,connor hellebuyck,3651.0,14440.48,53.42,0.222,4,8476945,Connor Hellebuyck,5,310,15109.6,634.24,540.0,94.24,0.374,1
8477967,Thatcher Demko,thatcher demko,2024.0,8665.12,38.27,0.265,5,8477967,Thatcher Demko,5,190,8980.4,370.01,331.0,39.01,0.261,7
8480280,Jeremy Swayman,jeremy swayman,2322.0,9948.78,34.92,0.211,6,8480280,Jeremy Swayman,5,235,10992.1,452.28,385.0,67.28,0.367,4
8481519,Spencer Knight,spencer knight,1506.0,6013.72,26.9,0.268,7,8481519,Spencer Knight,4,145,6845.8,293.66,278.0,15.66,0.137,24
8480313,Logan Thompson,logan thompson,2160.0,9027.03,26.3,0.175,8,8480313,Logan Thompson,5,203,9857.6,416.18,358.0,58.18,0.354,6
8475809,Scott Wedgewood,scott wedgewood,1509.0,6438.08,25.66,0.239,9,8475809,Scott Wedgewood,5,159,7391.5,293.21000000000004,270.0,23.21,0.188,17
8475683,Sergei Bobrovsky,sergei bobrovsky,3256.0,11734.05,25.21,0.129,10,8475683,Sergei Bobrovsky,5,268,12430.7,500.8,477.0,23.8,0.115,16
8476932,Anthony Stolarz,anthony stolarz,1329.0,5395.68,23.75,0.264,11,8476932,Anthony Stolarz,5,134,5844.5,245.94,217.0,28.94,0.297,12
8476316,Laurent Brossoit,laurent brossoit,609.0,2844.78,20.84,0.44,12,8476316,Laurent Brossoit,4,59,2779.2,107.71,88.0,19.71,0.426,20
8476999,Linus Ullmark,linus ullmark,2287.0,9855.05,16.93,0.103,13,8476999,Linus Ullmark,5,223,10429.1,403.25,370.0,33.25,0.191,9
8477424,Juuse Saros,juuse saros,3261.0,13779.47,15.97,0.07,14,8477424,Juuse Saros,5,312,14652.8,634.6899999999999,617.0,17.69,0.072,22
8482982,Jet Greaves,jet greaves,825.0,2706.45,15.78,0.35,15,8482982,Jet Greaves,4,76,3800.1,162.01999999999998,138.0,24.02,0.379,15
