goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8476316,Laurent Brossoit,609.0,69.0,2844.78,0.8707,0.8383,0.8974,1.0,20.84,12.0,0.44,1.0,11.0,0,89.84,62.61,-6.39,0,,,2,Small Sample,1.0
8480925,Pavel Francouz,468.0,55.0,1778.55,0.8583,0.8189,0.8903,3.0,12.44,20.0,0.42,2.0,18.0,0,67.44,46.96,-8.04,0,,,3,Insufficient Sample,
8478048,Igor Shesterkin,3450.0,423.0,12730.53,0.8559,0.8422,0.8686,5.0,78.65,1.0,0.371,3.0,-2.0,0,501.65,349.74,-73.26,1,1.0,1.0,1,Qualified,
8482982,Jet Greaves,825.0,96.0,2706.45,0.8557,0.825,0.8818,6.0,15.78,15.0,0.35,4.0,11.0,0,111.78,77.6,-18.4,0,,,2,Small Sample,2.0
8478009,Ilya Sorokin,3274.0,388.0,13167.1,0.8562,0.8419,0.8694,4.0,75.08,2.0,0.342,5.0,-3.0,0,463.08,322.17,-65.83,1,2.0,2.0,1,Qualified,
8475156,Mikko Koskinen,555.0,69.0,2215.38,0.8536,0.8177,0.8835,9.0,10.59,23.0,0.287,6.0,17.0,0,79.59,54.95,-14.05,0,,,2,Small Sample,3.0
8481519,Spencer Knight,1506.0,190.0,6013.72,0.8541,0.8328,0.8731,8.0,26.9,7.0,0.268,7.0,0.0,0,216.9,151.06,-38.94,1,3.0,7.0,1,Qualified,
8477967,Thatcher Demko,2024.0,251.0,8665.12,0.8546,0.8363,0.8712,7.0,38.27,5.0,0.265,8.0,-3.0,0,289.27,201.32,-49.68,1,4.0,5.0,1,Qualified,
8476932,Anthony Stolarz,1329.0,166.0,5395.68,0.8641,0.8418,0.8837,2.0,23.75,11.0,0.264,9.0,2.0,0,189.75,131.98,-34.02,1,5.0,11.0,1,Qualified,
8476883,Andrei Vasilevskiy,3489.0,435.0,13453.37,0.8514,0.8374,0.8644,11.0,55.42,3.0,0.247,10.0,-7.0,0,490.42,340.22,-94.78,1,6.0,3.0,1,Qualified,
8475809,Scott Wedgewood,1509.0,190.0,6438.08,0.8499,0.8282,0.8693,12.0,25.66,9.0,0.239,11.0,-2.0,0,215.66,150.47,-39.53,1,7.0,9.0,1,Qualified,
8470860,Jaroslav Halak,425.0,55.0,1888.05,0.8475,0.8055,0.8818,16.0,7.33,25.0,0.233,12.0,13.0,0,62.33,43.48,-11.52,0,,,3,Insufficient Sample,
8476945,Connor Hellebuyck,3651.0,457.0,14440.48,0.8437,0.8296,0.8568,18.0,53.42,4.0,0.222,13.0,-9.0,0,510.42,354.79,-102.21,1,8.0,4.0,1,Qualified,
8480280,Jeremy Swayman,2322.0,295.0,9948.78,0.8475,0.8301,0.8635,15.0,34.92,6.0,0.211,14.0,-8.0,0,329.92,229.51,-65.49,1,9.0,6.0,1,Qualified,
8483548,Brandon Bussi,348.0,47.0,1268.03,,,,,4.35,29.0,0.206,15.0,14.0,0,51.35,35.75,-11.25,0,,,3,Insufficient Sample,
8475215,Robin Lehner,497.0,67.0,2169.52,0.8495,0.8118,0.8808,13.0,6.96,26.0,0.192,16.0,10.0,0,73.96,51.45,-15.55,0,,,2,Small Sample,4.0
8477293,Antti Raanta,859.0,116.0,3567.47,0.8396,0.8104,0.8651,26.0,10.75,22.0,0.181,17.0,5.0,0,126.75,88.56,-27.44,0,,,2,Small Sample,5.0
8480313,Logan Thompson,2160.0,281.0,9027.03,0.8489,0.8309,0.8653,14.0,26.3,8.0,0.175,18.0,-10.0,0,307.3,213.86,-67.14,1,10.0,8.0,1,Qualified,
8473575,Semyon Varlamov,1094.0,143.0,4632.93,0.8522,0.8267,0.8746,10.0,12.6,19.0,0.163,19.0,0.0,0,155.6,108.1,-34.9,1,11.0,17.0,1,Qualified,
8469608,Mike Smith,480.0,64.0,1305.73,0.8466,0.806,0.8799,17.0,3.18,31.0,0.146,20.0,11.0,0,67.18,46.53,-17.47,0,,,3,Insufficient Sample,
8479193,Casey DeSmith,1634.0,215.0,6302.37,0.8409,0.8194,0.8602,24.0,15.1,16.0,0.144,21.0,-5.0,0,230.1,160.03,-54.97,1,12.0,14.0,1,Qualified,
8475683,Sergei Bobrovsky,3256.0,442.0,11734.05,0.8395,0.8247,0.8533,27.0,25.21,10.0,0.129,22.0,-12.0,0,467.21,325.51,-116.49,1,13.0,10.0,1,Qualified,
8476341,Anton Forsberg,1644.0,220.0,6943.58,0.8385,0.8172,0.8577,29.0,13.04,18.0,0.113,23.0,-5.0,0,233.04,161.94,-58.06,1,14.0,16.0,1,Qualified,
8476999,Linus Ullmark,2287.0,305.0,9855.05,0.8431,0.8253,0.8594,20.0,16.93,13.0,0.103,24.0,-11.0,0,321.93,223.58,-81.42,1,15.0,12.0,1,Qualified,
8482221,Devon Levi,408.0,59.0,1836.45,0.8309,0.7876,0.8669,42.0,2.81,33.0,0.092,25.0,8.0,0,61.81,43.19,-15.81,0,,,3,Insufficient Sample,
8475311,Darcy Kuemper,2603.0,355.0,10899.85,0.8423,0.8257,0.8577,22.0,14.26,17.0,0.078,26.0,-9.0,0,369.26,256.76,-98.24,1,16.0,15.0,1,Qualified,
8476899,Matt Murray,577.0,80.0,2314.03,0.8304,0.7931,0.8621,43.0,2.93,32.0,0.076,27.0,5.0,0,82.93,57.61,-22.39,0,,,2,Small Sample,6.0
8477831,Pheonix Copley,412.0,55.0,2197.48,0.8397,0.7949,0.8763,25.0,2.77,34.0,0.076,27.0,7.0,0,57.77,40.1,-14.9,0,,,2,Small Sample,6.0
