rank_gsax,rank_gsax_calibrated,goalie_id,goalie_name,faced_CNFI,faced_MNFI,faced_FNFI,total_faced,total_goals,xG,NFI_GSAx,xG_calibrated,NFI_GSAx_calibrated
56,1,8478048,Igor Shesterkin,1691.0,1043.0,716.0,3450.0,423.0,349.74,-73.26,501.65,78.65
50,2,8478009,Ilya Sorokin,1501.0,995.0,778.0,3274.0,388.0,322.17,-65.83,463.08,75.08
73,3,8476883,Andrei Vasilevskiy,1502.0,1156.0,831.0,3489.0,435.0,340.22,-94.78,490.42,55.42
81,4,8476945,Connor Hellebuyck,1626.0,1112.0,913.0,3651.0,457.0,354.79,-102.21,510.42,53.42
34,5,8477967,Thatcher Demko,944.0,624.0,456.0,2024.0,251.0,201.32,-49.68,289.27,38.27
48,6,8480280,Jeremy Swayman,1068.0,716.0,538.0,2322.0,295.0,229.51,-65.49,329.92,34.92
26,7,8481519,Spencer Knight,717.0,462.0,327.0,1506.0,190.0,151.06,-38.94,216.9,26.9
52,8,8480313,Logan Thompson,1002.0,659.0,499.0,2160.0,281.0,213.86,-67.14,307.3,26.3
28,9,8475809,Scott Wedgewood,738.0,421.0,350.0,1509.0,190.0,150.47,-39.53,215.66,25.66
87,10,8475683,Sergei Bobrovsky,1556.0,974.0,726.0,3256.0,442.0,325.51,-116.49,467.21,25.21
22,11,8476932,Anthony Stolarz,612.0,418.0,299.0,1329.0,166.0,131.98,-34.02,189.75,23.75
1,12,8476316,Laurent Brossoit,300.0,195.0,114.0,609.0,69.0,62.61,-6.39,89.84,20.84
63,13,8476999,Linus Ullmark,1008.0,732.0,547.0,2287.0,305.0,223.58,-81.42,321.93,16.93
91,14,8477424,Juuse Saros,1441.0,1088.0,732.0,3261.0,448.0,322.1,-125.9,463.97,15.97
10,15,8482982,Jet Greaves,348.0,241.0,236.0,825.0,96.0,77.6,-18.4,111.78,15.78
37,16,8479193,Casey DeSmith,741.0,497.0,396.0,1634.0,215.0,160.03,-54.97,230.1,15.1
76,17,8475311,Darcy Kuemper,1184.0,814.0,605.0,2603.0,355.0,256.76,-98.24,369.26,14.26
44,18,8476341,Anton Forsberg,738.0,525.0,381.0,1644.0,220.0,161.94,-58.06,233.04,13.04
24,19,8473575,Semyon Varlamov,490.0,356.0,248.0,1094.0,143.0,108.1,-34.9,155.6,12.6
2,20,8480925,Pavel Francouz,222.0,145.0,101.0,468.0,55.0,46.96,-8.04,67.44,12.44
83,21,8476412,Jordan Binnington,1265.0,883.0,559.0,2707.0,381.0,272.71,-108.29,392.07,11.07
19,22,8477293,Antti Raanta,445.0,247.0,167.0,859.0,116.0,88.56,-27.44,126.75,10.75
5,23,8475156,Mikko Koskinen,220.0,224.0,111.0,555.0,69.0,54.95,-14.05,79.59,10.59
51,24,8470594,Marc-Andre Fleury,715.0,572.0,470.0,1757.0,233.0,166.64,-66.36,240.56,7.56
4,25,8470860,Jaroslav Halak,212.0,129.0,84.0,425.0,55.0,43.48,-11.52,62.33,7.33
7,26,8475215,Robin Lehner,239.0,173.0,85.0,497.0,67.0,51.45,-15.55,73.96,6.96
92,27,8479979,Jake Oettinger,1459.0,953.0,790.0,3202.0,443.0,312.88,-130.12,449.7,6.7
45,28,8479394,Carter Hart,687.0,482.0,317.0,1486.0,208.0,148.8,-59.2,213.99,5.99
3,29,8483548,Brandon Bussi,168.0,116.0,64.0,348.0,47.0,35.75,-11.25,51.35,4.35
53,30,8478024,Ville Husso,730.0,539.0,359.0,1628.0,229.0,161.55,-67.45,232.59,3.59
9,31,8469608,Mike Smith,199.0,166.0,115.0,480.0,64.0,46.53,-17.47,67.18,3.18
14,32,8476899,Matt Murray,261.0,193.0,123.0,577.0,80.0,57.61,-22.39,82.93,2.93
8,33,8482221,Devon Levi,217.0,126.0,65.0,408.0,59.0,43.19,-15.81,61.81,2.81
6,34,8477831,Pheonix Copley,179.0,133.0,100.0,412.0,55.0,40.1,-14.9,57.77,2.77
16,35,8482487,Jakub Dobes,287.0,164.0,138.0,589.0,82.0,58.61,-23.39,84.01,2.01
77,36,8480382,Alexandar Georgiev,1106.0,681.0,493.0,2280.0,328.0,229.46,-98.54,329.19,1.19
39,37,8479312,Alex Lyon,628.0,407.0,280.0,1315.0,189.0,132.33,-56.67,190.01,1.01
31,38,8477480,Eric Comrie,445.0,293.0,229.0,967.0,136.0,95.26,-40.74,136.9,0.9
40,39,8478971,Connor Ingram,611.0,418.0,325.0,1354.0,190.0,132.72,-57.28,190.9,0.9
80,40,8477465,Tristan Jarry,1050.0,760.0,564.0,2374.0,334.0,232.45,-101.55,334.67,0.67
15,41,8477361,Cal Petersen,250.0,188.0,93.0,531.0,78.0,54.66,-23.34,78.64,0.64
20,42,8467950,Craig Anderson,322.0,223.0,124.0,669.0,98.0,68.62,-29.38,98.6,0.6
68,43,8477968,Alex Nedeljkovic,976.0,574.0,411.0,1961.0,285.0,198.98,-86.02,285.17,0.17
86,44,8478872,Karel Vejmelka,1208.0,859.0,590.0,2657.0,380.0,263.9,-116.1,379.68,-0.32
11,45,8470880,Brian Elliott,182.0,156.0,93.0,431.0,62.0,42.56,-19.44,61.45,-0.55
41,46,8479361,Joseph Woll,618.0,381.0,318.0,1317.0,187.0,129.7,-57.3,186.19,-0.81
89,47,8474593,Jacob Markstrom,1261.0,889.0,654.0,2804.0,398.0,275.99,-122.01,397.12,-0.88
67,48,8478406,Mackenzie Blackwood,873.0,625.0,416.0,1914.0,276.0,190.79,-85.21,274.5,-1.5
57,49,8478492,Ilya Samsonov,782.0,514.0,343.0,1639.0,239.0,165.31,-73.69,237.4,-1.6
90,50,8476434,John Gibson,1344.0,812.0,690.0,2846.0,404.0,280.34,-123.66,402.32,-1.68
72,51,8479406,Filip Gustavsson,957.0,665.0,554.0,2176.0,305.0,210.43,-94.57,302.86,-2.14
12,52,8482445,Devin Cooley,196.0,129.0,71.0,396.0,61.0,40.95,-20.05,58.76,-2.24
33,53,8480981,Joel Hofer,461.0,324.0,239.0,1024.0,148.0,100.79,-47.21,145.02,-2.98
21,54,8471306,Thomas Greiss,268.0,210.0,126.0,604.0,90.0,60.33,-29.67,86.93,-3.07
18,55,8482076,Nico Daws,230.0,154.0,92.0,476.0,73.0,48.6,-24.4,69.8,-3.2
61,56,8475883,Frederik Andersen,892.0,519.0,317.0,1728.0,260.0,179.32,-80.68,256.78,-3.22
59,57,8478499,Adin Hill,773.0,551.0,402.0,1726.0,248.0,169.83,-78.17,244.41,-3.59
