goalie_id,goalie_name,team,CNFI_saves,CNFI_rebound_attempts,CNFI_rebound_goals,CNFI_rebound_goal_rate,league_avg_rate,z_score,es_toi
8476932,Anthony Stolarz,TOR,522,82,4,0.4598,1.2843,-2.132,5395.68
8478009,Ilya Sorokin,NYI,1283,195,16,0.7482,1.2843,-1.402,13167.1
8476434,John Gibson,DET,1109,187,15,0.8115,1.2843,-1.242,10415.77
8479292,Charlie Lindgren,WSH,510,58,7,0.8235,1.2843,-1.211,6244.42
8479361,Joseph Woll,TOR,509,73,7,0.8251,1.2843,-1.207,4973.97
8478971,Connor Ingram,EDM,508,66,7,0.8268,1.2843,-1.203,5910.75
8480045,Ukko-Pekka Luukkonen,BUF,696,99,10,0.8621,1.2843,-1.114,8424.15
8480843,Lukas Dostal,ANA,692,91,10,0.8671,1.2843,-1.101,6885.13
8475683,Sergei Bobrovsky,FLA,1284,226,20,0.9346,1.2843,-0.93,11734.05
8478470,Samuel Montembeault,MTL,871,164,14,0.9644,1.2843,-0.855,8888.18
8479193,Casey DeSmith,DAL,608,109,10,0.9868,1.2843,-0.798,6302.37
8480280,Jeremy Swayman,BOS,902,162,15,0.9978,1.2843,-0.77,9948.78
8471734,Jonathan Quick,NYR,699,137,12,1.03,1.2843,-0.688,7110.38
8481519,Spencer Knight,CHI,614,103,11,1.0749,1.2843,-0.575,6013.72
8476883,Andrei Vasilevskiy,TBL,1278,201,23,1.0798,1.2843,-0.562,13453.37
8475311,Darcy Kuemper,LAK,983,149,18,1.0987,1.2843,-0.515,10899.85
8477424,Juuse Saros,NSH,1183,192,22,1.1158,1.2843,-0.471,13779.47
8476914,Joonas Korpisalo,BOS,733,160,14,1.146,1.2843,-0.395,7366.43
8480313,Logan Thompson,WSH,837,142,16,1.147,1.2843,-0.392,9027.03
8478916,Joey Daccord,SEA,523,111,10,1.1472,1.2843,-0.392,6948.28
8479406,Filip Gustavsson,MIN,773,99,15,1.1643,1.2843,-0.349,9183.93
8475831,Philipp Grubauer,SEA,719,126,14,1.1683,1.2843,-0.338,8122.48
8479979,Jake Oettinger,DAL,1173,177,23,1.1765,1.2843,-0.318,12246.8
8476999,Linus Ullmark,OTT,840,120,17,1.2143,1.2843,-0.222,9855.05
8478499,Adin Hill,VGK,635,117,13,1.2283,1.2843,-0.186,7539.1
8474596,Jake Allen,NJD,763,163,16,1.2582,1.2843,-0.111,7732.52
8476945,Connor Hellebuyck,WPG,1343,290,29,1.2956,1.2843,-0.016,14440.48
8474593,Jacob Markstrom,NJD,1057,153,23,1.3056,1.2843,0.009,11868.72
8475883,Frederik Andersen,CAR,734,132,16,1.3079,1.2843,0.015,6883.77
8476412,Jordan Binnington,STL,1039,205,23,1.3282,1.2843,0.066,11375.8
8478406,Mackenzie Blackwood,COL,696,131,16,1.3793,1.2843,0.196,8132.45
8475809,Scott Wedgewood,COL,607,103,14,1.3839,1.2843,0.207,6438.08
8478007,Elvis Merzlikins,CBJ,903,135,21,1.3953,1.2843,0.236,9484.8
8475852,Petr Mrazek,CHI,686,107,16,1.3994,1.2843,0.247,7370.63
8477968,Alex Nedeljkovic,SJS,794,124,19,1.4358,1.2843,0.339,8239.33
8475660,Cam Talbot,DET,738,118,18,1.4634,1.2843,0.409,9520.07
8476341,Anton Forsberg,LAK,611,112,15,1.473,1.2843,0.433,6943.58
8480382,Alexandar Georgiev,SJS,893,140,22,1.4782,1.2843,0.446,9754.73
8478048,Igor Shesterkin,NYR,1443,272,36,1.4969,1.2843,0.493,12730.53
8479312,Alex Lyon,BUF,510,99,13,1.5294,1.2843,0.576,5262.45
8479973,Stuart Skinner,PIT,957,148,25,1.5674,1.2843,0.672,9762.42
8477970,Vitek Vanecek,SJS,609,89,16,1.5764,1.2843,0.695,7689.17
8477967,Thatcher Demko,VAN,793,150,21,1.5889,1.2843,0.726,8665.12
8478024,Ville Husso,,613,110,17,1.6639,1.2843,0.916,6631.35
8478872,Karel Vejmelka,UTA,973,143,28,1.7266,1.2843,1.075,10794.22
8480947,Kevin Lankinen,VAN,649,107,20,1.849,1.2843,1.385,7123.25
8470594,Marc-Andre Fleury,MIN,578,122,18,1.8685,1.2843,1.434,7813.33
8479394,Carter Hart,,558,86,18,1.9355,1.2843,1.604,6780.52
8478492,Ilya Samsonov,VGK,642,123,21,1.9626,1.2843,1.672,7428.55
8477465,Tristan Jarry,EDM,847,164,31,2.196,1.2843,2.263,9855.93
8473503,James Reimer,BUF,546,91,24,2.6374,1.2843,3.38,7008.38
