goalie_id,zone,shot_type,attempts,goals,save_pct,goalie_name,L_save_pct,L_att,L_goals,z_vs_league,delta_sv_pct,signif
8478499,CNFI,tip-in,216,39,0.8194,Adin Hill,0.827,14699,2543,-0.29,-0.76,False
8478499,CNFI,wrist,369,66,0.8211,Adin Hill,0.8052,27362,5329,0.77,1.59,False
8478499,MNFI,wrist,386,68,0.8238,Adin Hill,0.8542,24932,3636,-1.69,-3.03,False
8479312,CNFI,wrist,281,50,0.8221,Alex Lyon,0.8052,27362,5329,0.71,1.68,False
8479312,MNFI,wrist,235,34,0.8553,Alex Lyon,0.8542,24932,3636,0.05,0.12,False
8477968,CNFI,backhand,220,42,0.8091,Alex Nedeljkovic,0.8322,13408,2250,-0.92,-2.31,False
8477968,CNFI,tip-in,223,33,0.852,Alex Nedeljkovic,0.827,14699,2543,0.99,2.5,False
8477968,CNFI,wrist,506,93,0.8162,Alex Nedeljkovic,0.8052,27362,5329,0.62,1.1,False
8477968,MNFI,wrist,400,61,0.8475,Alex Nedeljkovic,0.8542,24932,3636,-0.38,-0.67,False
8480382,CNFI,backhand,274,47,0.8285,Alexandar Georgiev,0.8322,13408,2250,-0.16,-0.37,False
8480382,CNFI,tip-in,295,56,0.8102,Alexandar Georgiev,0.827,14699,2543,-0.76,-1.68,False
8480382,CNFI,wrist,601,130,0.7837,Alexandar Georgiev,0.8052,27362,5329,-1.33,-2.15,False
8480382,MNFI,wrist,474,61,0.8713,Alexandar Georgiev,0.8542,24932,3636,1.06,1.71,False
8476883,CNFI,backhand,337,44,0.8694,Andrei Vasilevskiy,0.8322,13408,2250,1.83,3.72,False
8476883,CNFI,tip-in,402,66,0.8358,Andrei Vasilevskiy,0.827,14699,2543,0.47,0.88,False
8476883,CNFI,wrist,789,119,0.8492,Andrei Vasilevskiy,0.8052,27362,5329,3.12,4.39,True
8476883,MNFI,snap,343,63,0.8163,Andrei Vasilevskiy,0.8073,11549,2226,0.43,0.91,False
8476883,MNFI,wrist,819,119,0.8547,Andrei Vasilevskiy,0.8542,24932,3636,0.04,0.05,False
