rank_spatial,goalie_id,goalie_name,faced,goals,spatial_save_pct,sv_lo,sv_hi
1,8476316,Laurent Brossoit,495,64,0.8707,0.8383,0.8974
2,8476932,Anthony Stolarz,1030,140,0.8641,0.8418,0.8837
3,8480925,Pavel Francouz,367,52,0.8583,0.8189,0.8903
4,8478009,Ilya Sorokin,2496,359,0.8562,0.8419,0.8694
5,8478048,Igor Shesterkin,2734,394,0.8559,0.8422,0.8686
6,8482982,Jet Greaves,589,85,0.8557,0.825,0.8818
7,8477967,Thatcher Demko,1568,228,0.8546,0.8363,0.8712
8,8481519,Spencer Knight,1179,172,0.8541,0.8328,0.8731
9,8475156,Mikko Koskinen,444,65,0.8536,0.8177,0.8835
10,8473575,Semyon Varlamov,846,125,0.8522,0.8267,0.8746
11,8476883,Andrei Vasilevskiy,2658,395,0.8514,0.8374,0.8644
12,8475809,Scott Wedgewood,1159,174,0.8499,0.8282,0.8693
13,8475215,Robin Lehner,412,62,0.8495,0.8118,0.8808
14,8480313,Logan Thompson,1661,251,0.8489,0.8309,0.8653
15,8480280,Jeremy Swayman,1784,272,0.8475,0.8301,0.8635
16,8470860,Jaroslav Halak,341,52,0.8475,0.8055,0.8818
17,8469608,Mike Smith,365,56,0.8466,0.806,0.8799
18,8476945,Connor Hellebuyck,2738,428,0.8437,0.8296,0.8568
19,8482445,Devin Cooley,325,51,0.8431,0.7996,0.8786
20,8476999,Linus Ullmark,1740,273,0.8431,0.8253,0.8594
21,8478024,Ville Husso,1269,200,0.8424,0.8213,0.8614
22,8475311,Darcy Kuemper,1998,315,0.8423,0.8257,0.8577
23,8477480,Eric Comrie,738,117,0.8415,0.8134,0.866
24,8479193,Casey DeSmith,1238,197,0.8409,0.8194,0.8602
25,8477831,Pheonix Copley,312,50,0.8397,0.7949,0.8763
26,8477293,Antti Raanta,692,111,0.8396,0.8104,0.8651
27,8475683,Sergei Bobrovsky,2530,406,0.8395,0.8247,0.8533
28,8479394,Carter Hart,1169,188,0.8392,0.817,0.8591
29,8476341,Anton Forsberg,1263,204,0.8385,0.8172,0.8577
30,8477424,Juuse Saros,2529,410,0.8379,0.823,0.8517
31,8470594,Marc-Andre Fleury,1287,210,0.8368,0.8156,0.856
32,8482487,Jakub Dobes,451,74,0.8359,0.7989,0.8672
33,8478971,Connor Ingram,1029,170,0.8348,0.8109,0.8562
34,8476412,Jordan Binnington,2148,356,0.8343,0.8179,0.8494
35,8470880,Brian Elliott,338,56,0.8343,0.791,0.8702
36,8474593,Jacob Markstrom,2150,357,0.834,0.8176,0.8491
37,8477361,Cal Petersen,438,73,0.8333,0.7956,0.8653
38,8467950,Craig Anderson,545,91,0.833,0.7994,0.862
39,8479361,Joseph Woll,999,167,0.8328,0.8084,0.8547
