goalie_id,goalie_name,str_zone,str_shot_type,str_attempts,str_goals,str_save_pct,str_L_save_pct,str_delta_sv_pct,str_z_vs_league,str_signif,weak_zone,weak_shot_type,weak_attempts,weak_goals,weak_save_pct,weak_L_save_pct,weak_delta_sv_pct,weak_z_vs_league,weak_signif
8470594,Marc-Andre Fleury,MNFI,wrist,424,55,0.8703,0.8542,1.61,0.94,False,CNFI,wrist,387,76,0.8036,0.8052,-0.16,-0.08,False
8471734,Jonathan Quick,MNFI,wrist,327,48,0.8532,0.8542,-0.1,-0.05,False,MNFI,snap,200,41,0.795,0.8073,-1.23,-0.44,False
8473503,James Reimer,CNFI,tip-in,208,37,0.8221,0.827,-0.49,-0.19,False,CNFI,wrist,363,77,0.7879,0.8052,-1.74,-0.84,False
8473575,Semyon Varlamov,CNFI,wrist,218,38,0.8257,0.8052,2.04,0.76,False,MNFI,wrist,270,35,0.8704,0.8542,1.62,0.75,False
8474593,Jacob Markstrom,MNFI,snap,237,37,0.8439,0.8073,3.66,1.43,False,MNFI,wrist,660,114,0.8273,0.8542,-2.69,-1.96,False
8474596,Jake Allen,MNFI,wrist,442,52,0.8824,0.8542,2.82,1.68,False,CNFI,wrist,514,109,0.7879,0.8052,-1.73,-0.99,False
8474889,Martin Jones,MNFI,wrist,238,32,0.8655,0.8542,1.14,0.5,False,CNFI,wrist,256,53,0.793,0.8052,-1.23,-0.5,False
8475311,Darcy Kuemper,CNFI,wrist,625,105,0.832,0.8052,2.68,1.69,False,CNFI,backhand,289,54,0.8131,0.8322,-1.9,-0.87,False
8475660,Cam Talbot,CNFI,wrist,492,100,0.7967,0.8052,-0.85,-0.48,False,CNFI,tip-in,211,48,0.7725,0.827,-5.45,-2.09,True
8475683,Sergei Bobrovsky,MNFI,wrist,642,83,0.8707,0.8542,1.66,1.19,False,CNFI,backhand,378,88,0.7672,0.8322,-6.5,-3.38,True
8475789,Jack Campbell,MNFI,wrist,241,27,0.888,0.8542,3.38,1.49,False,CNFI,wrist,226,56,0.7522,0.8052,-5.3,-2.01,True
8475809,Scott Wedgewood,MNFI,wrist,282,30,0.8936,0.8542,3.95,1.88,False,CNFI,wrist,332,66,0.8012,0.8052,-0.4,-0.19,False
8475831,Philipp Grubauer,CNFI,tip-in,213,36,0.831,0.827,0.4,0.15,False,CNFI,wrist,452,111,0.7544,0.8052,-5.08,-2.73,True
8475852,Petr Mrazek,MNFI,wrist,362,58,0.8398,0.8542,-1.44,-0.78,False,CNFI,tip-in,233,50,0.7854,0.827,-4.16,-1.68,False
8475883,Frederik Andersen,MNFI,wrist,303,40,0.868,0.8542,1.38,0.68,False,CNFI,tip-in,208,36,0.8269,0.827,-0.01,-0.0,False
8476341,Anton Forsberg,MNFI,wrist,373,42,0.8874,0.8542,3.32,1.82,False,CNFI,backhand,207,34,0.8357,0.8322,0.36,0.14,False
8476412,Jordan Binnington,MNFI,wrist,600,87,0.855,0.8542,0.08,0.06,False,CNFI,backhand,289,62,0.7855,0.8322,-4.67,-2.13,True
8476434,John Gibson,CNFI,backhand,299,39,0.8696,0.8322,3.74,1.73,False,MNFI,snap,261,64,0.7548,0.8073,-5.25,-2.15,True
8476883,Andrei Vasilevskiy,CNFI,wrist,789,119,0.8492,0.8052,4.39,3.12,True,MNFI,wrist,819,119,0.8547,0.8542,0.05,0.04,False
8476914,Joonas Korpisalo,CNFI,wrist,478,86,0.8201,0.8052,1.48,0.82,False,MNFI,wrist,346,57,0.8353,0.8542,-1.89,-1.0,False
8476932,Anthony Stolarz,MNFI,wrist,282,35,0.8759,0.8542,2.17,1.03,False,CNFI,wrist,279,58,0.7921,0.8052,-1.31,-0.55,False
8476945,Connor Hellebuyck,CNFI,backhand,376,53,0.859,0.8322,2.69,1.39,False,CNFI,tip-in,450,87,0.8067,0.827,-2.03,-1.14,False
8476999,Linus Ullmark,CNFI,backhand,280,39,0.8607,0.8322,2.85,1.28,False,MNFI,wrist,516,71,0.8624,0.8542,0.82,0.53,False
8477424,Juuse Saros,MNFI,snap,338,48,0.858,0.8073,5.07,2.36,True,CNFI,wrist,774,162,0.7907,0.8052,-1.45,-1.02,False
8477465,Tristan Jarry,MNFI,wrist,538,60,0.8885,0.8542,3.43,2.25,True,CNFI,wrist,591,138,0.7665,0.8052,-3.87,-2.38,True
8477967,Thatcher Demko,CNFI,tip-in,223,30,0.8655,0.827,3.85,1.52,False,CNFI,wrist,498,93,0.8133,0.8052,0.8,0.45,False
8477968,Alex Nedeljkovic,CNFI,tip-in,223,33,0.852,0.827,2.5,0.99,False,CNFI,backhand,220,42,0.8091,0.8322,-2.31,-0.92,False
8477970,Vitek Vanecek,MNFI,wrist,342,60,0.8246,0.8542,-2.96,-1.55,False,CNFI,backhand,200,45,0.775,0.8322,-5.72,-2.16,True
