rank,metric,R,p,var_explained,n,type
1,MULTIVARIATE (all 7 pillars),0.8364072433907406,0.0,0.6995770767964976,160,multivariate
2,TNFI_zone_adj_pct,0.7453,0.0,0.5555,160,univariate
3,TNFI_pct,0.7453,0.0,0.5555,160,univariate
4,HD_CF_pct,0.7169,0.0,0.5139,160,univariate
5,MNFI_pct,0.7156,0.0,0.5121,160,univariate
6,CNFI_pct,0.6834,0.0,0.467,160,univariate
7,P1_NF_F,0.6672,0.0,0.4451,160,univariate
8,CF_pct,0.6522,0.0,0.4254,160,univariate
9,CF_zone_adj_pct,0.6522,0.0,0.4254,160,univariate
10,P5_OffD,0.6079,0.0,0.3696,160,univariate
11,P3_OffF,0.5329,0.0,0.284,160,univariate
12,FNFI_pct,0.4877,0.0,0.2378,160,univariate
13,TNFI_score_adj_pct,0.4603,0.0,0.2118,160,univariate
14,TNFI_score_zone_adj_pct,0.4603,0.0,0.2118,160,univariate
15,HD_CF_score_zone_adj_pct,0.4107,0.0,0.1687,160,univariate
16,HD_CF_score_adj_pct,0.4107,0.0,0.1687,160,univariate
17,P6_SvPct,0.3463,7e-06,0.1199,160,univariate
18,P4_DefD,0.3063,8.2e-05,0.0938,160,univariate
19,CF_score_adj_pct,-0.2631,0.000775,0.0692,160,univariate
20,CF_score_zone_adj_pct,-0.2631,0.000775,0.0692,160,univariate
21,P7_SvPct,0.2608,0.000867,0.068,160,univariate
22,P2_DefF,-0.0839,0.291243,0.007,160,univariate
