metric,R,p,var_explained,n
TNFI_pct,0.7453,0.0,0.5555,160
TNFI_zone_adj_pct,0.7453,0.0,0.5555,160
HD_CF_pct,0.7169,0.0,0.5139,160
MNFI_pct,0.7156,0.0,0.5121,160
CNFI_pct,0.6834,0.0,0.467,160
P1_NF_F,0.6672,0.0,0.4451,160
CF_pct,0.6522,0.0,0.4254,160
CF_zone_adj_pct,0.6522,0.0,0.4254,160
P5_OffD,0.6079,0.0,0.3696,160
P3_OffF,0.5329,0.0,0.284,160
FNFI_pct,0.4877,0.0,0.2378,160
TNFI_score_zone_adj_pct,0.4603,0.0,0.2118,160
TNFI_score_adj_pct,0.4603,0.0,0.2118,160
HD_CF_score_zone_adj_pct,0.4107,0.0,0.1687,160
HD_CF_score_adj_pct,0.4107,0.0,0.1687,160
P6_SvPct,0.3463,7e-06,0.1199,160
P4_DefD,0.3063,8.2e-05,0.0938,160
CF_score_adj_pct,-0.2631,0.000775,0.0692,160
CF_score_zone_adj_pct,-0.2631,0.000775,0.0692,160
P7_SvPct,0.2608,0.000867,0.068,160
P2_DefF,-0.0839,0.291243,0.007,160
