player_id,position,state,zone,attempts,goals,toi_min,per60,per60_lo,per60_hi
8474564,F,ES,CNFI,228,36,5583.73,2.45,2.157,2.781
8474564,F,PP,CNFI,20,2,791.52,1.516,0.984,2.321
8474564,F,PK,CNFI,0,0,373.72,0.0,0.0,0.61
8476934,F,ES,CNFI,76,10,2119.25,2.152,1.725,2.68
8476934,F,PP,CNFI,0,0,263.95,0.0,0.0,0.861
8476934,F,PK,CNFI,8,1,134.97,3.556,1.82,6.755
8478046,F,ES,CNFI,158,27,3569.52,2.656,2.279,3.091
8478046,F,PP,CNFI,5,1,321.57,0.933,0.399,2.15
8478046,F,PK,CNFI,4,1,184.18,1.303,0.509,3.273
8476292,F,ES,CNFI,165,20,4118.95,2.404,2.069,2.789
8476292,F,PP,CNFI,22,2,410.12,3.219,2.142,4.794
8476292,F,PK,CNFI,0,0,228.55,0.0,0.0,0.99
8478542,F,ES,CNFI,183,18,4701.32,2.336,2.026,2.691
8478542,F,PP,CNFI,48,4,566.62,5.083,3.867,6.627
8478542,F,PK,CNFI,1,0,293.47,0.204,0.036,1.145
8478866,F,ES,CNFI,30,1,683.15,2.635,1.856,3.721
8478866,F,PP,CNFI,1,0,41.42,1.449,0.259,7.557
8478866,F,PK,CNFI,0,0,17.28,0.0,0.0,11.059
8475810,F,ES,CNFI,301,39,4903.7,3.683,3.3,4.107
8475810,F,PP,CNFI,97,11,701.03,8.302,6.887,9.955
8475810,F,PK,CNFI,11,1,394.97,1.671,0.937,2.95
8482055,F,ES,CNFI,220,18,3339.45,3.953,3.478,4.489
8482055,F,PP,CNFI,10,1,300.65,1.996,1.089,3.604
8482055,F,PK,CNFI,7,0,156.73,2.68,1.306,5.35
8470619,F,ES,CNFI,31,5,582.78,3.192,2.263,4.469
8470619,F,PP,CNFI,1,0,91.27,0.657,0.117,3.579
8470619,F,PK,CNFI,1,0,48.98,1.225,0.217,6.416
8477953,F,ES,CNFI,94,19,3717.83,1.517,1.242,1.85
8477953,F,PP,CNFI,12,2,355.07,2.028,1.166,3.489
8477953,F,PK,CNFI,2,0,208.63,0.575,0.158,2.053
8478519,F,ES,CNFI,237,34,4938.23,2.88,2.543,3.259
8478519,F,PP,CNFI,34,6,674.53,3.024,2.176,4.174
8478519,F,PK,CNFI,22,6,373.57,3.534,2.35,5.247
8470604,F,ES,CNFI,109,13,2652.8,2.465,2.05,2.96
8470604,F,PP,CNFI,50,8,415.27,7.224,5.556,9.32
8470604,F,PK,CNFI,6,1,252.25,1.427,0.657,3.058
8476927,F,ES,CNFI,149,14,3675.75,2.432,2.077,2.844
8476927,F,PP,CNFI,5,0,409.93,0.732,0.313,1.694
8476927,F,PK,CNFI,14,3,236.42,3.553,2.14,5.826
8479525,F,ES,CNFI,236,33,3897.28,3.633,3.21,4.109
8479525,F,PP,CNFI,41,4,398.42,6.174,4.611,8.206
8479525,F,PK,CNFI,0,0,208.18,0.0,0.0,1.088
8470621,F,ES,CNFI,216,23,3650.4,3.55,3.119,4.038
8470621,F,PP,CNFI,98,18,397.38,14.797,12.42,17.494
8470621,F,PK,CNFI,0,0,217.65,0.0,0.0,1.039
8475722,F,ES,CNFI,242,33,3857.55,3.764,3.33,4.249
8475722,F,PP,CNFI,76,15,408.25,11.17,9.089,13.615
8475722,F,PK,CNFI,0,0,229.02,0.0,0.0,0.99
8478043,F,ES,CNFI,122,17,2998.37,2.441,2.051,2.902
8478043,F,PP,CNFI,3,0,292.77,0.615,0.209,1.78
8478043,F,PK,CNFI,6,2,153.28,2.349,1.086,4.975
8477930,F,ES,CNFI,50,7,1910.8,1.57,1.194,2.06
8477930,F,PP,CNFI,0,0,266.1,0.0,0.0,0.854
8477930,F,PK,CNFI,4,2,130.83,1.834,0.716,4.553
8476453,F,ES,CNFI,177,34,5683.82,1.868,1.616,2.159
8476453,F,PP,CNFI,27,5,793.8,2.041,1.408,2.941
8476453,F,PK,CNFI,1,1,389.73,0.154,0.027,0.863
8478010,F,ES,CNFI,320,57,5565.82,3.45,3.101,3.835
8478010,F,PP,CNFI,144,31,757.18,11.411,9.831,13.183
8478010,F,PK,CNFI,1,0,375.35,0.16,0.028,0.897
8473986,F,ES,CNFI,183,31,5008.28,2.192,1.901,2.526
8473986,F,PP,CNFI,79,10,835.78,5.671,4.589,6.973
8473986,F,PK,CNFI,15,2,419.32,2.146,1.309,3.493
8478472,F,ES,CNFI,133,11,3379.75,2.361,1.998,2.787
8478472,F,PP,CNFI,2,1,414.75,0.289,0.079,1.044
8478472,F,PK,CNFI,19,1,206.77,5.513,3.573,8.334
8475768,F,ES,CNFI,154,18,4015.72,2.301,1.97,2.684
8475768,F,PP,CNFI,108,18,428.67,15.117,12.78,17.694
8475768,F,PK,CNFI,1,0,226.52,0.265,0.047,1.472
8474586,F,ES,CNFI,196,26,4814.13,2.443,2.129,2.8
8474586,F,PP,CNFI,90,10,540.32,9.994,8.257,12.026
8474586,F,PK,CNFI,0,0,277.4,0.0,0.0,0.821
8479987,F,ES,CNFI,171,31,4219.03,2.432,2.099,2.815
8479987,F,PP,CNFI,22,3,435.92,3.028,2.013,4.513
8479987,F,PK,CNFI,1,0,222.9,0.269,0.048,1.498
8477505,F,ES,CNFI,122,17,5444.65,1.344,1.128,1.601
8477505,F,PP,CNFI,83,12,819.33,6.078,4.95,7.434
8477505,F,PK,CNFI,5,0,429.12,0.699,0.299,1.619
8474157,F,ES,CNFI,73,8,1642.27,2.667,2.13,3.332
8474157,F,PP,CNFI,19,2,179.12,6.365,4.141,9.59
8474157,F,PK,CNFI,0,0,85.85,0.0,0.0,2.566
8476539,F,ES,CNFI,191,40,5216.33,2.197,1.911,2.524
8476539,F,PP,CNFI,68,8,599.27,6.808,5.433,8.486
8476539,F,PK,CNFI,0,0,277.58,0.0,0.0,0.818
8475149,F,ES,CNFI,125,13,4596.98,1.632,1.372,1.938
8475149,F,PP,CNFI,53,8,585.0,5.436,4.196,6.996
8475149,F,PK,CNFI,0,0,273.53,0.0,0.0,0.83
8475191,F,ES,CNFI,185,25,4404.93,2.52,2.188,2.9
8475191,F,PP,CNFI,44,7,514.08,5.135,3.863,6.778
8475191,F,PK,CNFI,12,2,312.27,2.306,1.328,3.961
8479293,F,ES,CNFI,155,19,3178.82,2.926,2.508,3.408
8479293,F,PP,CNFI,3,2,419.2,0.429,0.146,1.25
8479293,F,PK,CNFI,12,1,210.87,3.414,1.97,5.806
8477955,F,ES,CNFI,146,30,4622.0,1.895,1.615,2.222
8477955,F,PP,CNFI,31,3,687.85,2.704,1.915,3.795
8477955,F,PK,CNFI,8,0,347.62,1.381,0.702,2.682
8476448,F,ES,CNFI,158,15,3910.15,2.424,2.08,2.823
8476448,F,PP,CNFI,52,3,559.68,5.575,4.291,7.185
8476448,F,PK,CNFI,13,3,288.62,2.703,1.588,4.526
8481522,F,ES,CNFI,105,13,4106.82,1.534,1.27,1.851
8481522,F,PP,CNFI,9,1,382.0,1.414,0.747,2.65
8481522,F,PK,CNFI,3,2,177.28,1.015,0.347,2.918
8477987,F,ES,CNFI,216,33,4264.77,3.039,2.668,3.458
8477987,F,PP,CNFI,51,4,419.52,7.294,5.615,9.369
8477987,F,PK,CNFI,1,0,215.17,0.279,0.049,1.552
8474149,F,ES,CNFI,185,24,3630.35,3.058,2.656,3.516
8474149,F,PP,CNFI,31,6,320.57,5.802,4.132,8.029
8474149,F,PK,CNFI,0,0,170.45,0.0,0.0,1.326
8476905,F,ES,CNFI,122,20,5568.57,1.315,1.103,1.566
8476905,F,PP,CNFI,40,8,807.97,2.97,2.194,4.003
8476905,F,PK,CNFI,12,3,432.95,1.663,0.955,2.869
8478891,F,ES,CNFI,128,10,3916.43,1.961,1.654,2.324
