goalie_id,state,zone,faced,goals,save_pct,sv_lo,sv_hi
8470594,ES,FNFI,470,23,0.9511,0.9276,0.9672
8470594,ES,MNFI,572,73,0.8724,0.8425,0.8973
8471734,ES,FNFI,376,17,0.9548,0.9288,0.9716
8471734,ES,MNFI,523,89,0.8298,0.7952,0.8596
8473503,ES,FNFI,440,20,0.9545,0.9308,0.9704
8473503,ES,MNFI,547,102,0.8135,0.7787,0.8439
8473575,ES,MNFI,356,52,0.8539,0.8135,0.8868
8474593,ES,FNFI,654,41,0.9373,0.9161,0.9535
8474593,ES,MNFI,889,153,0.8279,0.8017,0.8513
8474596,ES,FNFI,429,17,0.9604,0.9375,0.9751
8474596,ES,MNFI,632,90,0.8576,0.8282,0.8827
8474889,ES,MNFI,351,56,0.8405,0.7985,0.875
8475311,ES,FNFI,605,40,0.9339,0.9112,0.9511
8475311,ES,MNFI,814,114,0.86,0.8344,0.8821
8475660,ES,FNFI,544,21,0.9614,0.9417,0.9746
8475660,ES,MNFI,626,94,0.8498,0.8197,0.8757
8475683,ES,FNFI,726,36,0.9504,0.9321,0.964
8475683,ES,MNFI,974,134,0.8624,0.8394,0.8826
8475789,ES,MNFI,349,44,0.8739,0.835,0.9047
8475809,ES,FNFI,350,16,0.9543,0.927,0.9717
8475809,ES,MNFI,421,43,0.8979,0.8652,0.9233
8475831,ES,FNFI,437,15,0.9657,0.9441,0.9791
8475831,ES,MNFI,577,112,0.8059,0.7716,0.8361
8475852,ES,FNFI,342,23,0.9327,0.9011,0.9548
8475852,ES,MNFI,526,76,0.8555,0.8229,0.883
8475883,ES,FNFI,317,17,0.9464,0.9158,0.9663
8475883,ES,MNFI,519,85,0.8362,0.8019,0.8656
8476341,ES,FNFI,381,16,0.958,0.9329,0.974
8476341,ES,MNFI,525,77,0.8533,0.8205,0.881
8476412,ES,FNFI,559,25,0.9553,0.9348,0.9695
8476412,ES,MNFI,883,130,0.8528,0.8279,0.8746
8476434,ES,FNFI,690,32,0.9536,0.9353,0.967
8476434,ES,MNFI,812,137,0.8313,0.804,0.8555
8476883,ES,FNFI,831,40,0.9519,0.9351,0.9645
8476883,ES,MNFI,1156,171,0.8521,0.8304,0.8714
8476914,ES,FNFI,405,29,0.9284,0.8991,0.9497
8476914,ES,MNFI,583,93,0.8405,0.8085,0.868
8476932,ES,MNFI,418,50,0.8804,0.8458,0.9081
8476945,ES,FNFI,913,29,0.9682,0.9548,0.9778
8476945,ES,MNFI,1112,145,0.8696,0.8485,0.8881
8476999,ES,FNFI,547,32,0.9415,0.9186,0.9583
8476999,ES,MNFI,732,105,0.8566,0.8293,0.8801
8477424,ES,FNFI,732,38,0.9481,0.9295,0.9619
8477424,ES,MNFI,1088,152,0.8603,0.8384,0.8796
8477465,ES,FNFI,564,18,0.9681,0.9501,0.9797
8477465,ES,MNFI,760,113,0.8513,0.8243,0.8748
8477967,ES,FNFI,456,23,0.9496,0.9255,0.9662
8477967,ES,MNFI,624,77,0.8766,0.8485,0.9001
8477968,ES,FNFI,411,19,0.9538,0.9289,0.9702
8477968,ES,MNFI,574,84,0.8537,0.8224,0.8802
8477970,ES,FNFI,367,20,0.9455,0.9173,0.9644
8477970,ES,MNFI,555,76,0.8631,0.832,0.8892
8478007,ES,FNFI,564,30,0.9468,0.9251,0.9625
8478007,ES,MNFI,725,123,0.8303,0.8013,0.8559
8478009,ES,FNFI,778,29,0.9627,0.947,0.9739
8478009,ES,MNFI,995,141,0.8583,0.8352,0.8786
8478024,ES,FNFI,359,29,0.9192,0.8864,0.9432
8478024,ES,MNFI,539,83,0.846,0.8131,0.874
8478039,ES,FNFI,303,18,0.9406,0.9081,0.9621
8478039,ES,MNFI,404,79,0.8045,0.763,0.8402
8478048,ES,FNFI,716,29,0.9595,0.9424,0.9717
8478048,ES,MNFI,1043,146,0.86,0.8376,0.8798
8478406,ES,FNFI,416,14,0.9663,0.9443,0.9798
8478406,ES,MNFI,625,85,0.864,0.8349,0.8887
8478435,ES,FNFI,343,30,0.9125,0.8779,0.938
8478435,ES,MNFI,470,83,0.8234,0.7863,0.8552
8478470,ES,FNFI,501,25,0.9501,0.9274,0.966
8478470,ES,MNFI,666,111,0.8333,0.8031,0.8597
8478492,ES,FNFI,343,15,0.9563,0.9291,0.9733
8478492,ES,MNFI,514,84,0.8366,0.8021,0.866
8478499,ES,FNFI,402,17,0.9577,0.9333,0.9734
8478499,ES,MNFI,551,93,0.8312,0.7977,0.8602
8478872,ES,FNFI,590,20,0.9661,0.9482,0.978
8478872,ES,MNFI,859,125,0.8545,0.8293,0.8765
8478916,ES,FNFI,364,16,0.956,0.9298,0.9728
8478916,ES,MNFI,465,54,0.8839,0.8516,0.9099
8478971,ES,FNFI,325,20,0.9385,0.9069,0.9598
8478971,ES,MNFI,418,67,0.8397,0.8015,0.8718
8479193,ES,FNFI,396,18,0.9545,0.9293,0.9711
8479193,ES,MNFI,497,64,0.8712,0.8389,0.8979
8479292,ES,FNFI,364,17,0.9533,0.9265,0.9706
8479292,ES,MNFI,431,67,0.8445,0.8073,0.8757
8479312,ES,MNFI,407,62,0.8477,0.8095,0.8793
8479361,ES,FNFI,318,20,0.9371,0.9049,0.9589
8479361,ES,MNFI,381,58,0.8478,0.8082,0.8804
8479394,ES,FNFI,317,20,0.9369,0.9046,0.9588
8479394,ES,MNFI,482,59,0.8776,0.8453,0.9039
8479406,ES,FNFI,554,27,0.9513,0.93,0.9663
8479406,ES,MNFI,665,94,0.8586,0.8301,0.8831
8479496,ES,MNFI,329,66,0.7994,0.7528,0.8391
8479973,ES,FNFI,569,38,0.9332,0.9097,0.951
8479973,ES,MNFI,857,132,0.846,0.8203,0.8686
8479979,ES,FNFI,790,25,0.9684,0.9537,0.9785
8479979,ES,MNFI,953,132,0.8615,0.8381,0.882
8480045,ES,FNFI,420,23,0.9452,0.9192,0.9632
8480045,ES,MNFI,609,98,0.8391,0.8078,0.8661
8480193,ES,MNFI,326,63,0.8067,0.7604,0.8459
8480280,ES,FNFI,538,23,0.9572,0.9367,0.9713
8480280,ES,MNFI,716,106,0.852,0.8241,0.8761
8480313,ES,FNFI,499,30,0.9399,0.9155,0.9576
8480313,ES,MNFI,659,86,0.8695,0.8416,0.8931
8480382,ES,FNFI,493,29,0.9412,0.9168,0.9587
8480382,ES,MNFI,681,86,0.8737,0.8467,0.8966
8480843,ES,FNFI,445,26,0.9416,0.9158,0.9598
8480843,ES,MNFI,525,72,0.8629,0.8308,0.8897
8480947,ES,FNFI,396,22,0.9444,0.9173,0.963
8480947,ES,MNFI,533,85,0.8405,0.807,0.8692
8480981,ES,MNFI,324,47,0.8549,0.8124,0.8891
8481035,ES,MNFI,346,79,0.7717,0.7246,0.8128
8481519,ES,FNFI,327,18,0.945,0.9147,0.9649
8481519,ES,MNFI,462,69,0.8506,0.8153,0.8803
8481611,ES,MNFI,365,62,0.8301,0.7882,0.8652
8481692,ES,MNFI,391,71,0.8184,0.7772,0.8535
8482821,ES,MNFI,394,67,0.8299,0.7897,0.8638
