goalie_id,state,zone,faced,goals,save_pct,sv_lo,sv_hi
8467950,ES,CNFI,322,61,0.8106,0.7642,0.8496
8470594,ES,CNFI,715,137,0.8084,0.7779,0.8356
8471734,ES,CNFI,851,152,0.8214,0.7942,0.8457
8473503,ES,CNFI,691,145,0.7902,0.7582,0.8189
8473575,ES,CNFI,490,73,0.851,0.8168,0.8798
8474593,ES,CNFI,1261,204,0.8382,0.8169,0.8575
8474596,ES,CNFI,951,188,0.8023,0.7758,0.8264
8474889,ES,CNFI,487,97,0.8008,0.7631,0.8339
8475311,ES,CNFI,1184,201,0.8302,0.8078,0.8505
8475311,PP,CNFI,321,58,0.8193,0.7735,0.8575
8475660,ES,CNFI,924,186,0.7987,0.7716,0.8233
8475683,ES,CNFI,1556,272,0.8252,0.8055,0.8433
8475683,PP,CNFI,413,95,0.77,0.727,0.808
8475717,ES,CNFI,317,68,0.7855,0.737,0.8271
8475789,ES,CNFI,461,106,0.7701,0.7295,0.8062
8475809,ES,CNFI,738,131,0.8225,0.7933,0.8484
8475831,ES,CNFI,899,180,0.7998,0.7724,0.8246
8475852,ES,CNFI,862,176,0.7958,0.7676,0.8214
8475883,ES,CNFI,892,158,0.8229,0.7964,0.8465
8476316,ES,CNFI,300,41,0.8633,0.8198,0.8976
8476341,ES,CNFI,738,127,0.8279,0.799,0.8534
8476412,ES,CNFI,1265,226,0.8213,0.7993,0.8415
8476434,ES,CNFI,1344,235,0.8251,0.8039,0.8445
8476883,ES,CNFI,1502,224,0.8509,0.832,0.868
8476883,PP,CNFI,363,65,0.8209,0.7782,0.857
8476914,ES,CNFI,888,155,0.8255,0.7991,0.849
8476932,ES,CNFI,612,90,0.8529,0.8227,0.8788
8476945,ES,CNFI,1626,283,0.826,0.8068,0.8436
8476945,PP,CNFI,363,80,0.7796,0.7342,0.8192
8476999,ES,CNFI,1008,168,0.8333,0.8091,0.8551
8477293,ES,CNFI,445,68,0.8472,0.8108,0.8776
8477424,ES,CNFI,1441,258,0.821,0.8003,0.8399
8477424,PP,CNFI,403,76,0.8114,0.7703,0.8466
8477465,ES,CNFI,1050,203,0.8067,0.7817,0.8294
8477480,ES,CNFI,445,80,0.8202,0.7819,0.8531
8477484,ES,CNFI,321,60,0.8131,0.7668,0.8519
8477967,ES,CNFI,944,151,0.84,0.8153,0.862
8477968,ES,CNFI,976,182,0.8135,0.7879,0.8367
8477970,ES,CNFI,782,173,0.7788,0.7484,0.8065
8477992,ES,CNFI,406,85,0.7906,0.7484,0.8274
8478007,ES,CNFI,1098,195,0.8224,0.7987,0.8439
8478009,ES,CNFI,1501,218,0.8548,0.836,0.8717
8478009,PP,CNFI,345,56,0.8377,0.7951,0.8728
8478024,ES,CNFI,730,117,0.8397,0.8113,0.8646
8478039,ES,CNFI,517,97,0.8124,0.7765,0.8437
8478048,ES,CNFI,1691,248,0.8533,0.8357,0.8694
8478048,PP,CNFI,365,71,0.8055,0.7618,0.8428
8478406,ES,CNFI,873,177,0.7973,0.7693,0.8226
8478435,ES,CNFI,560,92,0.8357,0.8028,0.8641
8478470,ES,CNFI,1070,199,0.814,0.7896,0.8362
8478492,ES,CNFI,782,140,0.821,0.7926,0.8463
8478499,ES,CNFI,773,138,0.8215,0.7929,0.8469
8478872,ES,CNFI,1208,235,0.8055,0.7822,0.8268
8478872,PP,CNFI,340,79,0.7676,0.7199,0.8094
8478916,ES,CNFI,668,145,0.7829,0.7501,0.8125
8478971,ES,CNFI,611,103,0.8314,0.7997,0.859
8479193,ES,CNFI,741,133,0.8205,0.7912,0.8465
8479292,ES,CNFI,647,137,0.7883,0.7551,0.818
8479312,ES,CNFI,628,118,0.8121,0.7797,0.8407
8479361,ES,CNFI,618,109,0.8236,0.7916,0.8516
8479394,ES,CNFI,687,129,0.8122,0.7813,0.8397
8479406,ES,CNFI,957,184,0.8077,0.7816,0.8315
8479496,ES,CNFI,514,93,0.8191,0.7835,0.8499
8479973,ES,CNFI,1178,221,0.8124,0.7891,0.8337
8479979,ES,CNFI,1459,286,0.804,0.7828,0.8235
8479979,PP,CNFI,321,58,0.8193,0.7735,0.8575
8480045,ES,CNFI,860,164,0.8093,0.7817,0.8342
8480193,ES,CNFI,489,82,0.8323,0.7966,0.8628
8480280,ES,CNFI,1068,166,0.8446,0.8216,0.8651
8480313,ES,CNFI,1002,165,0.8353,0.8111,0.857
8480382,ES,CNFI,1106,213,0.8074,0.7831,0.8296
8480382,PP,CNFI,304,65,0.7862,0.7367,0.8286
8480843,ES,CNFI,858,166,0.8065,0.7788,0.8316
8480947,ES,CNFI,792,143,0.8194,0.7911,0.8447
8480981,ES,CNFI,461,89,0.8069,0.7684,0.8404
8481020,ES,CNFI,351,62,0.8234,0.78,0.8597
8481033,ES,CNFI,331,65,0.8036,0.7574,0.8428
8481035,ES,CNFI,567,108,0.8095,0.7752,0.8397
8481519,ES,CNFI,717,103,0.8563,0.8288,0.8801
8481611,ES,CNFI,582,100,0.8282,0.7954,0.8566
8481692,ES,CNFI,553,104,0.8119,0.7773,0.8423
8482821,ES,CNFI,631,134,0.7876,0.754,0.8178
8482982,ES,CNFI,348,53,0.8477,0.8062,0.8816
