player_id,player_name,position,pos_group,es_toi_min,CNFI_blocks,CNFI_blocks_per60,CNFI_blocks_lo95,CNFI_blocks_hi95,MNFI_blocks,MNFI_blocks_per60,MNFI_blocks_lo95,MNFI_blocks_hi95,FNFI_blocks,FNFI_blocks_per60,FNFI_blocks_lo95,FNFI_blocks_hi95,TNFI_blocks,TNFI_blocks_per60,TNFI_blocks_lo95,TNFI_blocks_hi95,blocks_xG_prevented_total,blocks_xG_prevented_per60,TNFI_blocks_per60_rank,xG_prevented_per60_rank,PK_TOI_min,PK_CNFI_blocks,PK_CNFI_blocks_per60,PK_CNFI_blocks_lo95,PK_CNFI_blocks_hi95,PK_MNFI_blocks,PK_MNFI_blocks_per60,PK_MNFI_blocks_lo95,PK_MNFI_blocks_hi95,PK_FNFI_blocks,PK_FNFI_blocks_per60,PK_FNFI_blocks_lo95,PK_FNFI_blocks_hi95,PK_TNFI_blocks,PK_TNFI_blocks_per60,PK_TNFI_blocks_lo95,PK_TNFI_blocks_hi95,PK_blocks_xG_prevented_total,PK_blocks_xG_prevented_per60,PK_TNFI_blocks_per60_rank,PK_xG_prevented_per60_rank
8474166,Alec Martinez,D,D,3393.1666666666665,227,4.0139,3.5385,4.5485,178,3.1475,2.7271,3.6289,6,0.1061,0.0486,0.2312,411,7.2675,6.6348,7.9525,47.71805,0.8438,1,1,161.06666666666666,38.0,14.1556,10.6236,18.4376,25.0,9.3129,6.4466,13.1509,3.0,1.1175,0.3814,3.2008,66.0,24.5861,20.2156,29.2288,7.56485,2.818,22.0,22.0
8481219,Jonathan Aspirot,D,D,523.75,29,3.3222,2.3284,4.7012,20,2.2912,1.4905,3.493,8,0.9165,0.4654,1.7901,57,6.5298,5.0947,8.3004,6.06535,0.6948,2,5,,,,,,,,,,,,,,,,,,,,,
8476372,Nick Seeler,D,D,4433.516666666666,204,2.7608,2.4135,3.1547,256,3.4645,3.0747,3.8995,13,0.1759,0.1029,0.3006,473,6.4012,5.8756,6.9663,52.7623,0.714,3,3,221.28333333333333,39.0,10.5747,7.9117,13.9281,39.0,10.5747,7.9117,13.9281,2.0,0.5423,0.1491,1.9435,80.0,21.6916,18.0892,25.6326,9.06612,2.4582,45.0,41.0
8480831,Alec Regula,D,D,528.9833333333333,29,3.2893,2.3062,4.6574,25,2.8356,1.9328,4.13,1,0.1134,0.02,0.6378,55,6.2384,4.8451,7.9739,6.330449999999999,0.718,4,2,,,,,,,,,,,,,,,,,,,,,
8482165,Yan Kuznetsov,D,D,621.0666666666667,43,4.1541,3.1086,5.5184,17,1.6423,1.0296,2.6041,1,0.0966,0.0171,0.5439,61,5.8931,4.6339,7.4499,7.35935,0.711,5,4,,,,,,,,,,,,,,,,,,,,,
8482730,Brandt Clarke,D,D,2213.1,99,2.684,2.213,3.25,100,2.7111,2.2376,3.2795,7,0.1898,0.092,0.3909,206,5.5849,4.9005,6.3544,23.20015,0.629,6,6,118.35,2.0,1.0139,0.2796,3.5819,0.0,0.0,0.0,1.8918,0.0,0.0,0.0,1.8918,2.0,1.0139,0.2796,3.5819,0.26084,0.1322,631.0,616.0
8480160,Radim Simek,D,D,1010.2333333333332,32,1.9006,1.3518,2.6631,58,3.4447,2.681,4.4113,3,0.1782,0.0606,0.5218,93,5.5235,4.5456,6.6894,10.0967,0.5997,7,10,,,,,,,,,,,,,,,,,,,,,
8474697,Mark Borowiecki,D,D,671.65,19,1.6973,1.0904,2.6242,39,3.484,2.5645,4.7012,3,0.268,0.0912,0.7826,61,5.4493,4.2789,6.893,6.49315,0.58,8,13,,,,,,,,,,,,,,,,,,,,,
8479985,Cale Fleury,D,D,573.8,24,2.5096,1.6954,3.6876,25,2.6142,1.7804,3.8103,3,0.3137,0.1067,0.9152,52,5.4374,4.1852,7.0125,5.7440999999999995,0.6006,9,8,,,,,,,,,,,,,,,,,,,,,
8476885,Jacob Trouba,D,D,6455.683333333333,249,2.3142,2.0484,2.6128,302,2.8068,2.5135,3.1323,34,0.316,0.2263,0.441,585,5.4371,5.0311,5.8717,63.96295,0.5945,10,12,416.1,51.0,7.354,5.6692,9.4567,68.0,9.8053,7.8621,12.1228,7.0,1.0094,0.4905,2.0593,126.0,18.1687,15.6418,20.9208,13.708590000000001,1.9767,72.0,78.0
8482178,Ian Moore,D,D,552.85,28,3.0388,2.1156,4.3323,18,1.9535,1.2412,3.0518,3,0.3256,0.1108,0.9496,49,5.3179,4.0603,6.9132,5.5657,0.604,11,7,,,,,,,,,,,,,,,,,,,,,
8475188,Brayden McNabb,D,D,6244.716666666666,284,2.7287,2.4349,3.0558,244,2.3444,2.0725,2.65,25,0.2402,0.1628,0.3542,553,5.3133,4.9053,5.7511,62.4243,0.5998,12,9,302.05,109.0,21.652,18.5292,24.9917,73.0,14.5009,11.8125,17.5835,3.0,0.5959,0.203,1.7277,185.0,36.7489,33.3931,39.9471,21.64003,4.2986,2.0,2.0
8478502,Dennis Gilbert,D,D,996.1833333333332,50,3.0115,2.297,3.9344,32,1.9274,1.3709,2.7002,6,0.3614,0.1658,0.7848,88,5.3002,4.3363,6.4559,9.9461,0.5991,13,11,,,,,,,,,,,,,,,,,,,,,
8472382,Andy Greene,D,D,1086.4,33,1.8225,1.3031,2.542,59,3.2585,2.541,4.1668,1,0.0552,0.0098,0.3118,93,5.1362,4.2251,6.2264,10.26025,0.5667,14,15,56.583333333333336,5.0,5.3019,2.2831,11.3671,4.0,4.2415,1.6576,10.0202,0.0,0.0,0.0,3.7885,9.0,9.5434,5.1214,16.4181,1.05338,1.117,217.0,184.0
8476473,Connor Murphy,D,D,5184.4,195,2.2568,1.9662,2.5888,223,2.5808,2.2694,2.9332,20,0.2315,0.1499,0.3571,438,5.0691,4.6334,5.5424,48.51485,0.5615,15,16,269.81666666666666,42.0,9.3397,7.0313,12.2152,54.0,12.0082,9.3987,15.1063,2.0,0.4447,0.122,1.5961,98.0,21.7926,18.474,25.3123,10.96218,2.4377,42.0,43.0
8478013,Jake Walman,D,D,4444.116666666667,204,2.7542,2.408,3.1476,153,2.0657,1.7674,2.4122,11,0.1485,0.083,0.2656,368,4.9684,4.5037,5.4766,42.374300000000005,0.5721,16,14,279.18333333333334,25.0,5.3728,3.6858,7.7358,31.0,6.6623,4.7633,9.2039,0.0,0.0,0.0,0.8149,56.0,12.0351,9.4755,15.0983,6.370420000000001,1.3691,170.0,149.0
8479369,Andrew Peeke,D,D,5477.766666666666,232,2.5412,2.2399,2.8808,195,2.1359,1.8604,2.4503,18,0.1972,0.1248,0.3113,445,4.8742,4.4574,5.3259,50.4796,0.5529,17,18,310.95,44.0,8.4901,6.4265,11.0759,46.0,8.876,6.7654,11.4993,0.0,0.0,0.0,0.7321,90.0,17.3661,14.5081,20.527,10.353200000000001,1.9977,82.0,72.0
8474628,Michael Stone,D,D,751.85,11,0.8778,0.4912,1.5601,48,3.8306,2.9087,5.0169,2,0.1596,0.0438,0.5787,61,4.868,3.82,6.1696,6.31525,0.504,18,31,,,,,,,,,,,,,,,,,,,,,
8471303,Alexander Edler,D,D,1485.1333333333334,60,2.424,1.8911,3.0997,52,2.1008,1.6081,2.7379,7,0.2828,0.1371,0.5819,119,4.8076,4.0431,5.7031,13.2913,0.537,19,20,85.0,17.0,12.0,7.7273,17.8293,10.0,7.0588,3.9104,12.1913,1.0,0.7059,0.1248,3.8204,28.0,19.7647,14.3266,26.088,3.2539700000000003,2.2969,63.0,57.0
8475690,Chris Tanev,D,D,5180.566666666667,191,2.2121,1.9241,2.541,201,2.3279,2.0322,2.6643,20,0.2316,0.15,0.3573,412,4.7717,4.3477,5.2322,45.78745,0.5303,20,23,311.06666666666666,68.0,13.1162,10.5778,16.0721,93.0,17.9383,15.0513,21.1272,1.0,0.1929,0.0341,1.0792,162.0,31.2473,27.9277,34.5497,18.23195,3.5167,5.0,5.0
