player_id,position,state,zone,toi_min,ind_att,ind_gl,onice_for_att,onice_for_gl,onice_ag_att,onice_ag_gl
8470594,G,ES,CNFI,7813.333,0,0,0,0,0,0
8470594,G,ES,MNFI,7813.333,0,0,0,0,0,0
8470594,G,ES,FNFI,7813.333,0,0,0,0,0,0
8470594,G,ES,Wide,7813.333,0,0,0,0,0,0
8470594,G,ES,lane_other,7813.333,0,0,0,0,0,0
8470594,G,ES,unk,7813.333,0,0,0,0,0,0
8470594,G,PP,CNFI,1011.683,0,0,0,0,0,0
8470594,G,PP,MNFI,1011.683,0,0,0,0,0,0
8470594,G,PP,FNFI,1011.683,0,0,0,0,0,0
8470594,G,PP,Wide,1011.683,0,0,0,0,0,0
8470594,G,PP,lane_other,1011.683,0,0,0,0,0,0
8470594,G,PP,unk,1011.683,0,0,0,0,0,0
8470594,G,PK,CNFI,526.317,0,0,0,0,0,0
8470594,G,PK,MNFI,526.317,0,0,0,0,0,0
8470594,G,PK,FNFI,526.317,0,0,0,0,0,0
8470594,G,PK,Wide,526.317,0,0,0,0,0,0
8470594,G,PK,lane_other,526.317,0,0,0,0,0,0
8470594,G,PK,unk,526.317,0,0,0,0,0,0
8470595,F,ES,CNFI,831.817,54,7,142,11,124,13
8470595,F,ES,MNFI,831.817,12,2,77,10,84,5
8470595,F,ES,FNFI,831.817,7,0,59,5,78,5
8470595,F,ES,Wide,831.817,44,3,366,11,363,8
8470595,F,ES,lane_other,831.817,40,0,174,1,202,4
8470595,F,ES,unk,831.817,0,0,0,0,0,0
8470595,F,PP,CNFI,127.833,0,0,8,5,52,10
8470595,F,PP,MNFI,127.833,1,0,12,10,36,6
8470595,F,PP,FNFI,127.833,0,0,4,1,36,0
8470595,F,PP,Wide,127.833,3,0,12,5,88,1
8470595,F,PP,lane_other,127.833,4,0,3,1,18,0
8470595,F,PP,unk,127.833,0,0,0,0,0,0
8470595,F,PK,CNFI,67.267,1,0,6,1,1,1
8470595,F,PK,MNFI,67.267,1,0,5,0,4,1
8470595,F,PK,FNFI,67.267,3,0,4,0,0,0
8470595,F,PK,Wide,67.267,6,0,24,0,2,0
8470595,F,PK,lane_other,67.267,4,0,85,0,2,0
8470595,F,PK,unk,67.267,0,0,0,0,0,0
8470600,D,ES,CNFI,5804.767,12,1,810,103,752,86
8470600,D,ES,MNFI,5804.767,36,2,667,54,553,49
8470600,D,ES,FNFI,5804.767,70,2,428,13,403,10
8470600,D,ES,Wide,5804.767,494,4,2220,39,2408,39
8470600,D,ES,lane_other,5804.767,199,0,1246,20,1414,18
8470600,D,ES,unk,5804.767,0,0,0,0,0,0
8470600,D,PP,CNFI,581.717,3,1,110,28,142,23
8470600,D,PP,MNFI,581.717,3,0,81,22,91,13
8470600,D,PP,FNFI,581.717,17,1,35,3,99,6
8470600,D,PP,Wide,581.717,21,2,159,8,231,13
8470600,D,PP,lane_other,581.717,2,0,27,2,49,9
8470600,D,PP,unk,581.717,0,0,0,0,0,0
8470600,D,PK,CNFI,326.383,0,0,26,7,13,5
8470600,D,PK,MNFI,326.383,1,0,30,7,11,2
8470600,D,PK,FNFI,326.383,1,0,7,0,1,0
8470600,D,PK,Wide,326.383,13,0,63,1,69,1
8470600,D,PK,lane_other,326.383,22,0,182,0,99,0
8470600,D,PK,unk,326.383,0,0,0,0,0,0
8470604,F,ES,CNFI,2652.8,109,13,324,56,357,60
8470604,F,ES,MNFI,2652.8,61,4,244,32,302,31
8470604,F,ES,FNFI,2652.8,18,0,176,7,272,4
8470604,F,ES,Wide,2652.8,210,1,985,26,1011,28
8470604,F,ES,lane_other,2652.8,136,5,650,4,537,5
8470604,F,ES,unk,2652.8,0,0,0,0,0,0
8470604,F,PP,CNFI,415.267,50,8,133,30,71,4
8470604,F,PP,MNFI,415.267,15,0,79,13,67,2
