player_id,player_name,position,pos_group,pos_source
8467950,Craig Anderson,G,G,pbp_rosterSpots_2022plus
8470594,Marc-Andre Fleury,G,G,pbp_rosterSpots_2022plus
8470595,Eric Staal,C,F,pbp_rosterSpots_2022plus
8470600,Ryan Suter,D,D,pbp_rosterSpots_2022plus
8470604,Jeff Carter,C,F,pbp_rosterSpots_2022plus
8470610,Zach Parise,L,F,pbp_rosterSpots_2022plus
8470613,Brent Burns,D,D,pbp_rosterSpots_2022plus
8470621,Corey Perry,R,F,pbp_rosterSpots_2022plus
8470638,Patrice Bergeron,C,F,pbp_rosterSpots_2022plus
8470794,Joe Pavelski,C,F,pbp_rosterSpots_2022plus
8470860,Jaroslav Halak,G,G,pbp_rosterSpots_2022plus
8470880,Brian Elliott,G,G,pbp_rosterSpots_2022plus
8470966,Mark Giordano,D,D,pbp_rosterSpots_2022plus
8471214,Alex Ovechkin,L,F,pbp_rosterSpots_2022plus
8471215,Evgeni Malkin,C,F,pbp_rosterSpots_2022plus
8471218,Blake Wheeler,R,F,pbp_rosterSpots_2022plus
8471239,Cory Schneider,G,G,pbp_rosterSpots_2022plus
8471274,Alex Goligoski,D,D,pbp_rosterSpots_2022plus
8471276,David Krejci,C,F,pbp_rosterSpots_2022plus
8471303,Alexander Edler,D,D,pbp_rosterSpots_2022plus
8471306,Thomas Greiss,G,G,pbp_rosterSpots_2022plus
8471418,Anton Khudobin,G,G,pbp_rosterSpots_2022plus
8471669,Paul Stastny,C,F,pbp_rosterSpots_2022plus
8471675,Sidney Crosby,C,F,pbp_rosterSpots_2022plus
8471677,Jack Johnson,D,D,pbp_rosterSpots_2022plus
8471685,Anze Kopitar,C,F,pbp_rosterSpots_2022plus
8471686,Marc Staal,D,D,pbp_rosterSpots_2022plus
8471698,T.J. Oshie,R,F,pbp_rosterSpots_2022plus
8471699,Andrew Cogliano,C,F,pbp_rosterSpots_2022plus
8471709,Marc-Edouard Vlasic,D,D,pbp_rosterSpots_2022plus
8471724,Kris Letang,D,D,pbp_rosterSpots_2022plus
8471734,Jonathan Quick,G,G,pbp_rosterSpots_2022plus
8471774,Alex Stalock,G,G,pbp_rosterSpots_2022plus
8471794,Darren Helm,C,F,pbp_rosterSpots_2022plus
