player_id,position,toi_total_sec,toi_ES_sec,toi_PP_sec,toi_PK_sec,toi_total_min
8465009,D,83381.0,74356.0,5793.0,3232.0,1389.68
8466138,F,22728.0,19560.0,2139.0,1029.0,378.8
8467950,G,200843.0,170036.0,19361.0,11446.0,3347.38
8469455,F,45793.0,38447.0,5092.0,2254.0,763.22
8469608,G,94169.0,78344.0,10849.0,4976.0,1569.48
8470281,D,76246.0,64643.0,8138.0,3465.0,1270.77
8470594,G,561080.0,468800.0,60701.0,31579.0,9351.33
8470595,F,61615.0,49909.0,7670.0,4036.0,1026.92
8470600,D,402772.0,348286.0,34903.0,19583.0,6712.87
8470604,F,199219.0,159168.0,24916.0,15135.0,3320.32
8470606,F,56448.0,48447.0,5401.0,2600.0,940.8
8470610,F,178982.0,147355.0,19700.0,11927.0,2983.03
8470612,F,62970.0,54117.0,5664.0,3189.0,1049.5
8470613,D,498745.0,409980.0,55619.0,33146.0,8312.42
8470619,F,43382.0,34967.0,5476.0,2939.0,723.03
8470621,F,255926.0,219024.0,23843.0,13059.0,4265.43
8470626,F,56559.0,48842.0,5252.0,2465.0,942.65
8470638,F,159604.0,126930.0,21769.0,10905.0,2660.07
8470755,F,27215.0,24290.0,2146.0,779.0,453.58
8470775,F,23700.0,19552.0,2784.0,1364.0,395.0
8470794,F,258196.0,218071.0,25755.0,14370.0,4303.27
8470860,G,133871.0,113283.0,12923.0,7665.0,2231.18
8470880,G,140993.0,118628.0,14976.0,7389.0,2349.88
8470966,D,227967.0,191991.0,23357.0,12619.0,3799.45
8471214,F,390365.0,308601.0,50639.0,31125.0,6506.08
8471215,F,322356.0,268910.0,33768.0,19678.0,5372.6
8471217,F,43182.0,36421.0,4314.0,2447.0,719.7
8471218,F,189580.0,160096.0,20062.0,9422.0,3159.67
8471228,F,59673.0,51430.0,5594.0,2649.0,994.55
8471239,G,3600.0,3102.0,314.0,184.0,60.0
8471260,F,4129.0,3770.0,279.0,80.0,68.82
8471274,D,162183.0,141533.0,14184.0,6466.0,2703.05
8471276,F,71374.0,57262.0,8824.0,5288.0,1189.57
8471284,D,26332.0,23608.0,1985.0,739.0,438.87
8471303,D,102066.0,89108.0,7858.0,5100.0,1701.1
8471306,G,154460.0,131498.0,15804.0,7158.0,2574.33
8471418,G,30952.0,25796.0,3410.0,1746.0,515.87
8471669,F,127385.0,105853.0,14364.0,7168.0,2123.08
8471675,F,417820.0,351143.0,41465.0,25212.0,6963.67
8471677,D,273585.0,240817.0,21961.0,10807.0,4559.75
8471679,G,17850.0,15090.0,1663.0,1097.0,297.5
8471685,F,432309.0,352673.0,50897.0,28739.0,7205.15
8471686,D,192921.0,165785.0,18480.0,8656.0,3215.35
8471695,G,11781.0,9544.0,1477.0,760.0,196.35
8471698,F,157313.0,131476.0,16063.0,9774.0,2621.88
8471699,F,163970.0,138060.0,17526.0,8384.0,2732.83
8471707,F,14328.0,11847.0,1390.0,1091.0,238.8
8471709,D,225972.0,199198.0,17909.0,8865.0,3766.2
8471724,D,493198.0,411632.0,51197.0,30369.0,8219.97
8471729,D,29481.0,25512.0,2545.0,1424.0,491.35
8471734,G,505643.0,426623.0,52467.0,26553.0,8427.38
8471735,D,64405.0,55144.0,5679.0,3582.0,1073.42
8471774,G,90598.0,76473.0,8537.0,5588.0,1509.97
8471794,F,49794.0,41061.0,5631.0,3102.0,829.9
8471817,F,137834.0,129377.0,6419.0,2038.0,2297.23
8471873,D,101880.0,87574.0,9744.0,4562.0,1698.0
8471887,F,62576.0,52244.0,6598.0,3734.0,1042.93
8472382,D,74728.0,65184.0,6149.0,3395.0,1245.47
8473415,D,1574.0,1380.0,145.0,49.0,26.23
8473419,F,357615.0,285212.0,46929.0,25474.0,5960.25
8473422,F,268555.0,225709.0,27439.0,15407.0,4475.92
8473446,D,231380.0,198569.0,22034.0,10777.0,3856.33
8473449,F,195140.0,162182.0,21763.0,11195.0,3252.33
8473453,F,215370.0,182063.0,21420.0,11887.0,3589.5
8473463,F,650.0,618.0,3.0,29.0,10.83
8473473,F,116453.0,103354.0,8491.0,4608.0,1940.88
8473503,G,496148.0,420503.0,48540.0,27105.0,8269.13
8473504,F,144075.0,122577.0,13764.0,7734.0,2401.25
8473507,D,333691.0,280477.0,34301.0,18913.0,5561.52
8473512,F,406736.0,328548.0,51080.0,27108.0,6778.93
8473533,F,340548.0,290739.0,33234.0,16575.0,5675.8
8473541,G,29949.0,25387.0,2403.0,2159.0,499.15
8473544,F,80816.0,67257.0,8690.0,4869.0,1346.93
8473548,F,144020.0,125043.0,12755.0,6222.0,2400.33
8473563,F,96373.0,80801.0,9521.0,6051.0,1606.22
8473575,G,325570.0,277976.0,30166.0,17428.0,5426.17
8473604,F,171506.0,141372.0,19457.0,10677.0,2858.43
8473618,F,16882.0,14678.0,1264.0,940.0,281.37
8473986,F,375803.0,300497.0,50147.0,25159.0,6263.38
8473994,F,335480.0,275830.0,38533.0,21117.0,5591.33
8474009,F,172522.0,138928.0,21326.0,12268.0,2875.37
8474013,D,402612.0,344092.0,37714.0,20806.0,6710.2
8474027,D,126775.0,111679.0,9545.0,5551.0,2112.92
8474031,D,249771.0,207639.0,27566.0,14566.0,4162.85
8474034,F,195332.0,173967.0,15062.0,6303.0,3255.53
8474037,F,272372.0,234125.0,25377.0,12870.0,4539.53
8474038,F,20302.0,17066.0,1945.0,1291.0,338.37
8474040,F,118296.0,100240.0,11799.0,6257.0,1971.6
8474053,F,185902.0,150188.0,22495.0,13219.0,3098.37
8474056,D,85663.0,76612.0,6090.0,2961.0,1427.72
8474062,F,34219.0,28916.0,3707.0,1596.0,570.32
8474066,D,2337.0,1928.0,175.0,234.0,38.95
8474068,F,12479.0,11195.0,1057.0,227.0,207.98
8474089,F,8621.0,6958.0,1278.0,385.0,143.68
8474090,D,185536.0,162633.0,15149.0,7754.0,3092.27
8474098,F,20337.0,17223.0,2077.0,1037.0,338.95
8474102,F,289603.0,243169.0,30060.0,16374.0,4826.72
8474141,F,355534.0,303479.0,35430.0,16625.0,5925.57
8474145,D,126619.0,109894.0,10993.0,5732.0,2110.32
8474149,F,247282.0,217821.0,19234.0,10227.0,4121.37
