pillar,sit,dep,n_team_seasons,pearson_r,R2
P1a,PK,points,160,0.394,0.155
P1a,PK,GA_per_game,160,-0.177,0.031
P1a,PP,points,160,0.545,0.297
P1a,PP,GA_per_game,160,-0.206,0.042
P2,PK,points,160,0.091,0.008
P2,PK,GA_per_game,160,-0.047,0.002
P2,PP,points,160,0.042,0.002
P2,PP,GA_per_game,160,0.051,0.003
P3,PK,points,160,0.375,0.14
P3,PK,GA_per_game,160,-0.153,0.023
P3,PP,points,160,0.537,0.288
P3,PP,GA_per_game,160,-0.223,0.05
P4,PK,points,160,-0.187,0.035
P4,PK,GA_per_game,160,0.183,0.034
P4,PP,points,160,0.172,0.029
P4,PP,GA_per_game,160,-0.064,0.004
P5,PK,points,160,0.166,0.028
P5,PK,GA_per_game,160,-0.036,0.001
P5,PP,points,160,0.501,0.251
P5,PP,GA_per_game,160,-0.278,0.077
