rank,player_name,es_toi_min,two_way_D_score,z_offensive,z_defensive,P5_weighted,P4_weighted,blocks_xG_prevented_per60,small_sample_flag
1,Evan Bouchard,6717.52,3.515910611540215,3.3601143928304738,-0.1557962187097409,2.6259,1.9106,0.3768,N
2,Kaedan Korczak,1774.95,2.825788881450201,0.75736098177516,-2.068427899675041,2.0372,1.5387,0.4179,Y
3,Jaccob Slavin,6326.58,2.7845513281149903,2.471897711530978,-0.3126536165840125,2.425,1.8801,0.2974,N
4,Mattias Ekholm,6306.63,2.701442445582252,2.092559775963549,-0.6088826696187031,2.3392,1.8225,0.3018,N
5,Mike Reilly,2810.22,2.6957411441221346,1.5036575263413856,-1.1920836177807488,2.206,1.7091,0.2751,N
6,Devon Toews,6913.8,2.665164290362558,2.1478246267163805,-0.5173396636461771,2.3517,1.8403,0.2839,N
7,Alexander Nikishin,770.43,2.660716545910234,2.7831493509709215,0.1224328050606874,2.4954,1.9647,0.4355,Y
8,Cale Makar,6873.0,2.6503334037510986,1.6022500200844354,-1.0480833836666632,2.2283,1.7371,0.2681,N
9,Jordan Spence,3280.15,2.5265758067965693,0.8418056737254848,-1.6847701330710847,2.0563,1.6133,0.3249,N
10,Brandt Clarke,2213.1,2.482815497999846,0.5018163118940716,-1.980999186105774,1.9794,1.5557,0.629,N
11,Jacob Moverare,1086.35,2.398507491145229,0.4637940945761244,-1.9347133965691043,1.9708,1.5647,0.4435,Y
12,Jalen Chatfield,4257.83,2.318165544986103,1.847625957427003,-0.4705395875590999,2.2838,1.8494,0.2581,N
13,Sam Malinski,2140.27,2.298800808031028,0.8351738916351468,-1.4636269163958813,2.0548,1.6563,0.394,N
14,Miro Heiskanen,6471.85,2.283095626428002,1.5646699215725115,-0.71842570485549,2.2198,1.8012,0.3204,N
15,Charlie McAvoy,5978.92,2.137825853200389,1.0336852355393134,-1.1041406176610755,2.0997,1.7262,0.4446,N
16,Chris Tanev,5180.57,2.097387503219062,1.3727903597586832,-0.7245971434603787,2.1764,1.8,0.5303,N
17,Brayden McNabb,6244.72,2.035481367722655,0.9832836916527314,-1.0521976760699236,2.0883,1.7363,0.5998,N
18,Shea Theodore,5559.33,2.021137870609702,1.3767694290128856,-0.6443684415968165,2.1773,1.8156,0.3432,N
19,Thomas Harley,4255.13,1.9211141575194104,2.638576501401516,0.7174623438821056,2.4627,2.0804,0.5137,N
20,Ian Cole,5734.87,1.895686890068772,0.7149175763969868,-1.1807693136717852,2.0276,1.7113,0.4574,N
21,Vincent Desharnais,2728.53,1.8864858681463736,0.7838881101365197,-1.1025977580098536,2.0432,1.7265,0.4663,N
22,Lane Hutson,2608.85,1.8862664410199153,0.6844113787814247,-1.2018550622384905,2.0207,1.7072,0.3435,N
23,Jared Spurgeon,4669.63,1.8087712921093473,-0.258628034464879,-2.0673993265742263,1.8074,1.5389,0.4621,N
24,Darren Raddysh,3645.08,1.8009054479386437,0.7379077543101638,-1.06299769362848,2.0328,1.7342,0.3308,N
25,Sean Walker,4394.1,1.7585991676234185,1.690231662482943,-0.0683675051404753,2.2482,1.9276,0.4293,N
26,Brett Pesce,5589.8,1.7492435765856869,1.4072756266284496,-0.3419679499572372,2.1842,1.8744,0.3793,N
27,Dylan Coghlan,1023.88,1.6814911724745027,1.6522094451649938,-0.0292817273095089,2.2396,1.9352,0.4201,Y
28,MacKenzie Weegar,7040.17,1.665255523600465,0.5796292217540575,-1.0856263018464074,1.997,1.7298,0.4767,N
29,Cam York,4892.8,1.658143271431355,-0.4385703885160954,-2.0967136599474507,1.7667,1.5332,0.4215,N
30,Conor Timmins,2065.5,1.646595800663898,0.854627119100143,-0.791968681563755,2.0592,1.7869,0.4107,N
31,Mikhail Sergachev,5903.13,1.5863914797740004,0.9682516522479632,-0.6181398275260372,2.0849,1.8207,0.3912,N
32,Noah Hanifin,6849.22,1.5796889918859265,1.0124635328502267,-0.5672254590356998,2.0949,1.8306,0.3152,N
33,Ben Hutton,2373.4,1.5616925678345766,0.514637757268728,-1.0470548105658486,1.9823,1.7373,0.4488,N
34,Samuel Girard,5417.18,1.560235473414845,1.9161543723605143,0.3559188989456694,2.2993,2.0101,0.3625,N
35,Calvin de Haan,3287.38,1.5391550333600694,-0.0782435616076389,-1.6173985949677083,1.8482,1.6264,0.4247,N
36,Damon Severson,6096.3,1.5245254485030766,0.7171281704270988,-0.8073972780759778,2.0281,1.7839,0.3492,N
37,Declan Chisholm,1605.3,1.4982551689527257,-0.7193158303404747,-2.2175709992932005,1.7032,1.5097,0.2953,Y
38,Dmitry Orlov,6063.85,1.4968717538777478,1.3559898451298225,-0.1408819087479255,2.1726,1.9135,0.2771,N
39,Oliver Kylington,1896.52,1.4733593480150136,2.3034504464363503,0.8300910984213369,2.3869,2.1023,0.3483,Y
40,Parker Wotherspoon,2488.45,1.4700835825640768,0.4173716199437459,-1.052711962620331,1.9603,1.7362,0.4167,N
41,Darnell Nurse,6830.23,1.453240579091105,2.357388940771113,0.904148361680008,2.3991,2.1167,0.5101,N
42,Hampus Lindholm,5227.93,1.4239516311694111,0.7440974175944801,-0.679854213574931,2.0342,1.8087,0.3296,N
43,Timothy Liljegren,4263.85,1.419714201503832,1.475804041561959,0.0560898400581271,2.1997,1.9518,0.4607,N
44,Jonas Brodin,5368.75,1.398480703934095,-0.1962892828156859,-1.5947699867497809,1.8215,1.6308,0.4045,N
45,Nikita Zadorov,5828.4,1.3982015852635103,0.7569188629691384,-0.6412827222943721,2.0371,1.8162,0.2977,N
46,Ryan Johnson,610.58,1.3775979604208757,-0.3519151025356566,-1.7295130629565325,1.7863,1.6046,0.3109,Y
47,Josh Manson,4222.47,1.3501466391831412,1.3537792510997086,0.0036326119165674,2.1721,1.9416,0.3885,N
48,Victor Hedman,6407.95,1.3487003604021424,1.2618185394469987,-0.0868818209551436,2.1513,1.924,0.3611,N
49,Erik Karlsson,6868.53,1.325185662311996,0.8860175543277503,-0.4391681079842456,2.0663,1.8555,0.2462,N
50,Brady Skjei,6775.6,1.3087587536114025,0.9961051370273896,-0.3126536165840125,2.0912,1.8801,0.2048,N
