rank,player_name,position,es_toi_min,two_way_score,z_offensive,z_defensive,P1a_weighted,P1b_pct,P1b_per60,P2_weighted,small_sample_flag
1,Patrice Bergeron,C,2115.5,4.5946713753125525,1.7315567475813327,-2.8631146277312203,2.7519,,,1.3556,N
2,Connor McDavid,C,6331.43,3.461262133086282,3.5426430148326804,0.0813808817463984,3.3154000000000003,0.4263,0.6539,1.9266,N
3,Zach Hyman,LW,5621.93,3.2715386294084134,3.411190613181251,0.1396519837728374,3.2745,0.6301,1.0886,1.9379,N
4,Derek Stepan,C,1146.48,3.231997377120318,2.404245932560404,-0.8277514445599139,2.9612,,,1.7503,Y
5,Auston Matthews,C,5452.95,3.126055491491901,2.30139808774755,-0.8246574037443511,2.9292,0.4139,0.7372,1.7509,N
6,Jesper Fast,RW,2839.33,3.0754758093470884,2.5019513851326156,-0.5735244242144728,2.9916,0.2348,0.803,1.7996,N
7,Josh Doan,RW,1392.23,2.97044012924389,0.5719472973164059,-2.398492831927484,2.3911,,,1.4457,Y
8,Matthew Tkachuk,LW,4792.65,2.9294137270435923,3.5873175474232624,0.65790382037967,3.3293,0.346,0.7011,2.0384,N
9,Seth Jarvis,C,4795.28,2.9121051172930046,1.935324040116798,-0.9767810771762064,2.8152999999999997,0.3089,0.6256,1.7214,N
10,Mitch Marner,RW,5815.55,2.778469424474307,1.223102714787787,-1.5553667096865198,2.5937,,,1.6092,N
11,Jordan Staal,C,4845.65,2.716618586875084,1.85947375456732,-0.8571448323077643,2.7917,0.3151,0.6315,1.7446,N
12,Jason Robertson,LW,5700.35,2.681773797265337,1.6415648833700855,-1.0402089138952513,2.7239,0.2965,0.5052,1.7091,N
13,Jordan Martinook,LW,4310.43,2.6678043201297847,2.0741686306141514,-0.5936356895156335,2.8585,0.383,0.863,1.7957,N
14,Jackson Blake,RW,1590.02,2.4996817323530087,1.9632857979252931,-0.5363959344277154,2.824,,,1.8068,Y
15,Danila Yurov,RW,504.48,2.4837030536725875,0.1811254870275618,-2.3025775666450254,2.2695,,,1.4643,Y
16,Gabriel Landeskog,LW,1382.55,2.427028468450393,3.398977431609723,0.9719489631593304,3.2706999999999997,,,2.0993,Y
17,Jack Hughes,C,4893.55,2.3870628358159576,0.880169432239928,-1.5068934035760295,2.487,,,1.6186,N
18,Sebastian Aho,C,5445.97,2.365532969475951,1.5274680555308264,-0.8380649139451245,2.6884,0.2595,0.4627,1.7483,N
19,William Carrier,LW,2618.8,2.3390445435652425,2.8432776701052735,0.504233126540031,3.0978,0.2595,0.9623,2.0086,N
20,Jesper Bratt,LW,5495.63,2.3350854194061847,1.3969798524245185,-0.9381055669816664,2.6478,0.2842,0.5022,1.7289,N
21,Pavel Dorofeyev,LW,2703.15,2.312727635455376,0.2148724361067807,-2.097855199348595,2.28,,,1.504,N
22,Nathan MacKinnon,C,6339.42,2.30004242703386,2.2901491047211446,-0.0098933223127153,2.9257,0.2595,0.3975,1.9089,N
23,Andrei Svechnikov,RW,4550.57,2.2710695342593374,2.1162719670844137,-0.1547975671749239,2.8716,0.2842,0.6065,1.8808,N
24,Roope Hintz,C,4644.75,2.253967564664751,1.7768740792019964,-0.4770934854627542,2.766,0.3645,0.7622,1.8183,N
25,Alex Turcotte,C,1309.02,2.1979397586136744,0.5796608856773705,-1.618278872936304,2.3935,,,1.597,Y
26,Brady Tkachuk,LW,5399.25,2.095533259753364,0.9888024683235044,-1.10673079142986,2.5208,0.4572,0.8223,1.6962,N
27,Kevin Fiala,LW,5062.83,2.0923088430620225,0.3884281742284709,-1.7038806688335515,2.334,0.1915,0.3674,1.5804,N
28,Andrew Mangiapane,LW,4442.67,2.08287675992778,1.528432254075946,-0.5544445058518341,2.6887,0.1915,0.4187,1.8033,N
29,Jack Drury,C,2452.15,2.0576094186840748,1.089079117016037,-0.9685303016680376,2.552,,,1.723,N
30,Artturi Lehkonen,LW,4310.0,2.0547709188495986,1.9912475557337883,-0.0635233631158101,2.8327,0.4201,0.9466,1.8985,N
31,Sean Couturier,C,3335.18,2.0512551168932665,-0.2611202456677091,-2.312375362560976,2.1319,0.2039,0.5937,1.4624,N
32,William Karlsson,C,3910.15,2.0196053963722083,0.825210115168059,-1.1943952812041494,2.4699,,,1.6792,N
33,Logan Stankoven,C,1933.95,2.0152674476089123,2.958338696489654,0.9430712488807416,3.1336,0.1977,0.9928,2.0937,Y
34,Warren Foegele,LW,4244.4,2.004434403586759,2.2895063056910656,0.2850719021043065,2.9255000000000004,0.3274,0.7492,1.9661,N
35,Michael Bunting,LW,4782.8,1.9831177372626845,1.6354582925843224,-0.3476594446783621,2.722,0.3954,0.8029,1.8434,N
36,Brandon Hagel,LW,5531.02,1.9804076883864845,1.151109223418789,-0.8292984649676953,2.5713,0.2656,0.4665,1.75,N
37,Taylor Hall,LW,3583.12,1.9748350186382957,1.554465614794199,-0.4203694038440966,2.6967999999999996,,,1.8293,N
38,Jesse Puljujarvi,RW,2247.62,1.9668430423235104,2.5479115157833596,0.5810684734598494,3.0059,,,2.0235,N
39,Blake Coleman,C,5073.65,1.9495696339014337,1.0681881485384248,-0.8813814853630088,2.5454999999999997,0.3336,0.6386,1.7399,N
40,Mark Jankowski,LW,2106.02,1.928470049017641,1.0527609718164983,-0.8757090772011424,2.5407,,,1.741,N
41,Jack Eichel,C,4691.88,1.9062954468840476,0.4752060432893152,-1.4310894035947324,2.361,0.1853,0.3836,1.6333,N
42,Stefan Noesen,RW,2833.75,1.9030651409288384,1.2867398187657406,-0.6163253221630977,2.6135,0.2904,0.9951,1.7913,N
43,Joel Eriksson Ek,C,4789.73,1.8997071019954257,-0.7679672808860539,-2.6676743828814797,1.9742,0.278,0.5637,1.3935,N
44,Leon Draisaitl,C,6061.42,1.8961781763705587,2.461776445752594,0.5655982693820352,2.9791,,,2.0205,N
45,Mark Stone,RW,3779.98,1.8767527650960416,0.667402953283336,-1.2093498118127053,2.4208,0.2409,0.6191,1.6763,N
46,Garnet Hathaway,RW,3661.17,1.8645239433157696,0.2679033560884076,-1.596620587227362,2.2965,0.2162,0.5736,1.6012,N
47,Sam Reinhart,C,5525.77,1.859410224133048,1.015157228556798,-0.8442529955762502,2.529,0.3212,0.5646,1.7471,N
48,Kirill Kaprizov,LW,5318.2,1.8511927092412213,0.2174436322271018,-1.6337490770141194,2.2808,0.2039,0.3723,1.594,N
49,Luke Evangelista,RW,2752.27,1.8255042103254593,0.6455477862606042,-1.179956424064855,2.4139999999999997,0.1853,0.654,1.682,N
50,Beckett Sennecke,RW,711.52,1.809575686791563,1.6418862828851264,-0.1676894039064368,2.724,,,1.8783,Y
51,Aleksander Barkov,C,4356.22,1.7954158526641462,1.72673575485573,-0.068680097808416,2.7504,0.2286,0.5096,1.8975,N
52,Dylan Holloway,LW,2523.98,1.7929665831801775,0.6635461591028544,-1.1294204240773231,2.4196,,,1.6918,N
53,Tyson Foerster,RW,2548.98,1.768961381657849,-0.482564511530384,-2.251525893188233,2.063,,,1.4742,N
54,Nico Hischier,C,5469.12,1.7683935373052049,0.5992662560948208,-1.169127281210384,2.3996,0.4139,0.735,1.6841,N
55,Mikko Rantanen,RW,6306.27,1.712650588248528,1.634172694524162,-0.0784778937243661,2.7216,0.2471,0.3806,1.8956,N
56,Trevor Moore,LW,4646.25,1.7099737920913338,0.8605640618224778,-0.849409730268856,2.4809,0.3212,0.6715,1.7461,N
57,Valeri Nichushkin,RW,3959.88,1.691476028943959,1.8074070331308123,0.1159310041868534,2.7755,0.2842,0.697,1.9333,N
58,Mikael Backlund,C,5475.02,1.687988896096882,0.5616625128351217,-1.1263263832617605,2.3879,0.3151,0.5589,1.6924,N
59,Ryan Winterton,C,588.0,1.676648647588229,0.2826877337802552,-1.3939609138079738,2.3011,,,1.6405,Y
60,Zachary L'Heureux,LW,857.32,1.6736986860936856,0.0461376907106918,-1.6275609953829937,2.2275,,,1.5952,Y
61,Mackie Samoskevich,RW,1437.52,1.6553306598153668,0.7615730111901056,-0.8937576486252612,2.4501,,,1.7375,Y
62,Maxim Tsyplakov,RW,1235.98,1.6434636575464543,0.3247910702505175,-1.3186725872959368,2.3142,,,1.6551,Y
63,Matt Boldy,LW,5056.48,1.639833088333747,-0.1068484784484283,-1.7466815667821751,2.1799,0.1977,0.3797,1.5721,N
64,Brad Marchand,LW,4753.53,1.6345316076727272,1.0775087344745908,-0.5570228731981365,2.5484,0.2842,0.5806,1.8028,N
65,Phillip Danault,C,5106.88,1.6093509680448554,0.930629156101234,-0.6787218119436216,2.5027,0.3583,0.6814,1.7792,N
66,Jake Guentzel,C,5762.88,1.6074955770225428,1.5496446220685978,-0.0578509549539449,2.6953,0.4077,0.6872,1.8996,N
67,Cole Schwindt,RW,602.2,1.5870218611006348,0.246690988095756,-1.3403308730048789,2.2899,,,1.6509,Y
68,Alex Laferriere,RW,2820.08,1.582871693558978,0.6715811469788584,-0.9112905465801197,2.4221,0.2224,0.7659,1.7341,N
69,Tommy Novak,C,3004.2,1.571637045087198,1.163643804505355,-0.407993240581843,2.5751999999999997,,,1.8317,N
70,Matvei Michkov,RW,1715.28,1.5686844999250935,-0.6204449034826159,-2.1891294034077093,2.0201,,,1.4863,Y
71,Jesperi Kotkaniemi,C,3779.43,1.5612759726336858,1.966499793075696,0.4052238204420101,2.825,0.2656,0.6826,1.9894,N
72,Viktor Arvidsson,LW,3687.43,1.55635068157666,1.3288431552360016,-0.2275075263406584,2.6266,0.2471,0.6509,1.8667,N
73,Mavrik Bourque,C,1447.82,1.5428336701713292,-0.1110266721439508,-1.65386034231528,2.1786,,,1.5901,Y
74,John Tavares,C,5459.7,1.5322887453045366,1.2893110148860618,-0.2429777304184749,2.6143,0.5066,0.9011,1.8637,N
75,Corey Perry,RW,3650.4,1.528171179629158,1.3558407144993756,-0.1723304651297822,2.635,0.2286,0.6082,1.8774,N
76,Matt Savoie,C,703.37,1.5199256346347982,0.3832857819878273,-1.1366398526469708,2.3324,,,1.6904,Y
77,Nino Niederreiter,RW,4402.88,1.5051770972781868,1.3725534892814657,-0.1326236079967213,2.6402,0.4695,1.0357,1.8851,N
78,Ross Colton,C,3897.28,1.498548955605297,2.0156739188768413,0.517124963271544,2.8403,0.3274,0.816,2.0111,N
79,Carter Verhaeghe,C,5289.5,1.493840079341154,2.964445287275417,1.4706052079342626,3.1355,0.3212,0.5898,2.196,N
80,Erik Haula,LW,4614.85,1.4902388735257714,0.8120327350514114,-0.67820613847436,2.4658,0.3645,0.7671,1.7793,N
81,Bryan Rust,RW,4903.7,1.481187528067268,1.1221832670651744,-0.3590042610020936,2.5623,0.3274,0.6485,1.8412,N
82,Timo Meier,RW,5486.52,1.4783640373321498,1.0714021436888277,-0.4069618936433221,2.5465,0.3707,0.6562,1.8319,N
83,David Pastrnak,RW,5748.88,1.4733761617481378,0.4099619417361619,-1.0634142200119758,2.3407,,,1.7046,N
84,Justin Hryckowian,C,609.63,1.472033868424858,-1.0270152900084293,-2.4990491584332872,1.8936,,,1.4262,Y
85,Sidney Crosby,C,5852.38,1.4582814529862465,1.3153443756043146,-0.1429370773819319,2.6224,0.3212,0.5331,1.8831,N
86,Ivan Miroshnichenko,LW,506.27,1.4575278431488228,0.2450839905205546,-1.212443852628268,2.2893999999999997,,,1.6757,Y
87,William Nylander,RW,5753.88,1.4456764613453186,1.466723547188235,0.0210470858429163,2.6695,,,1.9149,N
88,Sam Bennett,C,4531.28,1.4065217570234765,3.302557577097675,1.896035820074199,3.2407000000000004,0.4633,0.9931,2.2785,N
89,Alexander Kerfoot,C,4497.07,1.405755788881608,0.410926140281283,-0.9948296486003252,2.341,0.21,0.4536,1.7179,N
90,Nikita Kucherov,RW,5683.82,1.3821117204799025,1.4464753777407031,0.0643636572608006,2.6632,,,1.9233,N
91,Quinton Byfield,RW,4212.92,1.3731901355824596,-0.0001438394550929,-1.3733339750375526,2.2131,,,1.6445,N
92,Tomas Tatar,LW,3510.6,1.3660834782756677,0.7683224010059491,-0.5977610772697184,2.4522,0.2162,0.5982,1.7949,N
