rank,goalie_name,tier_label_text,games_est,ES_TOI_min,total_faced,spatial_save_pct,sv_lo,sv_hi,NFI_GSAx_cumulative,NFI_GSAx_per60,rank_cumulative,rank_per60,tier
1,Igor Shesterkin,Qualified,364,12730.53,3450.0,0.8559,0.8422,0.8686,78.65,0.371,1.0,3.0,1
2,Ilya Sorokin,Qualified,376,13167.1,3274.0,0.8562,0.8419,0.8694,75.08,0.342,2.0,5.0,1
3,Andrei Vasilevskiy,Qualified,384,13453.37,3489.0,0.8514,0.8374,0.8644,55.42,0.247,3.0,10.0,1
4,Connor Hellebuyck,Qualified,413,14440.48,3651.0,0.8437,0.8296,0.8568,53.42,0.222,4.0,13.0,1
5,Thatcher Demko,Qualified,248,8665.12,2024.0,0.8546,0.8363,0.8712,38.27,0.265,5.0,8.0,1
6,Jeremy Swayman,Qualified,284,9948.78,2322.0,0.8475,0.8301,0.8635,34.92,0.211,6.0,14.0,1
7,Spencer Knight,Qualified,172,6013.72,1506.0,0.8541,0.8328,0.8731,26.9,0.268,7.0,7.0,1
8,Logan Thompson,Qualified,258,9027.03,2160.0,0.8489,0.8309,0.8653,26.3,0.175,8.0,18.0,1
9,Scott Wedgewood,Qualified,184,6438.08,1509.0,0.8499,0.8282,0.8693,25.66,0.239,9.0,11.0,1
10,Sergei Bobrovsky,Qualified,335,11734.05,3256.0,0.8395,0.8247,0.8533,25.21,0.129,10.0,22.0,1
11,Anthony Stolarz,Qualified,154,5395.68,1329.0,0.8641,0.8418,0.8837,23.75,0.264,11.0,9.0,1
12,Laurent Brossoit,Small Sample,81,2844.78,609.0,0.8707,0.8383,0.8974,20.84,0.44,12.0,1.0,2
13,Linus Ullmark,Qualified,282,9855.05,2287.0,0.8431,0.8253,0.8594,16.93,0.103,13.0,24.0,1
14,Juuse Saros,Qualified,394,13779.47,3261.0,0.8379,0.823,0.8517,15.97,0.07,14.0,29.0,1
15,Jet Greaves,Small Sample,77,2706.45,825.0,0.8557,0.825,0.8818,15.78,0.35,15.0,4.0,2
16,Casey DeSmith,Qualified,180,6302.37,1634.0,0.8409,0.8194,0.8602,15.1,0.144,16.0,21.0,1
17,Darcy Kuemper,Qualified,311,10899.85,2603.0,0.8423,0.8257,0.8577,14.26,0.078,17.0,26.0,1
18,Anton Forsberg,Qualified,198,6943.58,1644.0,0.8385,0.8172,0.8577,13.04,0.113,18.0,23.0,1
