state,zone,attempts,followups,conv_rate,conv_lo,conv_hi
ES,CNFI,93755,3951,0.0421,0.0409,0.0434
ES,FNFI,50541,854,0.0169,0.0158,0.0181
ES,MNFI,69484,1529,0.022,0.0209,0.0231
ES,Wide,277354,3535,0.0127,0.0123,0.0132
ES,lane_other,159687,756,0.0047,0.0044,0.0051
PK,CNFI,2460,0,0.0,0.0,0.0016
PK,FNFI,650,0,0.0,0.0,0.0059
PK,MNFI,2447,0,0.0,0.0,0.0016
PK,Wide,9457,0,0.0,0.0,0.0004
PK,lane_other,26013,0,0.0,0.0,0.0001
PP,CNFI,20963,5,0.0002,0.0001,0.0006
PP,FNFI,12399,1,0.0001,0.0,0.0005
PP,MNFI,13023,0,0.0,0.0,0.0003
PP,Wide,32673,0,0.0,0.0,0.0001
PP,lane_other,5940,0,0.0,0.0,0.0006
