zone,shot_type,attempts,goals,conv_pct,ci_lo_pct,ci_hi_pct,rank_in_zone
CNFI,snap,8560,1643,19.194,18.374,20.042,1
CNFI,bat,919,145,15.778,13.564,18.277,2
CNFI,wrist,32433,5047,15.561,15.171,15.96,3
CNFI,slap,590,87,14.746,12.113,17.835,4
CNFI,poke,1082,153,14.14,12.191,16.344,5
CNFI,backhand,17279,2194,12.697,12.209,13.202,6
CNFI,deflected,5833,628,10.766,9.997,11.588,7
CNFI,tip-in,23373,2132,9.122,8.759,9.498,8
CNFI,wrap-around,3376,175,5.184,4.485,5.984,9
FNFI,snap,9702,378,3.896,3.529,4.3,1
FNFI,slap,12204,439,3.597,3.281,3.942,2
FNFI,wrist,27426,862,3.143,2.943,3.356,3
FNFI,backhand,563,8,1.421,0.722,2.779,4
LEAGUE_ALL,poke,1370,160,11.679,10.084,13.488,1
LEAGUE_ALL,bat,1364,156,11.437,9.855,13.235,2
LEAGUE_ALL,deflected,9373,815,8.695,8.142,9.283,3
LEAGUE_ALL,snap,82836,6234,7.526,7.348,7.707,4
LEAGUE_ALL,backhand,36165,2696,7.455,7.189,7.73,5
LEAGUE_ALL,tip-in,39511,2840,7.188,6.937,7.447,6
LEAGUE_ALL,wrist,246972,13478,5.457,5.368,5.548,7
LEAGUE_ALL,wrap-around,4280,203,4.743,4.146,5.421,8
LEAGUE_ALL,slap,51408,1976,3.844,3.681,4.013,9
MNFI,snap,15150,2114,13.954,13.411,14.515,1
MNFI,slap,2737,323,11.801,10.646,13.064,2
MNFI,wrist,34417,3608,10.483,10.164,10.811,3
MNFI,deflected,1858,108,5.813,4.837,6.971,4
MNFI,tip-in,10546,576,5.462,5.044,5.912,5
MNFI,backhand,4407,227,5.151,4.536,5.843,6
Wide,deflected,891,44,4.938,3.699,6.564,1
Wide,snap,44808,1580,3.526,3.359,3.701,2
Wide,slap,35271,1084,3.073,2.898,3.259,3
Wide,wrist,135430,2892,2.135,2.06,2.214,4
Wide,tip-in,2294,40,1.744,1.283,2.366,5
Wide,backhand,8432,74,0.878,0.7,1.1,6
