season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_twoway,F_band,D_top4_twoway,D_band,starter_goalie_name,starter_NFI_GSAx_per60,g_high,archetype_q,arche_g_q,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20212022,ANA,W,82,76,0.4634,31,-39,-0.4756097560975609,0.469208211143695,-9.80375043817989,-1.0704822269601009,Low,-0.112468585293818,Middle,John Gibson,-0.01,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,13,False
20212022,ARI,W,82,57,0.3476,25,-106,-1.2926829268292683,0.4304267161410018,-25.33391975161645,-0.2664867668639121,Low,-1.3050657653798985,Low,Karel Vejmelka,-0.0,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,16,False
20212022,BOS,E,82,107,0.6524,51,35,0.4268292682926829,0.5518154311649016,11.059226406933446,1.9939751409909328,High,0.6831985171545771,Middle,Jeremy Swayman,0.21,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,6,False
20212022,BUF,E,82,75,0.4573,32,-58,-0.7073170731707317,0.4744065281899109,-16.481112071174756,-0.252035423201379,Low,-0.8236196565992079,Low,Craig Anderson,0.01,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,11,False
20212022,CAR,E,82,116,0.7073,54,76,0.926829268292683,0.5583173996175909,26.56046541403106,1.5681174050289586,High,1.9345601370952128,High,Frederik Andersen,-0.03,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,False,False,False,2,True
20212022,CBJ,E,82,81,0.4939,37,-38,-0.4634146341463415,0.4519508670520231,-19.138484448538144,-0.7901930538332489,Low,-0.3013854443913376,Low,Elvis Merzlikins,-0.06,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,10,False
20212022,CGY,W,82,111,0.6768,50,85,1.0365853658536586,0.5537139349294046,29.258146863453135,1.7136675986580874,High,1.0255522135797297,High,Jacob Markstrom,-0.0,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,False,False,False,3,True
20212022,CHI,W,82,68,0.4146,28,-72,-0.8780487804878049,0.4534136546184739,-25.11776656753016,-0.5201068416767337,Low,-0.1898829651099917,Middle,Marc-Andre Fleury,0.06,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,14,False
20212022,COL,W,82,119,0.7256,56,78,0.951219512195122,0.5526946107784431,28.647111241673223,1.0007376249785995,Middle,1.628674469979291,High,Darcy Kuemper,0.08,True,MIDDLE,MIDDLE_Ghi,True,True,True,True,True,1,True
20212022,DAL,W,82,98,0.5976,46,-8,-0.0975609756097561,0.5075653370013755,11.86728094638358,1.2842043888256736,High,0.7883657574288605,Middle,Jake Oettinger,0.03,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,7,False
20212022,DET,E,82,74,0.4512,32,-82,-1.0,0.4489402697495183,-18.74052720262751,-0.3508133967717201,Low,-0.6847411145896076,Low,Alex Nedeljkovic,0.0,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,12,False
20212022,EDM,W,82,104,0.6341,49,38,0.4634146341463415,0.5167219041880085,14.188459633724008,2.121032996561621,High,1.2148427654995224,High,Mikko Koskinen,0.29,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,False,False,5,False
20212022,FLA,E,82,122,0.7439,58,94,1.146341463414634,0.5697637795275591,28.79056217635246,1.090165560483335,Middle,1.198586493184944,High,Sergei Bobrovsky,0.13,True,MIDDLE,MIDDLE_Ghi,True,True,False,False,False,1,True
20212022,LAK,W,82,99,0.6037,44,3,0.0365853658536585,0.5161516853932584,10.875338724727708,1.218465162390007,Middle,0.4402057848935501,Middle,Jonathan Quick,-0.04,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,6,False
20212022,MIN,W,82,113,0.689,53,57,0.6951219512195121,0.5288496876148475,5.044442972685855,1.2027006231503752,Middle,0.941479993857394,Middle,Cam Talbot,-0.07,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,2,True
20212022,MTL,E,82,55,0.3354,22,-98,-1.195121951219512,0.4409509202453988,-22.219030612686726,-1.2363695768763556,Low,-1.2480440249843805,Low,Jake Allen,-0.04,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
20212022,NJD,E,82,63,0.3841,27,-59,-0.7195121951219512,0.5091776798825257,-11.140889444523562,1.1785173098583932,Middle,1.0020298775099503,Middle,Mackenzie Blackwood,-0.01,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,14,False
20212022,NSH,W,82,97,0.5915,45,14,0.1707317073170731,0.5043842927945101,-3.2119358019613795,0.2418794729781459,Middle,1.293115078572387,High,Juuse Saros,0.07,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,8,False
20212022,NYI,E,82,84,0.5122,37,-6,-0.073170731707317,0.4640686449767608,-3.957587870974899,0.1593003225075646,Middle,-0.3275843209528074,Low,Ilya Sorokin,0.34,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,9,False
20212022,NYR,E,82,110,0.6707,52,47,0.573170731707317,0.4504981320049813,-5.064318447882731,-0.7760719100178849,Low,-0.2860405994758463,Low,Igor Shesterkin,0.37,True,D_LowF_LowD,D_LowF_LowD_Ghi,True,True,True,False,False,4,True
20212022,OTT,E,82,73,0.4451,33,-39,-0.4756097560975609,0.4677296886864085,-13.636378741987423,0.5490797160966668,Middle,-0.0916977482638041,Middle,Anton Forsberg,0.11,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,13,False
