season,team,state,zone,for_att,for_gl,ag_att,ag_gl
20212022,CBJ,ES,CNFI,481,79,629,87
20212022,CBJ,ES,MNFI,448,44,548,58
20212022,CBJ,ES,FNFI,322,7,340,13
20212022,CBJ,ES,Wide,1495,40,1629,42
20212022,CBJ,ES,lane_other,881,12,917,15
20212022,CBJ,ES,unk,0,0,0,0
20212022,CBJ,PP,CNFI,73,15,109,21
20212022,CBJ,PP,MNFI,74,7,92,11
20212022,CBJ,PP,FNFI,57,3,58,2
20212022,CBJ,PP,Wide,210,11,205,14
20212022,CBJ,PP,lane_other,24,3,30,2
20212022,CBJ,PP,unk,0,0,0,0
20212022,CBJ,PK,CNFI,16,2,22,3
20212022,CBJ,PK,MNFI,26,3,16,3
20212022,CBJ,PK,FNFI,5,0,3,0
20212022,CBJ,PK,Wide,71,1,63,0
20212022,CBJ,PK,lane_other,146,1,128,0
20212022,CBJ,PK,unk,0,0,0,0
20222023,CBJ,ES,CNFI,483,52,666,99
20222023,CBJ,ES,MNFI,477,42,536,54
20222023,CBJ,ES,FNFI,250,5,334,13
20222023,CBJ,ES,Wide,1519,41,1818,57
20222023,CBJ,ES,lane_other,1063,5,934,14
20222023,CBJ,ES,unk,0,0,0,0
20222023,CBJ,PP,CNFI,95,11,132,23
20222023,CBJ,PP,MNFI,83,9,86,8
20222023,CBJ,PP,FNFI,69,1,55,2
20222023,CBJ,PP,Wide,213,18,249,22
20222023,CBJ,PP,lane_other,28,1,39,2
20222023,CBJ,PP,unk,0,0,0,0
20222023,CBJ,PK,CNFI,12,1,24,3
20222023,CBJ,PK,MNFI,14,2,16,4
20222023,CBJ,PK,FNFI,5,0,6,0
20222023,CBJ,PK,Wide,64,1,52,0
20222023,CBJ,PK,lane_other,141,0,124,1
20222023,CBJ,PK,unk,0,0,0,0
20232024,CGY,ES,CNFI,513,72,544,57
20232024,CGY,ES,MNFI,408,37,413,59
20232024,CGY,ES,FNFI,336,16,272,14
20232024,CGY,ES,Wide,1829,30,1712,40
20232024,CGY,ES,lane_other,1114,19,1075,14
20232024,CGY,ES,unk,0,0,0,0
20232024,CGY,PP,CNFI,148,19,122,18
20232024,CGY,PP,MNFI,65,5,76,5
20232024,CGY,PP,FNFI,95,4,62,5
20232024,CGY,PP,Wide,184,9,224,14
20232024,CGY,PP,lane_other,47,5,38,5
20232024,CGY,PP,unk,0,0,0,0
20232024,CGY,PK,CNFI,11,5,22,3
20232024,CGY,PK,MNFI,15,2,19,7
20232024,CGY,PK,FNFI,10,2,3,0
20232024,CGY,PK,Wide,74,1,61,1
20232024,CGY,PK,lane_other,190,0,185,0
20232024,CGY,PK,unk,0,0,0,0
20252026,SEA,ES,CNFI,315,48,374,51
20252026,SEA,ES,MNFI,211,20,225,24
20252026,SEA,ES,FNFI,176,6,193,3
20252026,SEA,ES,Wide,1050,19,1153,29
20252026,SEA,ES,lane_other,625,3,518,4
20252026,SEA,ES,unk,0,0,0,0
20252026,SEA,PP,CNFI,87,8,73,12
20252026,SEA,PP,MNFI,28,4,47,4
20252026,SEA,PP,FNFI,47,2,40,4
20252026,SEA,PP,Wide,94,10,118,8
20252026,SEA,PP,lane_other,20,1,26,3
20252026,SEA,PP,unk,0,0,0,0
20252026,SEA,PK,CNFI,1,0,9,4
20252026,SEA,PK,MNFI,3,1,4,2
20252026,SEA,PK,FNFI,2,0,1,0
20252026,SEA,PK,Wide,18,0,45,0
20252026,SEA,PK,lane_other,103,0,81,0
20252026,SEA,PK,unk,0,0,0,0
20232024,DAL,ES,CNFI,580,74,499,78
20232024,DAL,ES,MNFI,479,46,331,34
20232024,DAL,ES,FNFI,336,11,294,6
20232024,DAL,ES,Wide,1785,40,1794,33
20232024,DAL,ES,lane_other,961,24,1036,15
20232024,DAL,ES,unk,0,0,0,0
20232024,DAL,PP,CNFI,165,28,113,14
20232024,DAL,PP,MNFI,87,14,54,7
20232024,DAL,PP,FNFI,78,3,88,1
20232024,DAL,PP,Wide,144,9,175,11
20232024,DAL,PP,lane_other,37,4,50,7
20232024,DAL,PP,unk,0,0,0,0
20232024,DAL,PK,CNFI,20,4,16,0
20232024,DAL,PK,MNFI,17,6,11,3
20232024,DAL,PK,FNFI,3,0,3,0
20232024,DAL,PK,Wide,51,0,54,0
20232024,DAL,PK,lane_other,159,0,180,1
20232024,DAL,PK,unk,0,0,0,0
20242025,CAR,ES,CNFI,583,72,520,66
20242025,CAR,ES,MNFI,398,41,328,37
20242025,CAR,ES,FNFI,277,12,217,12
20242025,CAR,ES,Wide,1967,33,1534,34
20242025,CAR,ES,lane_other,712,10,1009,9
20242025,CAR,ES,unk,0,0,0,0
20242025,CAR,PP,CNFI,116,20,126,14
20242025,CAR,PP,MNFI,76,8,59,7
20242025,CAR,PP,FNFI,83,3,52,1
20242025,CAR,PP,Wide,243,13,153,11
20242025,CAR,PP,lane_other,33,1,42,2
20242025,CAR,PP,unk,0,0,0,0
20242025,CAR,PK,CNFI,23,5,12,1
20242025,CAR,PK,MNFI,11,2,7,1
20242025,CAR,PK,FNFI,3,0,4,0
20242025,CAR,PK,Wide,63,2,53,1
20242025,CAR,PK,lane_other,103,1,160,1
20242025,CAR,PK,unk,0,0,0,0
20222023,MTL,ES,CNFI,497,67,696,105
20222023,MTL,ES,MNFI,362,41,437,47
20222023,MTL,ES,FNFI,279,9,317,10
20222023,MTL,ES,Wide,1444,35,1525,26
20222023,MTL,ES,lane_other,1022,13,910,15
20222023,MTL,ES,unk,0,0,0,0
20222023,MTL,PP,CNFI,90,8,177,40
20222023,MTL,PP,MNFI,43,6,89,10
20222023,MTL,PP,FNFI,63,2,77,0
20222023,MTL,PP,Wide,165,18,263,20
20222023,MTL,PP,lane_other,28,2,45,2
20222023,MTL,PP,unk,0,0,0,0
20222023,MTL,PK,CNFI,18,3,20,2
20222023,MTL,PK,MNFI,13,4,9,0
20222023,MTL,PK,FNFI,5,0,4,0
20222023,MTL,PK,Wide,69,0,54,0
20222023,MTL,PK,lane_other,205,0,136,0
20222023,MTL,PK,unk,0,0,0,0
20212022,LAK,ES,CNFI,605,74,572,70
